layer,attention_contribution_ratio,attention_rotation,intervention_contextualization,attention_entropy,effective_attention_support,ffn_contribution_ratio,edge_R4,edge_R6,edge_R8,edge_MRR,complete_path_K6,complete_path_K8,depth_contraction,branching_factor,shortcut_rate,unreachable_evidence_fraction,complete_recovery,D2_minimum_native_depth,D3_minimum_native_depth,D4_minimum_native_depth,D2_complete_recovery,D3_complete_recovery,D4_complete_recovery
0,6.643500475656419,0.9031018898600623,0.0,2.0144648864155723,19.84933053879511,0.7234481033824739,0.72,0.88,0.96,0.5200476190476191,0.8235294117647058,0.9411764705882353,1.25,3.4281948641235545,0.17857142857142858,0.047619047619047616,0.9523809523809523,1.2,1.1666666666666667,1.8,0.8333333333333334,1.0,0.8333333333333334
4,0.273762862597193,0.03970150126232987,0.41027574950740453,1.3722039886883326,7.287596168972197,0.4723831699008033,0.72,0.88,0.96,0.3900476190476191,0.8235294117647058,0.9411764705882353,1.3076923076923077,2.7957487018806626,0.16666666666666666,0.07936507936507936,0.9285714285714286,1.3333333333333333,1.0,1.5,1.0,1.0,0.6666666666666666
8,0.2689245446097283,0.03411047746028219,0.6859923359893617,1.6052465268543787,9.346199387595767,0.3507040483610971,0.68,0.88,0.96,0.4316839826839827,0.8235294117647058,0.9411764705882353,1.2439024390243902,2.859668060208002,0.15079365079365079,0.05952380952380952,0.9761904761904762,1.5,1.1666666666666667,1.8333333333333333,1.0,1.0,1.0
12,0.2129498901111739,0.01940174981774319,0.8155129935060229,2.117441552025931,12.639700321924119,0.24784163314671742,0.76,0.92,0.96,0.43766666666666665,0.8823529411764706,0.9411764705882353,1.3414634146341464,2.9591849505926504,0.1388888888888889,0.05555555555555556,0.9761904761904762,1.3333333333333333,1.1666666666666667,1.5,1.0,1.0,1.0
16,0.27424862838926767,0.02693499123588914,0.8416007501738412,1.6828412441980272,9.586237657637824,0.3945938930625007,0.8,0.88,0.96,0.3967142857142857,0.8235294117647058,0.9411764705882353,1.2682926829268293,2.877279800664378,0.11507936507936507,0.06746031746031747,0.9761904761904762,1.5,1.3333333333333333,1.6666666666666667,1.0,1.0,1.0
20,0.2623409348584357,0.02879944368309918,0.7818397311937242,1.1587003157252358,4.7655554839542935,0.3862167327176957,0.76,0.92,1.0,0.4713809523809524,0.8823529411764706,1.0,1.225,2.8566167171359718,0.12301587301587302,0.05555555555555556,0.9523809523809523,1.6666666666666667,1.0,2.0,1.0,1.0,0.8333333333333334
24,0.17800890654325485,0.010574969174783854,0.9964388949530465,0.8239183000155857,3.258935843195234,0.2729922667855308,0.8,0.88,1.0,0.6083809523809524,0.8235294117647058,1.0,1.35,2.8443156013326196,0.13095238095238096,0.07142857142857142,0.9523809523809523,1.2,1.1666666666666667,1.6666666666666667,0.8333333333333334,1.0,1.0
27,0.12684390906776702,0.007393987971313652,0.9873698566641126,0.7302135342643374,2.8661902461733137,0.44876047330243246,0.72,0.88,1.0,0.4104285714285714,0.8235294117647058,1.0,1.425,2.7875347021402024,0.19047619047619047,0.07936507936507937,0.9523809523809523,1.1666666666666667,1.2,1.0,1.0,0.8333333333333334,1.0
