dataset,example_id,partition,seed,node_id,selector,selected_facet,selected_scale,target_rank,R_at_1,R_at_2,R_at_4,R_at_8,target_used_during_selection
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,0,latest,13,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,0,highest_hidden_norm,3,1,5,0,0,0,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,0,highest_parent_margin,11,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,0,lowest_parent_entropy,0,global,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,0,validation_most_common_scale,3,1,5,0,0,0,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,0,validation_linear_scale,3,1,5,0,0,0,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,global,0,global,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,earliest,1,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,latest,13,1,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,highest_hidden_norm,3,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,highest_parent_margin,11,1,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,lowest_parent_entropy,0,global,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,validation_most_common_scale,3,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,53,1,validation_linear_scale,3,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,0,global,0,global,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,0,earliest,1,1,3,0,0,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,0,latest,13,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,0,highest_hidden_norm,3,1,9,0,0,0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,0,highest_parent_margin,16,2,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,0,lowest_parent_entropy,25,2,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,0,validation_most_common_scale,3,1,9,0,0,0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,0,validation_linear_scale,3,1,9,0,0,0,0,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,global,0,global,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,earliest,1,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,latest,13,1,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,highest_hidden_norm,3,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,highest_parent_margin,16,2,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,lowest_parent_entropy,25,2,2,0,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,validation_most_common_scale,3,1,1,1,1,1,1,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,71,1,validation_linear_scale,3,1,1,1,1,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,0,global,0,global,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,0,earliest,1,1,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,0,latest,20,1,4,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,0,highest_hidden_norm,5,1,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,0,highest_parent_margin,56,4,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,0,lowest_parent_entropy,0,global,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,0,validation_most_common_scale,5,1,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,0,validation_linear_scale,0,global,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,global,0,global,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,earliest,1,1,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,latest,20,1,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,highest_hidden_norm,5,1,6,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,highest_parent_margin,56,4,6,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,lowest_parent_entropy,0,global,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,validation_most_common_scale,5,1,6,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,11,1,validation_linear_scale,0,global,3,0,0,1,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,0,global,0,global,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,0,earliest,1,1,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,0,latest,20,1,6,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,0,highest_hidden_norm,5,1,7,0,0,0,1,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,23,0,highest_parent_margin,39,2,7,0,0,0,1,0
