summary_type,partition,dataset,role,selector,rows,R_at_1,R_at_2,R_at_4,R_at_8,winning_scale,fraction,position_bin,annotated_hops,question_type,graph_type
winning_position_distribution,validation,musique,terminal,,49,,,,,,0.5444444444444444,early,,,
winning_position_distribution,validation,musique,terminal,,19,,,,,,0.2111111111111111,middle,,,
winning_position_distribution,validation,musique,terminal,,22,,,,,,0.24444444444444444,late,,,
winning_scale_distribution,validation,2wikimultihopqa,root,,50,,,,,global,0.2777777777777778,,,,
winning_scale_distribution,validation,2wikimultihopqa,root,,121,,,,,1,0.6722222222222223,,,,
winning_scale_distribution,validation,2wikimultihopqa,root,,9,,,,,2,0.05,,,,
winning_scale_distribution,validation,2wikimultihopqa,root,,0,,,,,4,0.0,,,,
winning_scale_distribution,validation,2wikimultihopqa,root,,0,,,,,8,0.0,,,,
winning_scale_distribution,validation,2wikimultihopqa,root,,0,,,,,16,0.0,,,,
winning_position_distribution,validation,2wikimultihopqa,root,,65,,,,,,0.3611111111111111,early,,,
winning_position_distribution,validation,2wikimultihopqa,root,,38,,,,,,0.2111111111111111,middle,,,
winning_position_distribution,validation,2wikimultihopqa,root,,77,,,,,,0.42777777777777776,late,,,
winning_scale_distribution,validation,2wikimultihopqa,terminal,,27,,,,,global,0.2076923076923077,,,,
winning_scale_distribution,validation,2wikimultihopqa,terminal,,100,,,,,1,0.7692307692307693,,,,
winning_scale_distribution,validation,2wikimultihopqa,terminal,,3,,,,,2,0.023076923076923078,,,,
winning_scale_distribution,validation,2wikimultihopqa,terminal,,0,,,,,4,0.0,,,,
winning_scale_distribution,validation,2wikimultihopqa,terminal,,0,,,,,8,0.0,,,,
winning_scale_distribution,validation,2wikimultihopqa,terminal,,0,,,,,16,0.0,,,,
winning_position_distribution,validation,2wikimultihopqa,terminal,,68,,,,,,0.5230769230769231,early,,,
winning_position_distribution,validation,2wikimultihopqa,terminal,,17,,,,,,0.13076923076923078,middle,,,
winning_position_distribution,validation,2wikimultihopqa,terminal,,45,,,,,,0.34615384615384615,late,,,
winning_scale_distribution,test,musique,root,,29,,,,,global,0.24166666666666667,,,,
winning_scale_distribution,test,musique,root,,88,,,,,1,0.7333333333333333,,,,
winning_scale_distribution,test,musique,root,,3,,,,,2,0.025,,,,
winning_scale_distribution,test,musique,root,,0,,,,,4,0.0,,,,
winning_scale_distribution,test,musique,root,,0,,,,,8,0.0,,,,
winning_scale_distribution,test,musique,root,,0,,,,,16,0.0,,,,
winning_position_distribution,test,musique,root,,45,,,,,,0.375,early,,,
winning_position_distribution,test,musique,root,,22,,,,,,0.18333333333333332,middle,,,
winning_position_distribution,test,musique,root,,53,,,,,,0.44166666666666665,late,,,
winning_scale_distribution,test,musique,intermediate,,11,,,,,global,0.18333333333333332,,,,
winning_scale_distribution,test,musique,intermediate,,45,,,,,1,0.75,,,,
