dataset,role,routed_root_R_at_4,oracle_facet_R_at_4,oracle_facet_scope,edge_R_at_6,complete_recovery,selected_source_fraction,main_limitation
qasper,direct-retrieval control,0.9666666666666667,,not measured: all-offset audit not run,,0.8,0.22744540475683023,small direct-retrieval control; no annotated transition graph
hotpotqa,shallow/granularity,0.9714285714285714,,not measured: all-offset audit not run,,0.3125,0.50143659940448,coarse parents recover evidence but approach half-source activation
2wikimultihopqa,annotated edge/path,0.6083333333333333,0.95,all-offset scales 1/2/4/8/16/global,0.88,0.9583333333333334,0.770179099254667,executable facet selection remains below oracle ceiling
musique,depth/topology/shortcut,0.4222222222222222,0.8777777777777778,all-offset scales 1/2/4/8/16/global,0.8333333333333334,0.9444444444444444,0.5132330811620012,native contraction does not identify a calibrated terminal rule
