dataset,example_id,partition,seed,selector,best_root_rank,R_at_1,R_at_2,R_at_4,R_at_8,target_used_during_selection,aggregation
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,validation_most_common_scale,3,0,0,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,11,validation_linear_scale,3,0,0,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,global,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,earliest,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,latest,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,highest_hidden_norm,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,highest_parent_margin,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,lowest_parent_entropy,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,validation_most_common_scale,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,23,validation_linear_scale,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,global,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,earliest,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,latest,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,highest_hidden_norm,5,0,0,0,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,highest_parent_margin,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,lowest_parent_entropy,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,validation_most_common_scale,5,0,0,0,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,37,validation_linear_scale,5,0,0,0,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,global,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,earliest,2,0,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,latest,1,1,1,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,highest_hidden_norm,4,0,0,1,1,0,post-hoc best annotated root per example
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,53,highest_parent_margin,3,0,0,1,1,0,post-hoc best annotated root per example
