dataset,role,rows,oracle_facet_R_at_1,oracle_facet_R_at_2,oracle_facet_R_at_4,oracle_facet_R_at_8,lexical_R_at_1,lexical_R_at_2,lexical_R_at_4,lexical_R_at_8,most_common_winning_scale,mean_winning_relative_midpoint
musique,root,120,0.6166666666666667,0.775,0.8333333333333334,0.9416666666666667,0.2916666666666667,0.5833333333333334,0.7916666666666666,0.9583333333333334,1,0.6270715391678189
musique,intermediate,60,0.3333333333333333,0.5,0.6666666666666666,0.9,0.08333333333333333,0.16666666666666666,0.4166666666666667,0.5833333333333334,1,0.5686669527078566
musique,terminal,90,0.3888888888888889,0.5555555555555556,0.7111111111111111,0.8888888888888888,0.3888888888888889,0.4444444444444444,0.4444444444444444,0.6666666666666666,1,0.49672407607515334
2wikimultihopqa,root,180,0.4722222222222222,0.6611111111111111,0.9333333333333333,1.0,0.4444444444444444,0.6666666666666666,0.8055555555555556,0.9722222222222222,1,0.8052193469513517
2wikimultihopqa,terminal,130,0.4307692307692308,0.6,0.823076923076923,1.0,0.19230769230769232,0.23076923076923078,0.4230769230769231,0.8076923076923077,1,0.7010132146867977
