layer,chunk_size,2wiki_edge_R6,2wiki_edge_MRR,2wiki_strict_path_K6,musique_complete_recovery,musique_node_recall,musique_minimum_native_depth_if_complete,musique_annotated_depth
0,32,0.68,0.3879479760006076,0.5555555555555556,0.16666666666666666,0.7083333333333334,1.0,4
0,128,0.88,0.5200476190476191,0.7777777777777778,0.8333333333333334,0.9583333333333334,1.8,4
0,256,0.9583333333333334,0.5767857142857143,0.8333333333333334,1.0,1.0,1.1666666666666667,4
12,32,0.48,0.26483233433233433,0.3333333333333333,0.3333333333333333,0.7916666666666666,2.5,4
12,128,0.92,0.43766666666666665,0.8333333333333334,1.0,1.0,1.5,4
12,256,1.0,0.6284722222222222,0.8888888888888888,0.8333333333333334,0.9583333333333334,1.6,4
27,32,0.4,0.2759929141067661,0.2222222222222222,0.3333333333333333,0.7916666666666666,1.5,4
27,128,0.88,0.4104285714285714,0.7777777777777778,1.0,1.0,1.0,4
27,256,1.0,0.48055555555555557,0.8888888888888888,1.0,1.0,1.5,4
