context_metric,graph_metric,pearson,spearman,layer_points,examples,bootstrap_replicates,pearson_low,pearson_high,spearman_low,spearman_high
attention_contribution_ratio,edge_R6,-0.4730219654514838,-0.5108094442387969,8,17,1000,-0.9474940333674577,0.4897304505408748,-0.7637626158259733,0.35210735839617824
attention_contribution_ratio,edge_MRR,0.1614530390777807,0.19047619047619047,8,17,1000,-0.4508360898205592,0.6599602838341821,-0.6190476190476191,0.42857142857142855
attention_contribution_ratio,depth_contraction,0.06239458116101079,-0.4296500391227068,8,13,1000,-0.2961184615046098,0.4477507750390146,-0.662888631789319,0.11338934190276817
attention_contribution_ratio,shortcut_rate,0.42435993468894656,-0.09523809523809523,8,42,1000,-0.2913174271502153,0.8244927939173063,-0.46707424214617094,0.38095238095238093
attention_contribution_ratio,branching_factor,0.9687521532096294,0.5952380952380952,8,42,1000,0.9468991847037967,0.9808679390130052,0.2619047619047619,0.5952380952380952
attention_rotation,edge_R6,-0.47809341054943755,-0.4341880276029774,8,17,1000,-0.9492271376406926,0.48702296287710073,-0.6546536707079771,0.4433944513137059
attention_rotation,edge_MRR,0.15401825826017249,0.2857142857142857,8,17,1000,-0.45167027436203044,0.6533453928231436,-0.5238095238095238,0.40476190476190477
attention_rotation,depth_contraction,0.0620993806381746,-0.20868716185960043,8,13,1000,-0.2976791579907498,0.44569060675865035,-0.6265515005254438,0.33945005147821034
attention_rotation,shortcut_rate,0.4295102508839062,0.14285714285714285,8,42,1000,-0.28458180212017886,0.8258788914481667,-0.28743030285918214,0.38324040381224284
attention_rotation,branching_factor,0.9670432485370053,0.42857142857142855,8,42,1000,0.94465220265764,0.9794781850791769,0.11904761904761904,0.5
intervention_contextualization,edge_R6,0.46985105189671694,0.35756661096715786,8,17,1000,-0.407419928884183,0.8283496242509399,-0.5346815442312336,0.6546536707079771
intervention_contextualization,edge_MRR,0.07899534007044096,-0.3333333333333333,8,17,1000,-0.43187293178312086,0.5100635599478633,-0.38095238095238093,0.5238095238095238
intervention_contextualization,depth_contraction,-0.012581061859799559,0.036827146210517726,8,13,1000,-0.46009117903038915,0.32595288120498167,-0.4261394844018666,0.5269555552418339
intervention_contextualization,shortcut_rate,-0.42987653904915674,-0.3333333333333333,8,42,1000,-0.7245424024533181,0.17297983459628383,-0.5389318178609664,0.181848241863327
intervention_contextualization,branching_factor,-0.7851790099753206,-0.40476190476190477,8,42,1000,-0.8074347517711926,-0.7539235298954396,-0.5238095238095238,-0.07142857142857142
attention_entropy,edge_R6,-0.15708033877866462,-0.05108094442387969,8,17,1000,-0.5092548847288241,0.6042517275883696,-0.40526179615255725,0.5607635707790987
attention_entropy,edge_MRR,-0.277874342003328,0.07142857142857142,8,17,1000,-0.5663937443994884,0.16917507823449782,-0.5952380952380952,0.21428571428571427
attention_entropy,depth_contraction,-0.38005452848261023,-0.36827146210517725,8,13,1000,-0.5956372863015913,0.015191194988094382,-0.6751643471928249,0.07365429242103545
attention_entropy,shortcut_rate,-0.10260767752584886,-0.14285714285714285,8,42,1000,-0.6867651646731145,0.351475064770094,-0.7784570702436182,0.29371543043730824
attention_entropy,branching_factor,0.6177896638645808,0.9047619047619048,8,42,1000,0.571265573655579,0.6637482896336718,0.6904761904761905,0.9047619047619048
effective_attention_support,edge_R6,-0.3768870251576059,-0.2809451943313383,8,17,1000,-0.8062811123075622,0.588545756199378,-0.6546536707079771,0.6259686371487613
effective_attention_support,edge_MRR,-0.1251489524058425,0.21428571428571427,8,17,1000,-0.5543324193682818,0.38761075637395404,-0.5714285714285714,0.3333333333333333
effective_attention_support,depth_contraction,-0.18378160136495653,-0.36827146210517725,8,13,1000,-0.4556831455933994,0.18492639116978277,-0.6626987024788349,0.06341828617898014
effective_attention_support,shortcut_rate,0.18159366288686252,-0.07142857142857142,8,42,1000,-0.534062971120006,0.6301531607935364,-0.754504545005353,0.37352108685170693
effective_attention_support,branching_factor,0.8893736169615487,0.9285714285714286,8,42,1000,0.8640250583206016,0.9099223299922311,0.7142857142857143,0.9285714285714286
