dataset,chunk_size,K,edge_R_at_K,product_expected_path_survival,observed_preserved_path_survival,observed_strict_path_survival,raw_product_minus_observed,missing_local_edge_loss,compounded_local_error_loss,additional_frontier_search_loss,correlation_or_redundancy_gain,dominant_effect
2wikimultihopqa,16,1,0.2,0.13721362463966014,0.058823529411764705,0.05555555555555555,0.07839009522789543,0.8,0.06278637536033987,0.07839009522789543,0.0,missing_local_edge
2wikimultihopqa,16,2,0.2,0.13721362463966014,0.058823529411764705,0.05555555555555555,0.07839009522789543,0.8,0.06278637536033987,0.07839009522789543,0.0,missing_local_edge
2wikimultihopqa,16,4,0.24,0.1670459717796996,0.11764705882352941,0.1111111111111111,0.04939891295617019,0.76,0.0729540282203004,0.04939891295617019,0.0,missing_local_edge
2wikimultihopqa,16,6,0.4,0.2956051180903252,0.23529411764705882,0.2222222222222222,0.06031100044326637,0.6,0.10439488190967483,0.06031100044326637,0.0,missing_local_edge
2wikimultihopqa,16,8,0.56,0.4407525413442573,0.47058823529411764,0.4444444444444444,-0.029835693949860354,0.43999999999999995,0.11924745865574277,0.0,0.029835693949860354,missing_local_edge
2wikimultihopqa,16,11,0.68,0.5619594902139281,0.6470588235294118,0.6111111111111112,-0.0850993333154837,0.31999999999999995,0.11804050978607195,0.0,0.0850993333154837,missing_local_edge
2wikimultihopqa,32,1,0.12,0.08005234410559854,0.0,0.0,0.08005234410559854,0.88,0.039947655894401454,0.08005234410559854,0.0,missing_local_edge
2wikimultihopqa,32,2,0.24,0.1670459717796996,0.11764705882352941,0.1111111111111111,0.04939891295617019,0.76,0.0729540282203004,0.04939891295617019,0.0,missing_local_edge
2wikimultihopqa,32,4,0.28,0.1977633641834825,0.17647058823529413,0.16666666666666666,0.021292775948188375,0.72,0.08223663581651752,0.021292775948188375,0.0,missing_local_edge
2wikimultihopqa,32,6,0.4,0.2956051180903252,0.23529411764705882,0.2222222222222222,0.06031100044326637,0.6,0.10439488190967483,0.06031100044326637,0.0,missing_local_edge
2wikimultihopqa,32,8,0.68,0.5619594902139281,0.5882352941176471,0.5555555555555556,-0.026275803903718975,0.31999999999999995,0.11804050978607195,0.0,0.026275803903718975,missing_local_edge
2wikimultihopqa,32,11,0.8,0.6948869670763163,0.7058823529411765,0.6666666666666666,-0.010995385864860263,0.19999999999999996,0.10511303292368379,0.0,0.010995385864860263,missing_local_edge
2wikimultihopqa,64,1,0.08,0.052647549688969814,0.0,0.0,0.052647549688969814,0.92,0.027352450311030188,0.052647549688969814,0.0,missing_local_edge
2wikimultihopqa,64,2,0.2,0.13721362463966014,0.11764705882352941,0.1111111111111111,0.019566565816130727,0.8,0.06278637536033987,0.019566565816130727,0.0,missing_local_edge
2wikimultihopqa,64,4,0.36,0.262005006827492,0.23529411764705882,0.2222222222222222,0.026710889180433184,0.64,0.09799499317250798,0.026710889180433184,0.0,missing_local_edge
2wikimultihopqa,64,6,0.56,0.4407525413442573,0.4117647058823529,0.3888888888888889,0.028987835461904365,0.43999999999999995,0.11924745865574277,0.028987835461904365,0.0,missing_local_edge
2wikimultihopqa,64,8,0.76,0.6492123097152682,0.6470588235294118,0.6111111111111112,0.0021534861858564236,0.24,0.11078769028473179,0.0021534861858564236,0.0,missing_local_edge
2wikimultihopqa,64,11,0.84,0.7419776968593537,0.7647058823529411,0.7222222222222222,-0.02272818549358746,0.16000000000000003,0.0980223031406463,0.0,0.02272818549358746,missing_local_edge
2wikimultihopqa,128,1,0.16,0.10822839225206089,0.058823529411764705,0.05555555555555555,0.04940486284029619,0.84,0.05177160774793911,0.04940486284029619,0.0,missing_local_edge
2wikimultihopqa,128,2,0.32,0.22940373236231226,0.23529411764705882,0.2222222222222222,-0.005890385284746558,0.6799999999999999,0.09059626763768774,0.0,0.005890385284746558,missing_local_edge
2wikimultihopqa,128,4,0.72,0.6049157942649067,0.5882352941176471,0.5555555555555556,0.016680500147259636,0.28,0.11508420573509326,0.016680500147259636,0.0,missing_local_edge
2wikimultihopqa,128,6,0.88,0.7905224295756841,0.8235294117647058,0.7777777777777778,-0.03300698218902176,0.12,0.08947757042431592,0.0,0.03300698218902176,missing_local_edge
2wikimultihopqa,128,8,1.0,0.9452599504374652,1.0,0.9444444444444444,-0.054740049562534754,0.0,0.054740049562534754,0.0,0.054740049562534754,correlation_or_redundancy_gain
2wikimultihopqa,128,11,1.0,0.9452599504374652,1.0,0.9444444444444444,-0.054740049562534754,0.0,0.054740049562534754,0.0,0.054740049562534754,correlation_or_redundancy_gain
2wikimultihopqa,256,1,0.20833333333333334,0.13721362463966014,0.058823529411764705,0.05555555555555555,0.07839009522789543,0.7916666666666666,0.0711197086936732,0.07839009522789543,0.0,missing_local_edge
2wikimultihopqa,256,2,0.4166666666666667,0.2956051180903252,0.29411764705882354,0.2777777777777778,0.0014874710315016526,0.5833333333333333,0.1210615485763415,0.0014874710315016526,0.0,missing_local_edge
2wikimultihopqa,256,4,0.875,0.7419776968593537,0.8235294117647058,0.7222222222222222,-0.08155171490535218,0.125,0.13302230314064634,0.0,0.08155171490535218,compounded_local_errors
2wikimultihopqa,256,6,1.0,0.8921256258534365,1.0,0.8888888888888888,-0.10787437414656353,0.0,0.10787437414656353,0.0,0.10787437414656353,correlation_or_redundancy_gain
2wikimultihopqa,256,8,1.0,0.8921256258534365,1.0,0.8888888888888888,-0.10787437414656353,0.0,0.10787437414656353,0.0,0.10787437414656353,correlation_or_redundancy_gain
2wikimultihopqa,256,11,1.0,0.8921256258534365,1.0,0.8888888888888888,-0.10787437414656353,0.0,0.10787437414656353,0.0,0.10787437414656353,correlation_or_redundancy_gain
