accepted_native_transitions,any_evidence,bridge_locality_score,budget_parents,candidate_fraction,candidate_local_regions,candidate_parents,candidate_parents_total,candidate_tokens,chain_budget_feasible,chain_completion,condition,cross_parent_transitions,dataset,evidence_coverage,exact_all_evidence_feasible,exact_evidence_identity,example_id,fraction,head_reduction,kv_materializations_during_closure,local_entropy,local_nodes_activated_per_parent,local_nodes_explored,local_vs_parent_similarity_ratio,materialized_kv_fraction,materialized_kv_tokens,native_qk_comparisons,native_qk_dot_products,parent_entropy,path_depth,proposed_native_transitions,repeated_parent_transitions,routing_seconds,seed,semantic_gist_comparisons,token_reduction,transition_mode,unique_parents_selected
0,0.0,0,1,0.0,0,5,5,0,,0.0,one_shot_parent,0,hotpotqa,0.0,,0.0,5adc3aff5542996e685252eb,0.1,none,0,0,0,0,0,0.21035332785538208,256,0,0,0,1,0,0,0.2291059999843128,11,5,none,none,1
0,0.0,0,1,0.0,0,5,5,0,,0.0,parent_closure,0,hotpotqa,0.0,,0.0,5adc3aff5542996e685252eb,0.1,none,0,0,0,0,0,0.21035332785538208,256,0,0,0,1,0,0,0.0042511000065132976,11,5,none,none,1
0,0.0,0.0,1,0.0,0,5,5,0,,0.0,local_gist_closure,0,hotpotqa,0.0,,0.0,5adc3aff5542996e685252eb,0.1,none,0,0.0,1.0,8,1.0,0.21035332785538208,256,0,0,1.5911533832550049,1,0,0,0.059872400015592575,11,44,none,none,1
0,0.0,,1,0.1,8,1,5,0,0.0,0.0,native_qk_max_topk_p10,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.1,max,0,,,,,0.21035332785538208,256,0,0,,,0,,0.015764900017529726,11,83,max,topk,1
0,0.0,,1,0.1,8,1,5,0,0.0,0.0,native_qk_top4_topk_p10,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.1,top_m_mean,0,,,,,0.21035332785538208,256,0,0,,,0,,0.004999500000849366,11,83,top_m_mean,topk,1
0,0.0,,1,0.1,8,1,5,0,0.0,0.0,native_qk_max_threshold1_p10,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.1,max,0,,,,,0.21035332785538208,256,0,0,,,0,,0.006334999983664602,11,83,max,threshold,1
0,0.0,,1,0.2,8,1,5,0,0.0,0.0,native_qk_max_topk_p20,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.1,max,0,,,,,0.21035332785538208,256,0,0,,,0,,0.007232000003568828,11,83,max,topk,1
0,0.0,,1,0.2,8,1,5,0,0.0,0.0,native_qk_top4_topk_p20,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.1,top_m_mean,0,,,,,0.21035332785538208,256,0,0,,,0,,0.005204499990213662,11,83,top_m_mean,topk,1
0,0.0,,1,0.2,8,1,5,0,0.0,0.0,native_qk_max_threshold1_p20,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.1,max,0,,,,,0.21035332785538208,256,0,0,,,0,,0.005950999970082194,11,83,max,threshold,1
0,0.0,0,1,0.0,0,5,5,0,,0.0,one_shot_parent,0,hotpotqa,0.0,,0.0,5adc3aff5542996e685252eb,0.2,none,0,0,0,0,0,0.21035332785538208,256,0,0,0,1,0,0,0.0032609999761916697,11,5,none,none,1
0,0.0,0,1,0.0,0,5,5,0,,0.0,parent_closure,0,hotpotqa,0.0,,0.0,5adc3aff5542996e685252eb,0.2,none,0,0,0,0,0,0.21035332785538208,256,0,0,0,1,0,0,0.003645199991296977,11,5,none,none,1
0,0.0,0.0,1,0.0,0,5,5,0,,0.0,local_gist_closure,0,hotpotqa,0.0,,0.0,5adc3aff5542996e685252eb,0.2,none,0,0.0,1.0,8,1.0,0.21035332785538208,256,0,0,1.5911533832550049,1,0,0,0.004926800029352307,11,44,none,none,1
0,0.0,,1,0.1,8,1,5,0,0.0,0.0,native_qk_max_topk_p10,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.2,max,0,,,,,0.21035332785538208,256,0,0,,,0,,0.006049199961125851,11,83,max,topk,1
0,0.0,,1,0.1,8,1,5,0,0.0,0.0,native_qk_top4_topk_p10,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.2,top_m_mean,0,,,,,0.21035332785538208,256,0,0,,,0,,0.00513970002066344,11,83,top_m_mean,topk,1
0,0.0,,1,0.1,8,1,5,0,0.0,0.0,native_qk_max_threshold1_p10,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.2,max,0,,,,,0.21035332785538208,256,0,0,,,0,,0.005282800004351884,11,83,max,threshold,1
0,0.0,,1,0.2,8,1,5,0,0.0,0.0,native_qk_max_topk_p20,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.2,max,0,,,,,0.21035332785538208,256,0,0,,,0,,0.005749500007368624,11,83,max,topk,1
0,0.0,,1,0.2,8,1,5,0,0.0,0.0,native_qk_top4_topk_p20,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.2,top_m_mean,0,,,,,0.21035332785538208,256,0,0,,,0,,0.005729199969209731,11,83,top_m_mean,topk,1
0,0.0,,1,0.2,8,1,5,0,0.0,0.0,native_qk_max_threshold1_p20,,hotpotqa,0.0,0.0,0.0,5adc3aff5542996e685252eb,0.2,max,0,,,,,0.21035332785538208,256,0,0,,,0,,0.005742600013036281,11,83,max,threshold,1
