dataset,condition,examples,gold_sequence_logprob,gold_mean_token_logprob,gold_logprob_delta_vs_none,gold_mean_logprob_delta_vs_none,gold_first_token_probability,gold_first_token_rank,memory_attention_mass,evidence_attention_mass,direct_context_attention_mass,f1,em,answer_contained,active_memory_kv_tokens,evidence_parent_chunks,evidence_guaranteed,chunks_budget_rejected,native_limit_violations,teacher_forced_seconds,generation_seconds,route_once_query_encoding_seconds,route_once_routing_seconds
combined,no_memory,8,-21.60101753473282,-15.16335542500019,0.0,0.0,0.0029034622014987395,654.875,,,,0.125,0.125,0.125,0.0,0.0,0.0,0.0,0.0,0.23899173750396585,0.8746999125141883,0.0,0.0
combined,learned_router,8,-21.413707375526428,-15.028375655412674,0.18731015920639038,0.13497976958751678,0.001191769789269877,628.75,0.05998445604927838,0.005477417726069689,,0.125,0.125,0.125,184.5,5.625,0.0,0.0,0.0,0.28132454999285983,0.5815399875064031,0.24157402500713943,0.22912581249693176
combined,oracle_last_1,8,-21.64154452085495,-15.179629683494568,-0.04052698612213135,-0.016274258494377136,0.001925561018310983,656.5,0.06559373531490564,0.04873567773029208,,0.125,0.125,0.125,170.875,5.625,0.75,0.25,0.0,0.24650258748442866,0.6218558249966009,0.0,0.0
combined,direct_text_oracle,8,-14.081297665822376,-11.398334037508562,7.5197198689104425,3.765021387491629,0.3752125254609436,159.625,,,0.13973360136151314,0.5357142857142857,0.5,0.625,0.0,0.0,1.0,0.0,0.0,0.5367612499976531,0.8589720250020036,0.0,0.0
hotpotqa,no_memory,4,-19.554679036140442,-6.679354816675186,0.0,0.0,0.005806901792311692,171.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25925627499236725,1.3052853500121273,0.0,0.0
hotpotqa,learned_router,4,-19.28196358680725,-6.511300146579742,0.2727154493331909,0.16805467009544373,0.0023835017166220496,145.25,0.04960939148440957,0.010891859419643879,,0.0,0.0,0.0,177.0,3.75,0.0,0.0,0.0,0.3363334499881603,0.6953713499970036,0.26502902500214987,0.4494840249972185
hotpotqa,oracle_last_1,4,-19.59180772304535,-6.667978048324585,-0.03712868690490723,0.011376768350601196,0.003851098708707923,170.75,0.04188465140759945,0.02379769366234541,,0.0,0.0,0.0,117.75,3.75,1.0,0.0,0.0,0.27227112498076167,0.7872148999886122,0.0,0.0
hotpotqa,direct_text_oracle,4,-7.688596308207252,-2.3226690515796236,11.86608272793319,4.356685765095563,0.7504250175552443,2.5,,,0.13903414085507393,0.75,0.75,0.75,0.0,0.0,1.0,0.0,0.0,0.3313605499861296,0.7298172499868087,0.0,0.0
qasper,no_memory,4,-23.647356033325195,-23.647356033325195,0.0,0.0,2.2610685787116495e-08,1138.75,,,,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.21872720001556445,0.44411447501624934,0.0,0.0
qasper,learned_router,4,-23.545451164245605,-23.545451164245605,0.10190486907958984,0.10190486907958984,3.7861917704241736e-08,1112.25,0.07035952061414719,6.297603249549866e-05,,0.25,0.25,0.25,192.0,7.5,0.0,0.0,0.0,0.22631564999755938,0.4677086250158027,0.218119025012129,0.008767599996645004
qasper,oracle_last_1,4,-23.69128131866455,-23.69128131866455,-0.04392528533935547,-0.04392528533935547,2.332791404301539e-08,1142.25,0.08930281922221184,0.07367366179823875,,0.25,0.25,0.25,224.0,7.5,0.5,0.5,0.0,0.22073404998809565,0.45649675000458956,0.0,0.0
qasper,direct_text_oracle,4,-20.4739990234375,-20.4739990234375,3.1733570098876953,3.1733570098876953,3.336664289110098e-08,316.75,,,0.14043306186795235,0.3214285714285714,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.7421619500091765,0.9881268000171985,0.0,0.0
