dataset,model_tier,position_mode,stage,layer_rankings,fraction,recall,any_evidence_recall,all_evidence_recall,selected_chunk_fraction,selected_kv_token_fraction
hotpotqa,small,absolute,offset,240,0.01,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.25,0.24058118549998764
hotpotqa,small,absolute,offset,240,0.02,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.25,0.24058118549998764
hotpotqa,small,absolute,offset,240,0.05,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.25,0.24058118549998764
hotpotqa,small,absolute,offset,240,0.1,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.25,0.24058118549998764
hotpotqa,small,absolute,offset,240,0.15,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.25,0.24058118549998764
hotpotqa,small,absolute,offset,240,0.2,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.25,0.24058118549998764
hotpotqa,small,absolute,offset,240,0.25,0.6333333333333333,0.6333333333333333,0.6333333333333333,0.25,0.24058118549998764
hotpotqa,small,absolute,offset,240,0.3,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.5,0.49671277655368024
hotpotqa,small,absolute,offset,240,0.5,0.7291666666666666,0.7291666666666666,0.7291666666666666,0.5,0.49671277655368024
hotpotqa,small,absolute,offset,240,1.0,1.0,1.0,1.0,1.0,1.0
hotpotqa,small,absolute,offset_overlap,240,0.01,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.25,0.24342628879412995
hotpotqa,small,absolute,offset_overlap,240,0.02,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.25,0.24342628879412995
hotpotqa,small,absolute,offset_overlap,240,0.05,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.25,0.24342628879412995
hotpotqa,small,absolute,offset_overlap,240,0.1,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.25,0.24342628879412995
hotpotqa,small,absolute,offset_overlap,240,0.15,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.25,0.24342628879412995
hotpotqa,small,absolute,offset_overlap,240,0.2,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.25,0.24342628879412995
hotpotqa,small,absolute,offset_overlap,240,0.25,0.6291666666666667,0.6291666666666667,0.6291666666666667,0.25,0.24342628879412995
hotpotqa,small,absolute,offset_overlap,240,0.3,0.7208333333333333,0.7208333333333333,0.7208333333333333,0.5,0.49598039802148336
hotpotqa,small,absolute,offset_overlap,240,0.5,0.7208333333333333,0.7208333333333333,0.7208333333333333,0.5,0.49598039802148336
hotpotqa,small,absolute,offset_overlap,240,1.0,1.0,1.0,1.0,1.0,1.0
