materialization_budget,seeds,examples,loss_mean,loss_stddev,accuracy_mean,accuracy_stddev,target_chunk_recall_mean,target_chunk_recall_stddev,memory_tokens_materialized_mean,memory_tokens_materialized_stddev,chunks_budget_rejected_mean,chunks_budget_rejected_stddev,materialization_budget_utilization_mean,materialization_budget_utilization_stddev,request_forward_ms_mean,request_forward_ms_stddev,memory_attention_ms_mean,memory_attention_ms_stddev,transfer_bytes_mean,transfer_bytes_stddev,peak_cuda_allocated_mean,peak_cuda_allocated_stddev
4,5,80,1.2416033171117307,1.3279654507718652,0.6375,0.48375509024895247,0.325,0.4713299255661338,4.0,0.0,7.0,0.0,1.0,0.0,18.760350000229664,1.9367573471284492,3.754808749363292,0.5632255409531495,0.0,0.0,10037760.0,0.0
8,5,80,1.2184993882663548,1.2906153216169116,0.65,0.4799789024899355,0.35,0.4799789024899355,8.0,0.0,6.0,0.0,1.0,0.0,19.287973748578224,4.69970690123115,3.6662025020632427,0.6634148409593018,0.0,0.0,10044416.0,0.0
12,5,80,1.1997826060280203,1.2672641013048738,0.6375,0.48375509024895247,0.375,0.4871773518462232,12.0,0.0,5.0,0.0,1.0,0.0,18.484237500888412,1.6868816677518716,3.694520000135526,0.550076138047541,0.0,0.0,10051072.0,0.0
16,5,80,1.1741201548837126,1.2474692082944283,0.65,0.4799789024899355,0.4375,0.49920823386588253,16.0,0.0,4.0,0.0,1.0,0.0,19.20725000090897,3.9850799609581222,3.981827501411317,1.7555884902603405,0.0,0.0,10057728.0,0.0
20,5,80,1.0566721726208925,1.1812114347847693,0.6875,0.4664368029425214,0.525,0.5025252685881778,20.0,0.0,3.0,0.0,1.0,0.0,18.837936249474296,1.7996351535090507,3.7325249999412335,0.5370259900531975,0.0,0.0,10064384.0,0.0
