dataset,model_tier,split_count,kv_cache_residency,seeds,loss_mean,loss_stddev,token_accuracy_mean,token_accuracy_stddev,cached_kv_bytes_mean,cached_kv_bytes_stddev,gpu_cached_kv_bytes_mean,gpu_cached_kv_bytes_stddev,selected_kv_transfer_bytes_mean,selected_kv_transfer_bytes_stddev,selected_kv_transfer_ms_mean,selected_kv_transfer_ms_stddev,routing_ms_mean,routing_ms_stddev,materialization_ms_mean,materialization_ms_stddev,cold_request_ms_mean,cold_request_ms_stddev,warm_request_ms_mean,warm_request_ms_stddev,warm_peak_allocated_bytes_mean,warm_peak_allocated_bytes_stddev,warm_peak_reserved_bytes_mean,warm_peak_reserved_bytes_stddev,peak_allocated_bytes_mean,peak_allocated_bytes_stddev,peak_reserved_bytes_mean,peak_reserved_bytes_stddev,retrieved_physical_kv_tokens_mean,retrieved_physical_kv_tokens_stddev,loss_delta_vs_gpu_mean,loss_delta_vs_gpu_stddev
hotpotqa,small,32,cpu,5,0.0008059261170274112,0.001155907563481382,1.0,0.0,419840.0,0.0,0.0,0.0,98611.2,5328.245039410256,10.831729998608353,3.9863170829133483,19.87029000374605,2.2262983314571376,13.068855002347846,3.990045071790945,185.6515000014042,14.94785658355476,46.997110748291014,2.4400330426457226,74195968.0,0.0,116601651.2,39054353.535180524,75010048.0,0.0,116601651.2,39054353.535180524,12.0375,0.6504205370373848,0.0,0.0
hotpotqa,small,32,gpu,5,0.0008059261170274112,0.001155907563481382,1.0,0.0,419840.0,0.0,419840.0,0.0,0.0,0.0,0.0,0.0,16.718739999487298,1.1068721569056357,2.1258200009469874,0.19293208457753225,76.41634500032524,3.0716264003470912,52.710409545898436,13.688437179805586,74540032.0,0.0,130862284.8,39054353.535180524,75422080.0,0.0,130862284.8,39054353.535180524,12.0375,0.6504205370373848,0.0,0.0
hotpotqa,small,64,cpu,5,0.001345311450859299,0.002383179549326036,1.0,0.0,808960.0,0.0,0.0,0.0,91340.8,7616.59157366338,8.161509995989036,0.1652276861146113,19.756499999493826,0.6162306383200372,9.92819500315818,0.1887465838959854,282.93308499924024,23.76780948982375,47.13512420654297,3.193118765734058,74589184.0,0.0,90177536.0,0.0,76342784.0,0.0,90177536.0,0.0,11.15,0.9297597135819555,0.0,0.0
hotpotqa,small,64,gpu,5,0.001345311450859299,0.002383179549326036,1.0,0.0,808960.0,0.0,808960.0,0.0,0.0,0.0,0.0,0.0,20.942235003167298,1.4989860428404909,2.398745001119096,0.1985741639430188,104.39092999877175,2.8095615493928117,41.26846771240234,3.5344104433679924,75318272.0,0.0,90177536.0,0.0,77123072.0,0.0,90177536.0,0.0,11.15,0.9297597135819555,0.0,0.0
hotpotqa,small,128,cpu,5,0.001119978410861222,0.0018913094349922743,1.0,0.0,1736704.0,0.0,0.0,0.0,95027.2,6749.861272648498,8.197140003176173,0.7257806673714885,24.758839997230098,2.0712657348209333,10.01484500375227,0.7348012391968916,523.1602850020863,29.56522571365468,48.942236328125,4.671108593958639,75377664.0,0.0,94371840.0,0.0,80002560.0,0.0,93847552.0,0.0,11.6,0.8239576748838499,0.0,0.0
hotpotqa,small,128,gpu,5,0.001119978410861222,0.0018913094349922743,1.0,0.0,1736704.0,0.0,1736704.0,0.0,0.0,0.0,0.0,0.0,24.032619999343297,0.7719961687331226,2.1329950024664868,0.13684146054131383,177.12341500009643,32.06976886970381,38.99544982910156,0.604369593406792,76942336.0,0.0,96468992.0,0.0,81677824.0,0.0,95420416.0,0.0,11.6,0.8239576748838499,0.0,0.0
hotpotqa,small,256,cpu,5,0.0010695816366933287,0.0017804966404841062,1.0,0.0,3586048.0,0.0,0.0,0.0,90009.6,6490.496190585123,8.465455003170064,0.33199383424182666,40.033205001964234,18.4794725623699,10.232040004484588,0.42280369547503166,916.27943499916,64.63524844626548,45.86813735961914,0.8734093389715638,76954624.0,0.0,100663296.0,0.0,90000896.0,0.0,99090432.0,0.0,10.9875,0.7922968982647856,0.0,0.0
hotpotqa,small,256,gpu,5,0.0010695816366933287,0.0017804966404841062,1.0,0.0,3586048.0,0.0,3586048.0,0.0,0.0,0.0,0.0,0.0,37.59706999771879,23.357751586148453,1.849804993980797,0.446405718306903,269.2602650015033,23.68531242003375,35.630450057983396,6.004822365906737,80165888.0,0.0,102760448.0,0.0,93502976.0,0.0,101187584.0,0.0,10.9875,0.7922968982647856,0.0,0.0
hotpotqa,tiny,32,cpu,5,0.0029656062892172486,0.000739490391693494,1.0,0.0,104960.0,0.0,0.0,0.0,27289.6,4454.694243155191,3.7328700011130422,0.9755336069792978,8.913965000101598,2.2319170373889397,4.645175000769086,1.205485629226271,85.57277000145405,22.951721532380628,22.544540786743163,5.618380925168348,33025024.0,73271.47548671311,46976204.8,1148657.456917074,33383936.0,73271.47548671311,46976204.8,1148657.456917074,13.325,2.1751436734156204,0.0,0.0
hotpotqa,tiny,32,gpu,5,0.0029656062892172486,0.000739490391693494,1.0,0.0,104960.0,0.0,104960.0,0.0,0.0,0.0,0.0,0.0,10.277169999608304,2.546384834341082,1.2575500033563003,0.3838130901631879,61.26471000025049,24.93982538248228,16.89340114593506,2.2269703581968217,33111040.0,73271.47548671311,47395635.2,1148657.456917074,33510400.0,73271.47548671311,47395635.2,1148657.456917074,13.325,2.1751436734156204,0.0,0.0
hotpotqa,tiny,64,cpu,5,0.002757146453950554,0.0005757062108144082,1.0,0.0,202240.0,0.0,0.0,0.0,25088.0,3674.2912241682748,3.9191999974718783,0.6252975636954752,8.90198999986751,1.5148419631166088,4.8287350007740315,0.8024930333254685,127.697064998938,19.90650753413022,20.810803604125976,3.572442705162961,33123328.0,73271.47548671311,48234496.0,0.0,33924480.0,73271.47548671311,47710208.0,0.0,12.25,1.7940875118009154,0.0,0.0
hotpotqa,tiny,64,gpu,5,0.002757146453950554,0.0005757062108144082,1.0,0.0,202240.0,0.0,202240.0,0.0,0.0,0.0,0.0,0.0,9.720275000290712,1.145041412390219,0.9752049998496659,0.12698197640600636,55.900324998947326,3.5870571588100324,18.292757987976074,3.3536349429298626,33305600.0,73271.47548671311,48234496.0,0.0,34119552.0,73271.47548671311,47710208.0,0.0,12.25,1.7940875118009154,0.0,0.0
hotpotqa,tiny,128,cpu,5,0.002631005912553519,0.0007419795305766298,1.0,0.0,434176.0,0.0,0.0,0.0,25958.4,3782.3945854445174,4.365374998451443,1.0519973770473956,10.429740000836318,1.153400670190788,5.253215001721401,1.3009357980947251,227.35438499876182,37.253962862623304,19.70262050628662,3.187563402194769,33320960.0,73271.47548671311,50331648.0,0.0,35891712.0,73271.47548671311,49807360.0,0.0,12.675,1.8468723561740807,0.0,0.0
hotpotqa,tiny,128,gpu,5,0.002631005912553519,0.0007419795305766298,1.0,0.0,434176.0,0.0,434176.0,0.0,0.0,0.0,0.0,0.0,10.940279999340419,1.3199233447847016,0.9585899992089253,0.09711421633029767,89.98320999889984,22.22847410503322,17.573406410217284,2.9609950725044105,33712128.0,73271.47548671311,50331648.0,0.0,36310528.0,73271.47548671311,49807360.0,0.0,12.675,1.8468723561740807,0.0,0.0
hotpotqa,tiny,256,cpu,5,0.002820221189176664,0.000816631732864958,1.0,0.0,896512.0,0.0,0.0,0.0,25958.4,5708.857398814583,4.020150000724243,0.4272858142827921,14.947820002271328,0.46974018072664664,4.8836649977602065,0.5461323486531855,469.47990500120795,23.86799263341871,22.535107040405272,0.2140357625364142,33716224.0,73271.47548671311,50331648.0,0.0,42331724.8,43962.885292027866,49807360.0,0.0,12.675,2.787528026764933,0.0,0.0
