generated_tokens,seeds,examples,direct_tokens_mean,direct_tokens_stddev,head_tokens_mean,head_tokens_stddev,rollover_events_mean,rollover_events_stddev,tokens_migrated_mean,tokens_migrated_stddev,max_direct_tokens_observed_mean,max_direct_tokens_observed_stddev,max_native_operation_tokens_mean,max_native_operation_tokens_stddev,routing_steps_mean,routing_steps_stddev,routing_ms_total_mean,routing_ms_total_stddev,materialized_memory_tokens_total_mean,materialized_memory_tokens_total_stddev,max_materialized_memory_tokens_observed_mean,max_materialized_memory_tokens_observed_stddev,native_limit_violations_mean,native_limit_violations_stddev
16,5,5,5.0,0.0,12.0,0.0,3.0,0.0,12.0,0.0,8.0,0.0,12.0,0.0,8.0,0.0,41.68413998559117,2.6394440363488756,48.0,0.0,8.0,0.0,0.0,0.0
32,5,5,5.0,0.0,28.0,0.0,7.0,0.0,28.0,0.0,8.0,0.0,16.0,0.0,24.0,0.0,126.38967999955639,3.378501512359113,320.0,0.0,20.0,0.0,0.0,0.0
48,5,5,5.0,0.0,44.0,0.0,11.0,0.0,44.0,0.0,8.0,0.0,20.0,0.0,40.0,0.0,213.19896004279144,6.665874072134641,640.0,0.0,20.0,0.0,0.0,0.0
