condition,total_prompt_tokens,seeds,examples,loss_mean,loss_stddev,accuracy_mean,accuracy_stddev,target_chunk_recall_mean,target_chunk_recall_stddev,retrieved_kv_tokens_mean,retrieved_kv_tokens_stddev,active_kv_fraction_mean,active_kv_fraction_stddev,recovered_context_benefit_mean,recovered_context_benefit_stddev,routing_ms_mean,routing_ms_stddev,materialization_ms_mean,materialization_ms_stddev,request_forward_ms_mean,request_forward_ms_stddev,peak_cuda_allocated_mean,peak_cuda_allocated_stddev,selected_chunk_count_mean,selected_chunk_count_stddev,recovered_context_benefit_from_mean_loss
dense_full,24,5,160,0.9306880544289016,1.2680066294157937,0.75,0.4343722427630694,1.0,0.0,0.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
dense_full,48,5,160,0.9294587922166102,1.2564356662553193,0.68125,0.46745497210255044,1.0,0.0,24.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dense_full,96,5,160,0.9438328925636597,1.3208083091922769,0.68125,0.46745497210255044,1.0,0.0,72.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
dense_full,192,5,160,1.497816192836035,1.5039643287455187,0.55625,0.49838575900588716,1.0,0.0,168.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
direct_truncation,24,5,160,0.9306880544289016,1.2680066294157937,0.75,0.4343722427630694,1.0,0.0,0.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan
direct_truncation,48,5,160,1.7720809938386082,1.7542266197877339,0.525,0.5009425079052636,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_truncation,96,5,160,1.7720809938386082,1.7542266197877339,0.525,0.5009425079052636,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_truncation,192,5,160,1.7720809938386082,1.7542266197877339,0.525,0.5009425079052636,0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
head_independent,24,5,160,0.9306582131888718,1.2679541892501844,0.75,0.4343722427630694,1.0,0.0,0.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,3.0687331242916116,0.8681134665233028,16766976.0,3568545.1828989,0.0,0.0,nan
head_independent,48,5,160,1.4127621031948365,1.9876082071188212,0.63125,0.4839808068339568,1.0,0.0,24.0,0.0,1.0,0.0,-0.4844711618218468,13.185316942541988,6.361719999586057,1.3605547296286529,0.6725299997924594,0.223185831989134,15.78359062450545,3.4442531187588896,16945152.0,3568545.1828989,3.0,0.0,0.42642941279271307
head_independent,96,5,160,1.5763280714163557,2.1106460027680245,0.6125,0.4887089911055672,0.96875,0.17453892539484545,64.0,0.0,0.9166666666666666,0.0,0.5422023815289695,7.569126238121266,6.9530462496004475,1.7433611716234962,0.8220481246098643,0.2943130942037096,16.8069762500636,4.1243450471425,17148928.0,3568545.1828989,8.7625,0.4268872267970965,0.23634575451597636
head_independent,192,5,160,1.9287598746363073,2.027628757658916,0.6,0.49143609346716094,0.625,0.4856429311786321,64.0,0.0,0.4583333333333333,0.0,1.8788184970507313,20.427133370543647,7.029768750180665,1.5056361243021326,0.8423806249084009,0.2950622411343608,17.232874374440144,4.333530601598239,17317376.0,3568545.1828989,12.16875,1.4632688271050396,-0.5712686433875599
head_oracle,24,5,160,0.9306582131888718,1.2679541892501844,0.75,0.4343722427630694,1.0,0.0,0.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,3.2294543754687766,1.2765296341694796,16766976.0,3568545.1828989,0.0,0.0,nan
head_oracle,48,5,160,1.1913412144873292,1.5691870812819482,0.65,0.4784671541600979,1.0,0.0,10.0,3.4749779421045552,0.7083333333333333,0.07239537379384493,1.8282893950700612,13.358333920561822,6.1145806242166145,1.2771587310040955,0.6481143756900565,0.1974203497457643,15.625505000753037,3.5946795166444416,16898304.0,3568562.508240697,1.25,0.4343722427630694,0.6892054092965854
head_oracle,96,5,160,1.2018256324168761,1.5718978289103216,0.625,0.4856429311786321,1.0,0.0,10.0,3.4749779421045552,0.35416666666666663,0.03619768689692247,-2.2897600398831286,25.995314472914497,6.119351876259316,1.1263919119601422,0.6270418745771167,0.17980955858474132,15.572334998614679,3.181229058019143,16967424.0,3568562.508240697,1.25,0.4343722427630694,0.6885079006446497
head_oracle,192,5,160,1.5250596477184444,1.9326109730171988,0.65625,0.4764501201396974,1.0,0.0,10.0,3.4749779421045552,0.17708333333333331,0.018098843448461233,-2.8892067204040415,38.29920519023477,6.438450624955294,1.4200864959599535,0.6543662503645464,0.18228416347120313,16.462768125347793,4.400819313110142,17105152.0,3568562.508240697,1.25,0.4343722427630694,0.9006673303215682
head_routed,24,5,160,0.9306582131888718,1.2679541892501844,0.75,0.4343722427630694,1.0,0.0,0.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,3.457542499745614,2.3761430563792865,16814016.0,3569659.247747949,0.0,0.0,nan
head_routed,48,5,160,0.9294262582319789,1.2563671880885503,0.68125,0.46745497210255044,1.0,0.0,24.0,0.0,1.0,0.0,1.0000354717948556,0.0008514708034701496,7.225394374836469,10.278832329745256,0.6600325010367669,0.22053031657831562,16.952547500204673,13.71579469716649,16945152.0,3568545.1828989,3.0,0.0,1.0000386104051955
head_routed,96,5,160,0.9387288527796045,1.3158793948464274,0.6875,0.4649677070006681,0.96875,0.17453892539484545,64.0,0.0,0.9166666666666666,0.0,0.9810127666655732,0.30781315934030506,6.52240437511864,1.2863704111495518,0.8236525002757844,0.2884933775834966,16.407273124696076,3.5619071528148436,17148928.0,3568545.1828989,8.83125,0.3757068809289477,1.006162452743566
head_routed,192,5,160,1.3650286360934842,1.4903309224413306,0.6125,0.4887089911055672,0.89375,0.3091248551971014,64.0,0.0,0.4583333333333333,0.0,0.9064702169303998,2.408428417332408,7.0445268758703605,1.6271553603872844,0.8822381253594358,0.49409913506353886,17.288240624111495,4.349104290404695,17317376.0,3568545.1828989,12.64375,1.3751929538713317,1.4841582159181443
head_shuffled,24,5,160,0.9306582131888718,1.2679541892501844,0.75,0.4343722427630694,1.0,0.0,0.0,0.0,1.0,0.0,nan,0.0,0.0,0.0,0.0,0.0,3.178503749495576,1.0861860204719604,16766976.0,3568545.1828989,0.0,0.0,nan
