sweep,top_k,chunk_size,overlap,seeds,examples,loss_mean,accuracy_mean,target_chunk_recall_mean,active_kv_fraction_mean,retrieved_kv_tokens_mean,routing_ms_mean
chunk_size,8,4,0,5,80,1.5199860893189907,0.6375,0.7125,0.2916666666666667,32.0,8.935583750098886
chunk_size,8,8,0,5,80,1.5517374657094478,0.575,0.8875,0.4583333333333333,64.0,7.453041250482784
chunk_size,8,16,0,5,80,1.6645229836460202,0.525,0.9875,0.7549479166666667,120.95,7.566324999788776
overlap,8,8,0,5,80,1.5517374657094478,0.575,0.8875,0.4583333333333333,64.0,7.607685000402853
overlap,8,8,2,5,80,1.6415045221336186,0.575,0.775,0.4246744791666667,57.5375,7.798748750246887
top_k,2,8,0,5,80,1.4547177255153656,0.7,0.425,0.20833333333333334,16.0,9.274258749064757
top_k,4,8,0,5,80,1.4906743909232318,0.675,0.6125,0.2916666666666667,32.0,8.309485000972927
top_k,8,8,0,5,80,1.5517374657094478,0.575,0.8875,0.4583333333333333,64.0,7.618082498993317
top_k,16,8,0,5,80,1.6480934960767626,0.525,1.0,0.7916666666666666,128.0,8.081207499162701
