dataset,model_tier,split_count,routing_backend,seeds,loss_mean,loss_stddev,token_accuracy_mean,token_accuracy_stddev,duration_seconds_mean,duration_seconds_stddev,routing_latency_seconds_mean,routing_latency_seconds_stddev,materialization_latency_seconds_mean,materialization_latency_seconds_stddev,attention_latency_seconds_mean,attention_latency_seconds_stddev,gist_comparisons_mean,gist_comparisons_stddev,retrieved_physical_kv_tokens_mean,retrieved_physical_kv_tokens_stddev,routing_speedup_mean,routing_speedup_stddev,loss_delta_vs_legacy_mean,loss_delta_vs_legacy_stddev
hotpotqa,small,32,legacy,5,0.0009122292703068524,0.0013982055293281323,1.0,0.0,6.1261421800008975,0.5435803408898875,0.1420441112500157,0.0034074360253986743,0.0019403618743126573,3.1969236837223015e-05,0.0077873093748166864,0.00017226636616179773,124.0,0.0,12.0453125,0.33321938156415815,6.5631935365859935,0.23377120162390483,0.0,0.0
hotpotqa,small,32,tensorized,5,0.0009122292703068524,0.0013982055293281323,1.0,0.0,2.200306599997566,0.4790986861180124,0.021656209376396875,0.000640220548834951,0.002131341250424157,0.00024173474608858313,0.008395536874650134,0.00012934869799392248,124.0,0.0,12.0453125,0.33321938156415815,6.5631935365859935,0.23377120162390483,0.0,0.0
hotpotqa,small,64,legacy,5,0.001206217716480751,0.0020766584210401063,1.0,0.0,10.90276100000483,0.841210277713226,0.2790299200008121,0.00992648138318138,0.0019162718754159869,7.061440732514717e-05,0.007780560625269573,0.00025364676947811984,252.0,0.0,11.6875,0.6428125759601316,11.170225138559603,0.3000149440975891,0.0,0.0
hotpotqa,small,64,tensorized,5,0.001206217716480751,0.0020766584210401063,1.0,0.0,2.6151208399998724,0.8391580214797469,0.024975823123077133,0.00029736240158378133,0.0019458618748103619,1.0592905769563768e-05,0.008005144998969626,0.00021036964607200245,252.0,0.0,11.6875,0.6428125759601316,11.170225138559603,0.3000149440975891,0.0,0.0
hotpotqa,small,128,legacy,5,0.0013460999257404183,0.002389404162751733,1.0,0.0,20.62386733999883,1.693759613967285,0.5517757943757715,0.01448030679016747,0.001973300625286356,3.460173189242217e-05,0.007839390622939391,0.000528843082323192,508.0,0.0,11.6375,0.7764618898608289,15.754487643988558,0.3645114122984391,0.0,0.0
hotpotqa,small,128,tensorized,5,0.0013460999257404183,0.002389404162751733,1.0,0.0,3.6000818000000434,1.571260653771952,0.03502160624957469,0.0001831258401763816,0.001967427500130725,2.097194493238897e-05,0.008227260625426424,0.00016090805695353322,508.0,0.0,11.6375,0.7764618898608289,15.754487643988558,0.3645114122984391,0.0,0.0
hotpotqa,small,256,legacy,5,0.0013510948037037452,0.002400995676957614,1.0,0.0,33.81167801999836,2.193429835108286,0.9078491100006432,0.13816013759308285,0.0018939662517368562,0.0004494324867811929,0.006677974999092839,0.0008224992861768659,1020.0,0.0,11.44375,0.8263431596970625,16.474900092288074,2.975259049654267,0.0,0.0
hotpotqa,small,256,tensorized,5,0.0013510948037037452,0.002400995676957614,1.0,0.0,5.299989899998764,2.6474763284620537,0.05544866875052321,0.0042724278952337505,0.0016870462492988736,0.00031656104258984537,0.007203931875301351,0.0011503482715258606,1020.0,0.0,11.44375,0.8263431596970625,16.474900092288074,2.975259049654267,0.0,0.0
hotpotqa,tiny,32,legacy,5,0.003000668172899168,0.0007649908983863683,1.0,0.0,2.973384120003902,0.44745526145438724,0.06502520187668778,0.011696515367189696,0.0008791806248154898,0.00019619608822823664,0.003644333749980433,0.0005935953309252513,62.0,0.0,13.459375,1.4460344480682332,6.855965833313381,0.5783856200213887,0.0,0.0
hotpotqa,tiny,32,tensorized,5,0.003000668172899168,0.0007649908983863683,1.0,0.0,1.1115606200008188,0.40523668480999464,0.009485160000167525,0.0015785976726616097,0.0008946143738285173,0.00016942248594479432,0.0037256875013554234,0.0006311861075854717,62.0,0.0,13.459375,1.4460344480682332,6.855965833313381,0.5783856200213887,0.0,0.0
hotpotqa,tiny,64,legacy,5,0.003672052399633685,0.002141482674481458,1.0,0.0,5.299157240003114,0.5444966050245378,0.13002924812535638,0.014817694788876096,0.0009197606252200786,0.00011087869063009687,0.0036842943748524705,0.0003314749080149998,126.0,0.0,12.89375,1.9571645725545157,10.520356695800604,0.9508162824185471,0.0,0.0
hotpotqa,tiny,64,tensorized,5,0.003672052399633685,0.002141482674481458,1.0,0.0,1.4749506999971345,0.5356233427262765,0.012336605624113872,0.00036148614529170917,0.000928797499727807,2.9692398649439454e-05,0.00386932625042391,0.00012973967092781268,126.0,0.0,12.89375,1.9571645725545157,10.520356695800604,0.9508162824185471,0.0,0.0
hotpotqa,tiny,128,legacy,5,0.0027034745988203214,0.0007211954931459396,1.0,0.0,10.426846200003638,1.1291047349758327,0.2684529975001169,0.01076805920436514,0.0009646931235693046,4.815701099758578e-05,0.0038044725006329827,0.00011422049407700246,254.0,0.0,12.85625,2.318072887996083,14.723091367711387,1.2197197002415936,0.0,0.0
hotpotqa,tiny,128,tensorized,5,0.0027034745988203214,0.0007211954931459396,1.0,0.0,2.118686859999434,0.781642729463972,0.01838555874919621,0.0023641168505372516,0.0009844618759416335,9.499370468011145e-05,0.004140068749347847,0.00037060406626817245,254.0,0.0,12.85625,2.318072887996083,14.723091367711387,1.2197197002415936,0.0,0.0
hotpotqa,tiny,256,legacy,5,0.002812242420623079,0.0008582335593969326,1.0,0.0,20.410857959993884,1.6304759747026059,0.5420803387502928,0.011926588983073732,0.0011484500007099996,8.04098281924818e-05,0.0038062162497226383,0.00010535154561901044,510.0,0.0,12.73125,2.960420057029492,19.378431482880973,1.1655319239996096,0.0,0.0
hotpotqa,tiny,256,tensorized,5,0.002812242420623079,0.0008582335593969326,1.0,0.0,3.350346940002055,1.6376234482221845,0.028036235625768312,0.0013743651644750497,0.0009792231241590344,3.755610168420591e-05,0.004142286875594437,0.00013714210748878326,510.0,0.0,12.73125,2.960420057029492,19.378431482880973,1.1655319239996096,0.0,0.0
qasper,small,32,legacy,5,0.00033199640884049584,0.00010082923540297511,1.0,0.0,5.990809939999599,0.5203861180862999,0.1388725750000958,0.0033253523161578917,0.0018552899980932124,2.94358633665209e-05,0.007732630625287129,0.00020521202831390152,124.0,0.0,10.7,0.5391643925441479,6.950458108051609,0.5301721590780164,0.0,0.0
qasper,small,32,tensorized,5,0.00033199640884049584,0.00010082923540297511,1.0,0.0,2.097795679999399,0.6176093243441886,0.020062843749292368,0.001404967485593513,0.00191234499852726,4.405398967639249e-05,0.007964768750935037,0.00034425911266853376,124.0,0.0,10.7,0.5391643925441479,6.950458108051609,0.5301721590780164,0.0,0.0
qasper,small,64,legacy,5,0.00029086172817187616,4.5372720362748204e-05,1.0,0.0,10.691408680001041,0.8224748822097973,0.2727527618746535,0.005831774141381108,0.0018644724998011953,4.131472959361418e-05,0.007510626874045556,0.0001603745880214379,252.0,0.0,10.6890625,0.8381687511884167,10.970102574927893,0.1612452234247259,0.0,0.0
qasper,small,64,tensorized,5,0.00029086172817187616,4.5372720362748204e-05,1.0,0.0,2.528182839998044,0.8180495470716519,0.024862623749413615,0.00032539307088083196,0.0018908518751231894,1.8203072176652393e-05,0.007961053125472971,0.00020837775109937572,252.0,0.0,10.6890625,0.8381687511884167,10.970102574927893,0.1612452234247259,0.0,0.0
qasper,small,128,legacy,5,0.00027925492022404794,3.165968501521499e-05,1.0,0.0,20.54002202000702,1.5435913353812518,0.550303259375687,0.009870979158545425,0.001950825001767953,7.55532142732239e-05,0.007648601251185027,0.00024063285626074762,508.0,0.0,10.9703125,0.6892157213433795,15.637280450391989,0.503743934662199,0.0,0.0
qasper,small,128,tensorized,5,0.00027925492022404794,3.165968501521499e-05,1.0,0.0,3.6506053399993106,1.4485944203606795,0.035223785624293666,0.0014081928117706743,0.0019437618758274765,5.128417023103178e-05,0.008059704374591092,0.000324548518543804,508.0,0.0,10.9703125,0.6892157213433795,15.637280450391989,0.503743934662199,0.0,0.0
qasper,small,256,legacy,5,0.00028149609452157167,3.411311958837764e-05,1.0,0.0,36.12452676000248,1.0453317657420051,0.9805895356230394,0.07936962507866008,0.002050905000669445,0.0002687756418884036,0.006995556875335751,0.0005627934010541216,1020.0,0.0,10.8171875,0.47725359725595573,18.509614134538644,2.1599096641031066,0.0,0.0
qasper,small,256,tensorized,5,0.00028149609452157167,3.411311958837764e-05,1.0,0.0,5.2178694400034145,2.7458352767947574,0.05315214062547966,0.001938246414484942,0.0016340037499503524,0.00031969383494254513,0.006964781248552754,0.0011326326807239377,1020.0,0.0,10.8171875,0.47725359725595573,18.509614134538644,2.1599096641031066,0.0,0.0
qasper,tiny,32,legacy,5,0.002592505062057171,0.00035014652165874156,1.0,0.0,3.126954719997593,0.38027037814091474,0.06841147624973018,0.003325536794299483,0.0009421568752259191,4.7652692911316876e-05,0.003907277499274641,0.00019155801600805955,62.0,0.0,11.03125,0.6906886282906357,6.628629363201081,0.8218046460052156,0.0,0.0
qasper,tiny,32,tensorized,5,0.002592505062057171,0.00035014652165874156,1.0,0.0,1.2106065600004512,0.3558375051198375,0.01040315624923096,0.0008748083282435681,0.0009766050007783632,4.3487846572122034e-05,0.00416530749962476,0.0005631305774856713,62.0,0.0,11.03125,0.6906886282906357,6.628629363201081,0.8218046460052156,0.0,0.0
qasper,tiny,64,legacy,5,0.0024975110296509228,0.00039371482805237583,1.0,0.0,5.451701559999492,0.547059487401936,0.13398066499830746,0.003912632245749471,0.0009313787507380766,3.352267265139918e-05,0.0037263856256686267,0.00011022665382485481,126.0,0.0,11.675,1.0669369672982092,10.373939981170485,0.5695882067537057,0.0,0.0
qasper,tiny,64,tensorized,5,0.0024975110296509228,0.00039371482805237583,1.0,0.0,1.4742627600033302,0.4443673562070273,0.0129401893756949,0.0006796225157036215,0.0009455900003558781,2.5797387210675135e-05,0.004027415623659181,0.00024317725922225002,126.0,0.0,11.675,1.0669369672982092,10.373939981170485,0.5695882067537057,0.0,0.0
