logical_context_tokens,seeds,examples,logical_to_native_context_ratio_mean,logical_to_native_context_ratio_stddev,encoding_calls_mean,encoding_calls_stddev,max_encoding_input_tokens_mean,max_encoding_input_tokens_stddev,native_limit_violation_mean,native_limit_violation_stddev
24,5,80,0.75,0.0,2.0,0.0,16.0,0.0,0.0,0.0
56,5,80,1.75,0.0,4.0,0.0,20.0,0.0,0.0,0.0
120,5,80,3.75,0.0,8.0,0.0,20.0,0.0,0.0,0.0
184,5,80,5.75,0.0,12.0,0.0,20.0,0.0,0.0,0.0
