condition,total_prompt_tokens,seeds,examples,loss_mean,loss_stddev,accuracy_mean,accuracy_stddev,target_chunk_recall_mean,target_chunk_recall_stddev,retrieved_kv_tokens_mean,retrieved_kv_tokens_stddev,memory_tokens_materialized_mean,memory_tokens_materialized_stddev,encoding_calls_mean,encoding_calls_stddev,max_encoding_input_tokens_mean,max_encoding_input_tokens_stddev,request_forward_ms_mean,request_forward_ms_stddev,memory_attention_ms_mean,memory_attention_ms_stddev,transfer_bytes_mean,transfer_bytes_stddev
dense_full,32,5,80,1.0521768569014966,1.3050191264503987,0.6375,0.48375509024895247,1.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense_full,64,5,80,0.942318977508694,1.1403770844301004,0.7,0.4611488131266319,1.0,0.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense_full,128,5,80,0.9973570566624403,1.1083797991699367,0.65,0.4799789024899355,1.0,0.0,120.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dense_full,192,5,80,1.7145319261588157,1.5695005434859948,0.5125,0.5029973450366553,1.0,0.0,184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_truncation,32,5,80,1.228711074963212,1.6205180212003985,0.65,0.4799789024899355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_truncation,64,5,80,1.228711074963212,1.6205180212003985,0.65,0.4799789024899355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_truncation,128,5,80,1.228711074963212,1.6205180212003985,0.65,0.4799789024899355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
direct_truncation,192,5,80,1.228711074963212,1.6205180212003985,0.65,0.4799789024899355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
head_independent,32,5,80,1.035937470989302,1.2897336585553756,0.6375,0.48375509024895247,1.0,0.0,20.0,0.0,20.0,0.0,2.0,0.0,16.0,0.0,17.235081248145434,2.4885353183712513,3.55726249908912,0.631193577437772,0.0,0.0
head_independent,64,5,80,1.6287405110895634,2.0296322075185995,0.625,0.4871773518462232,0.75,0.4357446703305951,20.0,0.0,20.0,0.0,4.0,0.0,16.0,0.0,18.583452499296982,4.567801002392086,3.809364999324316,1.1938479926934142,0.0,0.0
head_independent,128,5,80,1.6544029441662134,2.0463803075820373,0.625,0.4871773518462232,0.4125,0.49539014161069383,20.0,0.0,20.0,0.0,8.0,0.0,16.0,0.0,18.7786012495053,2.5899857852207746,3.78355249777087,0.6450906845458918,0.0,0.0
head_independent,192,5,80,1.7088890220038593,2.1327183653442705,0.6375,0.48375509024895247,0.2625,0.4427689056352855,20.0,0.0,20.0,0.0,12.0,0.0,16.0,0.0,18.683638751099352,2.2399845490449932,3.778219997911947,0.6254630340431895,0.0,0.0
head_oracle,32,5,80,1.302943373238668,1.711657532758271,0.6375,0.48375509024895247,1.0,0.0,6.0,2.0126184217065104,6.0,2.0126184217065104,2.0,0.0,16.0,0.0,16.833377498551272,3.015331903057127,3.508935001445934,0.6038262518019981,0.0,0.0
head_oracle,64,5,80,0.9331479758024216,1.0829130259193225,0.6875,0.4664368029425214,1.0,0.0,6.0,2.0126184217065104,6.0,2.0126184217065104,4.0,0.0,20.0,0.0,17.854921250909683,2.968111972727068,3.7136624996492174,0.7461861693185522,0.0,0.0
head_oracle,128,5,80,0.9489118392579258,1.1181524476148605,0.6875,0.4664368029425214,1.0,0.0,6.0,2.0126184217065104,6.0,2.0126184217065104,8.0,0.0,20.0,0.0,17.416173750098096,1.8421151174174768,3.7375887481175596,0.5196298344443144,0.0,0.0
head_oracle,192,5,80,0.8738017321564258,1.082839724450998,0.7125,0.45545220260830827,1.0,0.0,6.0,2.0126184217065104,6.0,2.0126184217065104,12.0,0.0,20.0,0.0,17.314899999837507,1.9435537159468295,3.631422499893233,0.5671430613239339,0.0,0.0
head_routed,32,5,80,1.0431035432498903,1.2881819898033309,0.6375,0.48375509024895247,1.0,0.0,20.0,0.0,20.0,0.0,2.0,0.0,16.0,0.0,19.431346251440118,18.290632881919056,4.093221251969226,4.399088097906885,0.0,0.0
head_routed,64,5,80,1.0421966651454568,1.1018542501385673,0.6625,0.47584036255125667,0.8125,0.39277493797177815,20.0,0.0,20.0,0.0,4.0,0.0,20.0,0.0,18.159330000707996,2.481689853667558,3.8154087520524627,0.6563015216718551,0.0,0.0
head_routed,128,5,80,1.0585360084660351,1.144589430910928,0.7,0.4611488131266319,0.5625,0.49920823386588253,20.0,0.0,20.0,0.0,8.0,0.0,20.0,0.0,19.31068375160976,3.613875884770131,3.898164999918663,1.0976562873541726,0.0,0.0
head_routed,192,5,80,1.0566721726208925,1.1812114347847693,0.6875,0.4664368029425214,0.525,0.5025252685881778,20.0,0.0,20.0,0.0,12.0,0.0,20.0,0.0,18.61458625025989,1.7491428938690443,3.6937837474397384,0.5069423432935632,0.0,0.0
head_shuffled,32,5,80,1.6256195430643856,1.6553569868035838,0.4875,0.5029973450366553,0.0,0.0,6.0,2.0126184217065104,6.0,2.0126184217065104,2.0,0.0,16.0,0.0,16.841392498099594,2.278244378994642,3.5492437509674346,0.6326047436085803,0.0,0.0
head_shuffled,64,5,80,1.1204700430855155,1.1757818649412832,0.6375,0.48375509024895247,0.0,0.0,6.0,2.0126184217065104,6.0,2.0126184217065104,4.0,0.0,20.0,0.0,18.41854625090491,4.806604791039923,3.9183975008199923,1.0223071050984978,0.0,0.0
head_shuffled,128,5,80,1.1204700430855155,1.1757818649412832,0.6375,0.48375509024895247,0.0,0.0,6.0,2.0126184217065104,6.0,2.0126184217065104,8.0,0.0,20.0,0.0,17.91051750224142,2.4846995046017235,3.8068362497142516,0.8114134529508747,0.0,0.0
head_shuffled,192,5,80,1.1204700430855155,1.1757818649412832,0.6375,0.48375509024895247,0.0,0.0,6.0,2.0126184217065104,6.0,2.0126184217065104,12.0,0.0,20.0,0.0,17.300774999239366,1.932910744228213,3.6611387506127357,0.6298147942979003,0.0,0.0
