dataset,layer,mean_out_degree,effective_branching_factor,unique_neighbor_count,duplicate_neighbor_rate,connected_component_count,giant_component_fraction,graph_density,reciprocal_edge_rate,mean_evidence_native_distance,shortcut_rate,unreachable_evidence_fraction,depth_contraction,complete_recovery,node_recall,examples
musique,0,6.0,3.9655056843255787,19.555555555555557,0.8416715826890947,1.0,1.0,0.31412438127058756,0.33578687660102835,1.324074074074074,0.4166666666666667,0.05555555555555555,1.625,0.8888888888888888,0.9583333333333334,18
musique,4,6.0,3.0049931075611203,10.11111111111111,0.9184001380159734,1.0,1.0,0.31412438127058756,0.34032052227029497,1.1851851851851851,0.3888888888888889,0.05555555555555555,1.625,0.8888888888888888,0.9722222222222222,18
musique,8,6.0,3.095022993299928,10.5,0.9153663276904965,1.0,1.0,0.31412438127058756,0.34894428663965465,1.3611111111111112,0.35185185185185186,0.0,1.5,1.0,1.0,18
musique,12,6.0,3.1664747906880084,11.944444444444445,0.9036151012520364,1.0,1.0,0.31412438127058756,0.33471818740183334,1.2962962962962963,0.32407407407407407,0.0,1.6666666666666667,1.0,1.0,18
musique,16,6.0,3.126811397432185,10.666666666666666,0.9138954998263394,1.0,1.0,0.31412438127058756,0.33313724772590925,1.3055555555555556,0.2685185185185185,0.0,1.5,1.0,1.0,18
musique,20,6.0,3.0912627033850812,10.444444444444445,0.9157521301596323,1.0,1.0,0.31412438127058756,0.3399283296981507,1.2870370370370372,0.28703703703703703,0.018518518518518517,1.411764705882353,0.9444444444444444,0.9861111111111112,18
musique,24,6.0,3.0464337324601125,10.222222222222221,0.9174373745984999,1.0,1.0,0.31412438127058756,0.3390193802597895,1.1176470588235294,0.3055555555555556,0.05555555555555555,1.7058823529411764,0.9444444444444444,0.9722222222222222,18
musique,27,6.0,3.005918587969858,10.166666666666666,0.918036119988912,1.0,1.0,0.31412438127058756,0.3443759140068461,1.088235294117647,0.4444444444444444,0.05555555555555555,1.8823529411764706,0.9444444444444444,0.9814814814814815,18
2wikimultihopqa,0,5.958333333333333,3.0252117489720365,10.583333333333334,0.8360832069165403,1.0,1.0,0.6553742417713005,0.6741485366485366,1.1372549019607843,0.0,0.041666666666666664,1.0,1.0,1.0,24
2wikimultihopqa,4,5.958333333333333,2.638815397620319,7.791666666666667,0.8716974769058102,1.0,1.0,0.6553742417713005,0.6841249028749029,1.03125,0.0,0.09722222222222222,1.0869565217391304,0.9583333333333334,0.9791666666666666,24
2wikimultihopqa,8,5.958333333333333,2.683151860389057,8.083333333333334,0.86693457005957,1.0,1.0,0.6553742417713005,0.6806912608995942,1.0625,0.0,0.10416666666666667,1.0434782608695652,0.9583333333333334,0.9791666666666666,24
2wikimultihopqa,12,5.958333333333333,2.803717570521132,9.416666666666666,0.8505428984595652,1.0,1.0,0.6553742417713005,0.6898653044486377,1.0,0.0,0.09722222222222222,1.0869565217391304,0.9583333333333334,0.9791666666666666,24
2wikimultihopqa,16,5.958333333333333,2.690131103088523,8.333333333333334,0.8644188758772092,1.0,1.0,0.6553742417713005,0.6860048130881463,1.0,0.0,0.11805555555555557,1.0869565217391304,0.9583333333333334,0.9791666666666666,24
2wikimultihopqa,20,5.958333333333333,2.68063222744914,8.083333333333334,0.8669977013727014,1.0,1.0,0.6553742417713005,0.6821187300353967,1.0208333333333333,0.0,0.08333333333333333,1.0869565217391304,0.9583333333333334,0.9791666666666666,24
