dataset,example_id,partition,annotated_hops,graph_type,H,node_recall,complete_recovery,visited_count,nodes_expanded,search_seconds,layer
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,0,1.0,1,2,0,2.8199981898069382e-05,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,1,1.0,1,7,2,0.0019069000845775008,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,2,1.0,1,12,7,0.0034179999493062496,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,3,1.0,1,12,9,0.00342399999499321,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,4,1.0,1,12,10,0.0046400000574067235,0
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,0,1.0,1,2,0,2.9099988751113415e-05,4
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,1,1.0,1,7,2,0.0013158000074326992,4
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,2,1.0,1,7,7,0.0025917000602930784,4
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,3,1.0,1,7,7,0.0027571000391617417,4
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,4,1.0,1,7,7,0.0028934000292792916,4
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,0,1.0,1,2,0,2.6099965907633305e-05,8
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,1,1.0,1,7,2,0.001082699978724122,8
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,2,1.0,1,7,7,0.002382099977694452,8
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,3,1.0,1,7,7,0.0027263000374659896,8
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,4,1.0,1,7,7,0.0025740000419318676,8
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,0,1.0,1,2,0,2.7499976567924023e-05,12
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,1,1.0,1,9,2,0.0013505000388249755,12
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,2,1.0,1,9,9,0.0033614999847486615,12
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,3,1.0,1,9,9,0.0042492999928072095,12
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,4,1.0,1,9,9,0.0034386999905109406,12
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,0,1.0,1,2,0,2.6699970476329327e-05,16
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,1,1.0,1,7,2,0.0010664000874385238,16
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,2,1.0,1,7,7,0.0023497999645769596,16
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,3,1.0,1,7,7,0.0035200000274926424,16
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,4,1.0,1,7,7,0.0029215000104159117,16
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,0,1.0,1,2,0,2.5399960577487946e-05,20
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,1,1.0,1,7,2,0.0010791999520733953,20
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,2,1.0,1,7,7,0.003178899991326034,20
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,3,1.0,1,7,7,0.0035564000718295574,20
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,4,1.0,1,7,7,0.0023976999800652266,20
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,0,1.0,1,2,0,2.729997504502535e-05,24
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,1,1.0,1,7,2,0.001365999924018979,24
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,2,1.0,1,7,7,0.0025734000373631716,24
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,3,1.0,1,7,7,0.0026762000052258372,24
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,4,1.0,1,7,7,0.002868100069463253,24
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,0,1.0,1,2,0,2.6400084607303143e-05,27
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,1,1.0,1,7,2,0.0010743000311776996,27
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,2,1.0,1,7,7,0.002345499931834638,27
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,3,1.0,1,7,7,0.0033236000454053283,27
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,independent,4,1.0,1,7,7,0.002440800075419247,27
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,0,1.0,1,2,0,4.980002995580435e-05,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,1,1.0,1,7,2,0.001088600023649633,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,2,1.0,1,7,2,0.0010772000532597303,0
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,independent,3,1.0,1,7,2,0.001331700012087822,0
