dataset,example_id,partition,layer,parent_count,cache_tensor_bytes,candidate_tensor_bytes,native_dot_products,h2d_seconds,adjacency_build_seconds,peak_gpu_allocated_bytes
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,0,13,9635360,676,38937600,0.0394170000217855,0.5036736999172717,86511616
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,4,13,9635360,676,38937600,0.003836299991235137,0.1751005999976769,86511616
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,8,13,9635360,676,38937600,0.0041588000021874905,0.1735560999950394,86511616
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,12,13,9635360,676,38937600,0.004266100004315376,0.1727958999108523,86511616
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,16,13,9635360,676,38937600,0.0037175000179558992,0.1726942000677809,86511616
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,20,13,9635360,676,38937600,0.004291399964131415,0.17256630002520978,86511616
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,24,13,9635360,676,38937600,0.004655900062061846,0.1734215000178665,86511616
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,27,13,9635360,676,38937600,0.004382100072689354,0.17321109992917627,86511616
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,0,7,4916000,196,9659664,0.0023489000741392374,0.05130449996795505,48314880
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,4,7,4916000,196,9659664,0.0024344000266864896,0.05185899999924004,48314880
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,8,7,4916000,196,9659664,0.0028237999649718404,0.051336599979549646,48314880
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,12,7,4916000,196,9659664,0.002516400068998337,0.050753199961036444,48314880
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,16,7,4916000,196,9659664,0.0025028999662026763,0.050685200025327504,48314880
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,20,7,4916000,196,9659664,0.002953200018964708,0.0529982999432832,48314880
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,24,7,4916000,196,9659664,0.002404900034889579,0.050348599907010794,48314880
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,27,7,4916000,196,9659664,0.0024759999942034483,0.051180399954319,48314880
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,0,6,4129440,144,6843456,0.0025258000241592526,0.03820950002409518,42143232
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,4,6,4129440,144,6843456,0.0023264000192284584,0.038235099986195564,42143232
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,8,6,4129440,144,6843456,0.0022905999794602394,0.03822240000590682,42143232
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,12,6,4129440,144,6843456,0.0032608999172225595,0.03899950010236353,42143232
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,16,6,4129440,144,6843456,0.002429499989375472,0.03886520001105964,42143232
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,20,6,4129440,144,6843456,0.00256459997035563,0.04327779996674508,42143232
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,24,6,4129440,144,6843456,0.0022513000294566154,0.03731579997111112,42143232
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,27,6,4129440,144,6843456,0.0023862000089138746,0.03690339997410774,42143232
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,0,11,8062240,484,26749584,0.002944399951957166,0.12974760006181896,73778688
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,4,11,8062240,484,26749584,0.004020799999125302,0.12712800002191216,73778688
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,8,11,8062240,484,26749584,0.0038910999428480864,0.12483780004549772,73778688
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,12,11,8062240,484,26749584,0.0032303999178111553,0.12487759999930859,73778688
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,16,11,8062240,484,26749584,0.003912999993190169,0.1252687000669539,73778688
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,20,11,8062240,484,26749584,0.003256099997088313,0.12527939991559833,73778688
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,24,11,8062240,484,26749584,0.0037935000145807862,0.12451310001779348,73778688
2wikimultihopqa,001ad110086911ebbd5eac1f6bf848b6,test,27,11,8062240,484,26749584,0.0034951999550685287,0.12486059998627752,73778688
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,0,8,5899200,256,14107536,0.006558299995958805,0.20387189998291433,57972736
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,4,8,5899200,256,14107536,0.002870500087738037,0.06949070002883673,57972736
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,8,8,5899200,256,14107536,0.0030724999960511923,0.06779020000249147,57972736
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,12,8,5899200,256,14107536,0.002553099999204278,0.06857940007466823,57972736
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,16,8,5899200,256,14107536,0.0030644999351352453,0.06688639998901635,57972736
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,20,8,5899200,256,14107536,0.0026576999807730317,0.06652739993296564,57972736
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,24,8,5899200,256,14107536,0.002795000094920397,0.06681839993689209,57972736
2wikimultihopqa,00223e06084a11ebbd55ac1f6bf848b6,test,27,8,5899200,256,14107536,0.0037460000021383166,0.06675470003392547,57972736
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,0,9,6882400,324,19891600,0.006732900044880807,0.25277299992740154,66063872
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,4,9,6882400,324,19891600,0.003409299999475479,0.09438000002410263,66063872
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,8,9,6882400,324,19891600,0.0035382000496611,0.09237720002420247,66063872
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,12,9,6882400,324,19891600,0.0026405000826343894,0.09143059991765767,66063872
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,16,9,6882400,324,19891600,0.0032673999667167664,0.09060520003549755,66063872
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,20,9,6882400,324,19891600,0.002952700015157461,0.09132599993608892,66063872
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,24,9,6882400,324,19891600,0.003366400022059679,0.09223379998002201,66063872
2wikimultihopqa,002e925e0bde11eba7f7acde48001122,validation,27,9,6882400,324,19891600,0.003837800002656877,0.09134850010741502,66063872
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,0,8,6095840,256,15335056,0.006011700024828315,0.2544806000078097,59301376
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,4,8,6095840,256,15335056,0.0027897999389097095,0.07343200000468642,59301376
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,8,8,6095840,256,15335056,0.0027814999921247363,0.07262469991110265,59301376
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,12,8,6095840,256,15335056,0.002800700021907687,0.07189959997776896,59301376
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,16,8,6095840,256,15335056,0.003102299990132451,0.0724970999872312,59301376
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,20,8,6095840,256,15335056,0.002750099985860288,0.07209729996975511,59301376
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,24,8,6095840,256,15335056,0.0034090999979525805,0.07202359999064356,59301376
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,27,8,6095840,256,15335056,0.003315199981443584,0.07022370002232492,59301376
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,0,7,5112640,196,10679824,0.006075100041925907,0.2150621999753639,50954240
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,4,7,5112640,196,10679824,0.002840899978764355,0.05576919997110963,50954240
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,8,7,5112640,196,10679824,0.0026193000376224518,0.056020200019702315,50954240
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,12,7,5112640,196,10679824,0.002741200034506619,0.0549050000263378,50954240
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,16,7,5112640,196,10679824,0.0035863000666722655,0.05445139994844794,50954240
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,20,7,5112640,196,10679824,0.003102899994701147,0.05396940000355244,50954240
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,24,7,5112640,196,10679824,0.002547800075262785,0.05390819988679141,50954240
2wikimultihopqa,00310dc8094611ebbdaeac1f6bf848b6,test,27,7,5112640,196,10679824,0.0025616000639274716,0.053010799922049046,50954240
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,0,15,11798400,900,58920976,0.010498599964194,0.36146110005211085,104670720
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,4,15,11798400,900,58920976,0.005362099967896938,0.2481065000174567,104670720
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,8,15,11798400,900,58920976,0.005236999946646392,0.24769540003035218,104670720
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,12,15,11798400,900,58920976,0.004887000075541437,0.24810530000831932,104670720
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,16,15,11798400,900,58920976,0.0044281999580562115,0.24827059998642653,104670720
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,20,15,11798400,900,58920976,0.004216399975121021,0.24911670002620667,104670720
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,24,15,11798400,900,58920976,0.004480500007048249,0.24927239993121475,104670720
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,27,15,11798400,900,58920976,0.004176400019787252,0.24876820005010813,104670720
