dataset,example_id,partition,question_type,annotated_hops,graph_type,chunk_size,source_node,target_node,source_annotated_step,target_annotated_step,source_parent_group,target_parent_group,mapping_status,partial_parent_overlap,target_native_rank,reciprocal_rank,recovered_at_1,recovered_at_2,recovered_at_3,recovered_at_4,recovered_at_5,recovered_at_6,recovered_at_8,recovered_at_11,shortest_path_at_1,path_distortion_at_1,shortest_path_at_2,path_distortion_at_2,shortest_path_at_3,path_distortion_at_3,shortest_path_at_4,path_distortion_at_4,shortest_path_at_5,path_distortion_at_5,shortest_path_at_6,path_distortion_at_6,shortest_path_at_8,path_distortion_at_8,shortest_path_at_11,path_distortion_at_11,layer,lexical_overlap,lexical_group
2wikimultihopqa,002f12240bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[2],[4],preserved,0,2,0.5,0,1,1,1,1,1,1,1,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,27,0.0967741935483871,low
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[10],[0],preserved,0,12,0.08333333333333333,0,0,0,0,0,0,0,0,,,,,4,3,2,1,2,1,2,1,2,1,2,1,0,0.041666666666666664,low
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[10],[0],preserved,0,4,0.25,0,0,0,1,1,1,1,1,,,2,1,2,1,1,0,1,0,1,0,1,0,1,0,4,0.041666666666666664,low
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[10],[0],preserved,0,7,0.14285714285714285,0,0,0,0,0,0,1,1,3,2,3,2,2,1,2,1,2,1,2,1,1,0,1,0,8,0.041666666666666664,low
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[10],[0],preserved,0,6,0.16666666666666666,0,0,0,0,0,1,1,1,,,3,2,3,2,3,2,2,1,1,0,1,0,1,0,12,0.041666666666666664,low
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[10],[0],preserved,0,4,0.25,0,0,0,1,1,1,1,1,,,3,2,2,1,1,0,1,0,1,0,1,0,1,0,16,0.041666666666666664,low
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[10],[0],preserved,0,4,0.25,0,0,0,1,1,1,1,1,,,3,2,2,1,1,0,1,0,1,0,1,0,1,0,20,0.041666666666666664,low
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[10],[0],preserved,0,1,1.0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,24,0.041666666666666664,low
2wikimultihopqa,003285a80bde11eba7f7acde48001122,test,compositional,2,chain,128,0,1,1,2,[10],[0],preserved,0,3,0.3333333333333333,0,0,1,1,1,1,1,1,2,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,27,0.041666666666666664,low
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,[0],"[1, 2]",preserved,0,1,1.0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.14705882352941177,high
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,[0],"[1, 2]",preserved,0,2,0.5,0,1,1,1,1,1,1,1,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,0.14705882352941177,high
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,[0],"[1, 2]",preserved,0,2,0.5,0,1,1,1,1,1,1,1,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,8,0.14705882352941177,high
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,[0],"[1, 2]",preserved,0,2,0.5,0,1,1,1,1,1,1,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,12,0.14705882352941177,high
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,[0],"[1, 2]",preserved,0,1,1.0,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,16,0.14705882352941177,high
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,[0],"[1, 2]",preserved,0,2,0.5,0,1,1,1,1,1,1,1,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,20,0.14705882352941177,high
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,[0],"[1, 2]",preserved,0,2,0.5,0,1,1,1,1,1,1,1,2,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,24,0.14705882352941177,high
2wikimultihopqa,003f41f80bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,[0],"[1, 2]",preserved,0,2,0.5,0,1,1,1,1,1,1,1,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,27,0.14705882352941177,high
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,"[13, 14]",[1],preserved,0,2,0.5,0,1,1,1,1,1,1,1,,,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,0.11475409836065574,high
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,"[13, 14]",[1],preserved,0,9,0.1111111111111111,0,0,0,0,0,0,0,1,,,,,,,,,,,,,2,1,1,0,4,0.11475409836065574,high
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,"[13, 14]",[1],preserved,0,11,0.09090909090909091,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,1,0,8,0.11475409836065574,high
2wikimultihopqa,004430780bde11eba7f7acde48001122,validation,compositional,2,chain,128,0,1,1,2,"[13, 14]",[1],preserved,0,13,0.07692307692307693,0,0,0,0,0,0,0,0,,,,,,,,,,,,,2,1,2,1,12,0.11475409836065574,high
