layer,lexical_group,mean_lexical_overlap,R_at_4,R_at_6,R_at_8,MRR,transitions
0,low,0.07679011122998247,0.5714285714285714,0.7142857142857143,0.8571428571428571,0.5535714285714286,7
0,high,0.20911840522367886,0.7777777777777778,0.9444444444444444,1.0,0.507010582010582,18
4,low,0.07679011122998247,0.5714285714285714,0.8571428571428571,1.0,0.3607142857142857,7
4,high,0.20911840522367886,0.7777777777777778,0.8888888888888888,0.9444444444444444,0.40145502645502645,18
8,low,0.07679011122998247,0.5714285714285714,0.8571428571428571,1.0,0.46564625850340136,7
8,high,0.20911840522367886,0.7222222222222222,0.8888888888888888,0.9444444444444444,0.41847643097643095,18
12,low,0.07679011122998247,0.5714285714285714,0.8571428571428571,1.0,0.3321428571428572,7
12,high,0.20911840522367886,0.8333333333333334,0.9444444444444444,0.9444444444444444,0.47870370370370374,18
16,low,0.07679011122998247,0.5714285714285714,0.8571428571428571,1.0,0.3607142857142857,7
16,high,0.20911840522367886,0.8888888888888888,0.8888888888888888,0.9444444444444444,0.4107142857142857,18
20,low,0.07679011122998247,0.5714285714285714,0.8571428571428571,1.0,0.3964285714285714,7
20,high,0.20911840522367886,0.8333333333333334,0.9444444444444444,1.0,0.5005291005291005,18
24,low,0.07679011122998247,0.7142857142857143,0.8571428571428571,1.0,0.5226190476190476,7
24,high,0.20911840522367886,0.8333333333333334,0.8888888888888888,1.0,0.6417328042328042,18
27,low,0.07679011122998247,0.7142857142857143,0.8571428571428571,1.0,0.5178571428571429,7
27,high,0.20911840522367886,0.7222222222222222,0.8888888888888888,1.0,0.3686507936507936,18
