layer,context_radius,examples,attention_contribution_ratio,attention_contribution_ratio_ci_low,attention_contribution_ratio_ci_high,post_attention_displacement,post_attention_displacement_ci_low,post_attention_displacement_ci_high,post_attention_rotation,post_attention_rotation_ci_low,post_attention_rotation_ci_high,ffn_contribution_ratio,ffn_contribution_ratio_ci_low,ffn_contribution_ratio_ci_high,attention_entropy,attention_entropy_ci_low,attention_entropy_ci_high,effective_attention_support,effective_attention_support_ci_low,effective_attention_support_ci_high,self_attention_fraction,self_attention_fraction_ci_low,self_attention_fraction_ci_high,local_attention_fraction,local_attention_fraction_ci_low,local_attention_fraction_ci_high,distant_attention_fraction,distant_attention_fraction_ci_low,distant_attention_fraction_ci_high,evidence_attention_fraction,evidence_attention_fraction_ci_low,evidence_attention_fraction_ci_high,intervention_displacement,intervention_displacement_ci_low,intervention_displacement_ci_high,intervention_rotation,intervention_rotation_ci_low,intervention_rotation_ci_high
0,full,42,6.643500475656419,6.626443329311552,6.661192803155808,6.64351030758449,6.626452275684902,6.661203759057181,0.9031018898600623,0.9013563238439106,0.9049825015522185,0.7234481033824739,0.7184408619290307,0.7285658532664889,2.0144648864155723,1.9980274580773854,2.0323014628319513,19.84933053879511,19.611266136169434,20.11319805326916,0.385102799250966,0.3814308763969512,0.3885328003338405,0.8214710298038664,0.8191567545845395,0.8236405636583056,0.1785312873266992,0.1763618052715347,0.18084521627142316,0.1086181772961503,0.0893830680066631,0.13122696052527144,0.0,0.0,0.0,0.0,0.0,0.0
0,1,42,6.643500475656419,6.626443329311552,6.661192803155808,6.64351030758449,6.626452275684902,6.661203759057181,0.9031018898600623,0.9013563238439106,0.9049825015522185,0.7234481033824739,0.7184408619290307,0.7285658532664889,2.0144648864155723,1.9980274580773854,2.0323014628319513,19.84933053879511,19.611266136169434,20.11319805326916,0.385102799250966,0.3814308763969512,0.3885328003338405,0.8214710298038664,0.8191567545845395,0.8236405636583056,0.1785312873266992,0.1763618052715347,0.18084521627142316,0.1086181772961503,0.0893830680066631,0.13122696052527144,0.0,0.0,0.0,-9.507976036123486e-09,-1.0276566391504666e-08,-8.770671437796111e-09
0,16,42,6.643500475656419,6.626443329311552,6.661192803155808,6.64351030758449,6.626452275684902,6.661203759057181,0.9031018898600623,0.9013563238439106,0.9049825015522185,0.7234481033824739,0.7184408619290307,0.7285658532664889,2.0144648864155723,1.9980274580773854,2.0323014628319513,19.84933053879511,19.611266136169434,20.11319805326916,0.385102799250966,0.3814308763969512,0.3885328003338405,0.8214710298038664,0.8191567545845395,0.8236405636583056,0.1785312873266992,0.1763618052715347,0.18084521627142316,0.1086181772961503,0.0893830680066631,0.13122696052527144,0.0,0.0,0.0,-9.507976036123486e-09,-1.0276566391504666e-08,-8.770671437796111e-09
0,32,42,6.643500475656419,6.626443329311552,6.661192803155808,6.64351030758449,6.626452275684902,6.661203759057181,0.9031018898600623,0.9013563238439106,0.9049825015522185,0.7234481033824739,0.7184408619290307,0.7285658532664889,2.0144648864155723,1.9980274580773854,2.0323014628319513,19.84933053879511,19.611266136169434,20.11319805326916,0.385102799250966,0.3814308763969512,0.3885328003338405,0.8214710298038664,0.8191567545845395,0.8236405636583056,0.1785312873266992,0.1763618052715347,0.18084521627142316,0.1086181772961503,0.0893830680066631,0.13122696052527144,0.0,0.0,0.0,-9.507976036123486e-09,-1.0276566391504666e-08,-8.770671437796111e-09
4,full,42,0.273762862597193,0.2709004957051504,0.27682026511146907,0.27376286117803483,0.27090050492967876,0.2768203296831676,0.03970150126232987,0.03882422244974545,0.04061403311789036,0.4723831699008033,0.4706721128452392,0.47408471008141834,1.3722039886883326,1.367278468041193,1.3774451045762925,7.287596168972197,7.247027987525577,7.334741751352946,0.12098274167094912,0.12048515606494177,0.12151685126480602,0.4398505219391414,0.4384182067144485,0.4411891308568773,0.5601494681267511,0.5588107563200451,0.5615817989621844,0.10288373101502657,0.07670026578541313,0.13084175546343127,0.0,0.0,0.0,0.0,0.0,0.0
4,1,42,0.273762862597193,0.2709004957051504,0.27682026511146907,0.27376286117803483,0.27090050492967876,0.2768203296831676,0.03970150126232987,0.03882422244974545,0.04061403311789036,0.4723831699008033,0.4706721128452392,0.47408471008141834,1.3722039886883326,1.367278468041193,1.3774451045762925,7.287596168972197,7.247027987525577,7.334741751352946,0.12098274167094912,0.12048515606494177,0.12151685126480602,0.4398505219391414,0.4384182067144485,0.4411891308568773,0.5601494681267511,0.5588107563200451,0.5615817989621844,0.10288373101502657,0.07670026578541313,0.13084175546343127,1.0549861703600203,1.054716700599307,1.0552628891808646,0.9484818662915911,0.9473408006486439,0.9496607794648125
4,16,42,0.273762862597193,0.2709004957051504,0.27682026511146907,0.27376286117803483,0.27090050492967876,0.2768203296831676,0.03970150126232987,0.03882422244974545,0.04061403311789036,0.4723831699008033,0.4706721128452392,0.47408471008141834,1.3722039886883326,1.367278468041193,1.3774451045762925,7.287596168972197,7.247027987525577,7.334741751352946,0.12098274167094912,0.12048515606494177,0.12151685126480602,0.4398505219391414,0.4384182067144485,0.4411891308568773,0.5601494681267511,0.5588107563200451,0.5615817989621844,0.10288373101502657,0.07670026578541313,0.13084175546343127,0.5008436483996255,0.49515269767670406,0.5066881633940197,0.1359311221610932,0.1328266951299849,0.13912721616881235
4,32,42,0.273762862597193,0.2709004957051504,0.27682026511146907,0.27376286117803483,0.27090050492967876,0.2768203296831676,0.03970150126232987,0.03882422244974545,0.04061403311789036,0.4723831699008033,0.4706721128452392,0.47408471008141834,1.3722039886883326,1.367278468041193,1.3774451045762925,7.287596168972197,7.247027987525577,7.334741751352946,0.12098274167094912,0.12048515606494177,0.12151685126480602,0.4398505219391414,0.4384182067144485,0.4411891308568773,0.5601494681267511,0.5588107563200451,0.5615817989621844,0.10288373101502657,0.07670026578541313,0.13084175546343127,0.41027574950740453,0.406021243759564,0.41470605276879813,0.09895499600541025,0.09679101549443744,0.10117343014904431
8,full,42,0.2689245446097283,0.26390051274072557,0.2740601216043745,0.2689248280865805,0.26390077883288976,0.27406045439697446,0.03411047746028219,0.03313466884373199,0.03507521163140025,0.3507040483610971,0.3482307025364467,0.35339483476820444,1.6052465268543787,1.588911839893886,1.6203716368902297,9.346199387595767,9.156549703507196,9.531102838970366,0.08815590309954825,0.08782982737535522,0.08849985595969927,0.40068361943676356,0.39876199336279006,0.40238933903830393,0.5993163088957468,0.5976105602014632,0.601237993864786,0.10267465280014135,0.07735830733907365,0.13034822840598367,0.0,0.0,0.0,0.0,0.0,0.0
8,1,42,0.2689245446097283,0.26390051274072557,0.2740601216043745,0.2689248280865805,0.26390077883288976,0.27406045439697446,0.03411047746028219,0.03313466884373199,0.03507521163140025,0.3507040483610971,0.3482307025364467,0.35339483476820444,1.6052465268543787,1.588911839893886,1.6203716368902297,9.346199387595767,9.156549703507196,9.531102838970366,0.08815590309954825,0.08782982737535522,0.08849985595969927,0.40068361943676356,0.39876199336279006,0.40238933903830393,0.5993163088957468,0.5976105602014632,0.601237993864786,0.10267465280014135,0.07735830733907365,0.13034822840598367,1.0493757696378798,1.0487551660764785,1.0499714414278667,0.9356421743120465,0.9332992335160574,0.9379371347881499
