layer,annotated_depth,mean_minimum_native_depth_if_complete,median_minimum_native_depth_if_complete,p90_minimum_native_depth_if_complete,complete_recovery,node_recall,examples
0,2,1.2,1.0,1.5999999046325684,0.8333333333333334,0.9166666666666666,6
0,3,1.1666666666666667,1.0,1.5,1.0,1.0,6
0,4,1.8,2.0,2.0,0.8333333333333334,0.9583333333333334,6
4,2,1.3333333333333333,1.0,2.0,1.0,1.0,6
4,3,1.0,1.0,1.0,1.0,1.0,6
4,4,1.5,1.5,2.0,0.6666666666666666,0.9166666666666666,6
8,2,1.5,1.5,2.0,1.0,1.0,6
8,3,1.1666666666666667,1.0,1.5,1.0,1.0,6
8,4,1.8333333333333333,2.0,2.5,1.0,1.0,6
12,2,1.3333333333333333,1.0,2.0,1.0,1.0,6
12,3,1.1666666666666667,1.0,1.5,1.0,1.0,6
12,4,1.5,1.5,2.0,1.0,1.0,6
16,2,1.5,1.5,2.0,1.0,1.0,6
16,3,1.3333333333333333,1.0,2.0,1.0,1.0,6
16,4,1.6666666666666667,2.0,2.0,1.0,1.0,6
20,2,1.6666666666666667,2.0,2.0,1.0,1.0,6
20,3,1.0,1.0,1.0,1.0,1.0,6
20,4,2.0,2.0,2.5999999046325684,0.8333333333333334,0.9583333333333334,6
24,2,1.2,1.0,1.5999999046325684,0.8333333333333334,0.9166666666666666,6
24,3,1.1666666666666667,1.0,1.5,1.0,1.0,6
24,4,1.6666666666666667,2.0,2.0,1.0,1.0,6
27,2,1.1666666666666667,1.0,1.5,1.0,1.0,6
27,3,1.2,1.0,1.5999999046325684,0.8333333333333334,0.9444444444444445,6
27,4,1.0,1.0,1.0,1.0,1.0,6
