dataset,example_id,partition,annotated_hops,layer,chunk_size,minimum_native_depth,complete_recovery,node_recall,parent_count
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,0,32,0,1,1.0,49
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,0,128,0,1,1.0,13
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,0,256,0,1,1.0,7
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,12,32,0,1,1.0,49
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,12,128,0,1,1.0,13
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,12,256,0,1,1.0,7
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,27,32,0,1,1.0,49
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,27,128,0,1,1.0,13
2wikimultihopqa,0008d48808a011ebbd78ac1f6bf848b6,test,1,27,256,0,1,1.0,7
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,0,32,0,1,1.0,25
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,0,128,0,1,1.0,7
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,0,256,0,1,1.0,4
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,12,32,0,1,1.0,25
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,12,128,0,1,1.0,7
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,12,256,0,1,1.0,4
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,27,32,0,1,1.0,25
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,27,128,0,1,1.0,7
2wikimultihopqa,0017cac508be11ebbd8aac1f6bf848b6,test,1,27,256,0,1,1.0,4
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,0,32,0,1,1.0,21
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,0,128,0,1,1.0,6
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,0,256,0,1,1.0,3
2wikimultihopqa,00199e40098211ebbdb0ac1f6bf848b6,validation,1,12,32,0,1,1.0,21
