active_kv_bytes,all_evidence_recall,any_evidence_recall,best_evidence_rank,candidate_chunks,candidate_gists,chunks_materialized,cpu_to_gpu_selected_kv_bytes,dataset,detail_kv_bytes,example_id,extra_routing_cache_fraction,gist_count,gist_mode,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_actual_gists_per_chunk,mean_selected_normalized_position,median_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_gist_bytes,routing_representation,score_position_correlation,seed,selected_chunks,selected_fraction,source_tokens,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
393216,0.0,0.0,14,60,60,3,393216,hotpotqa,7741440,5a8cefc155429941ae14df55,0.015873015873015872,1,segment_mean,0.05,0.0,96,1.0,0.6800705467372135,0.7873015873015873,0.07142857142857142,0.17865180000080727,0.0,1.0,0.0,0.0,32,122880,attention_input_hidden_state,0.0020381477241052945,20260811,3,0.05,1890,0.0,3,0.00019685199949890376,0.07378694000071846,0.0
524288,0.0,0.0,14,60,60,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0.015873015873015872,1,segment_mean,0.06666666666666667,0.0,128,1.0,0.4677248677248677,0.42328042328042326,0.07142857142857142,0.17865180000080727,0.0,1.0,0.0,0.0,32,122880,attention_input_hidden_state,0.0020381477241052945,20260811,8,0.13333333333333333,1890,0.0,8,0.00017433199915103614,0.0024158400017768146,0.0
524288,1.0,1.0,14,60,60,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0.015873015873015872,1,segment_mean,0.06666666666666667,0.0,128,1.0,0.45925925925925926,0.40634920634920635,0.07142857142857142,0.17865180000080727,0.0,1.0,0.0,0.0,32,122880,attention_input_hidden_state,0.0020381477241052945,20260811,16,0.26666666666666666,1890,1.0,16,0.00016436000005342065,0.0027434199990238996,1.0
393216,0.0,1.0,2,65,65,3,393216,hotpotqa,8441856,5ac4f8705542995c82c4ad8d,0.01576904415332363,1,segment_mean,0.046153846153846156,0.5,96,1.0,0.6598738476467734,0.7996118389131489,0.5,0.0023816000029910356,0.0,1.0,1.0,1.0,32,133120,attention_input_hidden_state,-0.07036178279434666,20260811,3,0.046153846153846156,2061,0.5,3,0.0001102599990554154,0.0026789399969857188,1.0
524288,0.0,1.0,2,65,65,4,524288,hotpotqa,8441856,5ac4f8705542995c82c4ad8d,0.01576904415332363,1,segment_mean,0.06153846153846154,0.5,128,1.0,0.5725376031052887,0.5667151868025231,0.5,0.0023816000029910356,0.0,1.0,1.0,1.0,32,133120,attention_input_hidden_state,-0.07036178279434666,20260811,8,0.12307692307692308,2061,0.5,8,5.6719999993219975e-05,0.003101440001046285,1.0
524288,1.0,1.0,2,65,65,4,524288,hotpotqa,8441856,5ac4f8705542995c82c4ad8d,0.01576904415332363,1,segment_mean,0.06153846153846154,0.5,128,1.0,0.5201358563803978,0.5046094129063561,0.5,0.0023816000029910356,0.0,1.0,1.0,1.0,32,133120,attention_input_hidden_state,-0.07036178279434666,20260811,16,0.24615384615384617,2061,1.0,16,5.3943999810144304e-05,0.0032095400034449994,1.0
393216,0.0,1.0,1,43,43,3,393216,hotpotqa,5541888,5ae4be5c5542995ad6573e3a,0.015890613451589063,1,segment_mean,0.06976744186046512,0.5,96,1.0,0.4138950480413895,0.3429416112342942,1.0,0.0013439000176731497,1.0,1.0,1.0,1.0,32,88064,attention_input_hidden_state,-0.014485820725046854,20260811,3,0.06976744186046512,1353,0.5,3,4.222800023853779e-05,0.001961160002974793,1.0
524288,0.0,1.0,1,43,43,4,524288,hotpotqa,5541888,5ae4be5c5542995ad6573e3a,0.015890613451589063,1,segment_mean,0.09302325581395349,0.5,128,1.0,0.4759793052475979,0.44937176644493715,1.0,0.0013439000176731497,1.0,1.0,1.0,1.0,32,88064,attention_input_hidden_state,-0.014485820725046854,20260811,8,0.18604651162790697,1353,0.5,8,4.3163999216631054e-05,0.0018842199991922826,1.0
524288,1.0,1.0,1,43,43,4,524288,hotpotqa,5541888,5ae4be5c5542995ad6573e3a,0.015890613451589063,1,segment_mean,0.09302325581395349,0.5,128,1.0,0.5055432372505543,0.44937176644493715,1.0,0.0013439000176731497,1.0,1.0,1.0,1.0,32,88064,attention_input_hidden_state,-0.014485820725046854,20260811,16,0.37209302325581395,1353,1.0,16,4.531600046902895e-05,0.001399800000945106,1.0
393216,0.0,0.0,17,61,61,3,393216,hotpotqa,7974912,5abcd77755429965836004ce,0.01566512583461736,1,segment_mean,0.04918032786885246,0.0,96,1.0,0.632768361581921,0.7149460708782742,0.058823529411764705,0.001720300002489239,0.0,0.0,0.0,0.0,32,124928,attention_input_hidden_state,0.17147779825345053,20260811,3,0.04918032786885246,1947,0.0,3,4.5356000773608686e-05,0.0018264200014527887,0.0
524288,0.0,0.0,17,61,61,4,524288,hotpotqa,7974912,5abcd77755429965836004ce,0.01566512583461736,1,segment_mean,0.06557377049180328,0.0,128,1.0,0.6266050333846944,0.6656394453004623,0.058823529411764705,0.001720300002489239,0.0,0.0,0.0,0.0,32,124928,attention_input_hidden_state,0.17147779825345053,20260811,8,0.13114754098360656,1947,0.0,8,3.960000001825392e-05,0.0018510600028093904,0.0
524288,0.0,0.0,17,61,61,4,524288,hotpotqa,7974912,5abcd77755429965836004ce,0.01566512583461736,1,segment_mean,0.06557377049180328,0.0,128,1.0,0.5690806368772471,0.6656394453004623,0.058823529411764705,0.001720300002489239,0.0,0.0,0.0,0.0,32,124928,attention_input_hidden_state,0.17147779825345053,20260811,16,0.26229508196721313,1947,0.0,16,4.06120007392019e-05,0.001762939995387569,0.0
393216,0.0,0.0,13,46,46,3,393216,hotpotqa,5971968,5ae0d5335542990adbacf674,0.01577503429355281,1,segment_mean,0.06521739130434782,0.0,96,1.0,0.6474622770919067,0.9327846364883402,0.07692307692307693,0.0025120000063907355,0.0,1.0,0.0,0.0,32,94208,attention_input_hidden_state,0.07991953848799864,20260811,3,0.06521739130434782,1458,0.0,3,3.6572000244632366e-05,0.0021540799993090332,0.0
524288,0.0,0.0,13,46,46,4,524288,hotpotqa,5971968,5ae0d5335542990adbacf674,0.01577503429355281,1,segment_mean,0.08695652173913043,0.0,128,1.0,0.44170096021947874,0.3950617283950617,0.07692307692307693,0.0025120000063907355,0.0,1.0,0.0,0.0,32,94208,attention_input_hidden_state,0.07991953848799864,20260811,8,0.17391304347826086,1458,0.0,8,6.94880005903542e-05,0.0015513400023337454,0.0
524288,0.0,1.0,13,46,46,4,524288,hotpotqa,5971968,5ae0d5335542990adbacf674,0.01577503429355281,1,segment_mean,0.08695652173913043,0.0,128,1.0,0.5390946502057613,0.6364883401920438,0.07692307692307693,0.0025120000063907355,0.0,1.0,0.0,0.0,32,94208,attention_input_hidden_state,0.07991953848799864,20260811,16,0.34782608695652173,1458,0.5,16,4.980799974873662e-05,0.00205085999914445,1.0
393216,0.0,1.0,3,38,38,3,393216,hotpotqa,4947968,5a8a1a975542992e4fca8505,0.015728476821192054,1,segment_mean,0.07894736842105263,0.5,96,1.0,0.47240618101545256,0.4105960264900662,0.3333333333333333,0.0020146000024396926,0.0,1.0,1.0,1.0,32,77824,attention_input_hidden_state,-0.32343903305461047,20260811,3,0.07894736842105263,1208,0.5,3,4.6759999822825196e-05,0.0023200600000564007,1.0
524288,0.0,1.0,3,38,38,4,524288,hotpotqa,4947968,5a8a1a975542992e4fca8505,0.015728476821192054,1,segment_mean,0.10526315789473684,0.5,128,1.0,0.40728476821192056,0.3708609271523179,0.3333333333333333,0.0020146000024396926,0.0,1.0,1.0,1.0,32,77824,attention_input_hidden_state,-0.32343903305461047,20260811,8,0.21052631578947367,1208,0.5,8,4.743999917991459e-05,0.002878280001459643,1.0
524288,1.0,1.0,3,38,38,4,524288,hotpotqa,4947968,5a8a1a975542992e4fca8505,0.015728476821192054,1,segment_mean,0.10526315789473684,0.5,128,1.0,0.4337748344370861,0.4370860927152318,0.3333333333333333,0.0020146000024396926,0.0,1.0,1.0,1.0,32,77824,attention_input_hidden_state,-0.32343903305461047,20260811,16,0.42105263157894735,1208,1.0,16,5.4536000825464725e-05,0.003210499999113381,1.0
393216,0.0,1.0,3,45,45,3,393216,hotpotqa,5828608,5adf5cd25542992d7e9f9320,0.015811665495432184,1,segment_mean,0.06666666666666667,0.3333333333333333,96,1.0,0.588428203326306,0.43851018973998596,0.3333333333333333,0.0017733999993652105,0.0,1.0,1.0,1.0,32,92160,attention_input_hidden_state,-0.045237592147612436,20260811,3,0.06666666666666667,1423,0.3333333333333333,3,4.9043999752029777e-05,0.0018750599992927164,1.0
524288,0.0,1.0,3,45,45,4,524288,hotpotqa,5828608,5adf5cd25542992d7e9f9320,0.015811665495432184,1,segment_mean,0.08888888888888889,0.6666666666666666,128,1.0,0.39634574841883347,0.4047786366830639,0.3333333333333333,0.0017733999993652105,0.0,1.0,1.0,1.0,32,92160,attention_input_hidden_state,-0.045237592147612436,20260811,8,0.17777777777777778,1423,0.6666666666666666,8,5.1359999924898145e-05,0.002041499997721985,1.0
524288,0.0,1.0,3,45,45,4,524288,hotpotqa,5828608,5adf5cd25542992d7e9f9320,0.015811665495432184,1,segment_mean,0.08888888888888889,0.6666666666666666,128,1.0,0.4792691496837667,0.4047786366830639,0.3333333333333333,0.0017733999993652105,0.0,1.0,1.0,1.0,32,92160,attention_input_hidden_state,-0.045237592147612436,20260811,16,0.35555555555555557,1423,0.6666666666666666,16,8.603199967183173e-05,0.002143740002065897,1.0
393216,0.0,1.0,3,61,61,3,393216,hotpotqa,7954432,5a7415cf55429979e28828a6,0.015705458290422244,1,segment_mean,0.04918032786885246,0.5,96,1.0,0.41469275660830757,0.38722966014418125,0.3333333333333333,0.0014712999982293695,0.0,1.0,1.0,1.0,32,124928,attention_input_hidden_state,0.2331210132750889,20260811,3,0.04918032786885246,1942,0.5,3,4.886399954557419e-05,0.0020909199956804514,1.0
524288,1.0,1.0,3,61,61,4,524288,hotpotqa,7954432,5a7415cf55429979e28828a6,0.015705458290422244,1,segment_mean,0.06557377049180328,1.0,128,1.0,0.5849639546858908,0.5025746652935118,0.3333333333333333,0.0014712999982293695,0.0,1.0,1.0,1.0,32,124928,attention_input_hidden_state,0.2331210132750889,20260811,8,0.13114754098360656,1942,1.0,8,4.008800024166703e-05,0.001976579998154193,1.0
