active_kv_bytes,all_evidence_recall,any_evidence_recall,candidate_gists,dataset,examples,extra_routing_cache_fraction,gist_count,gist_mode,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_actual_gists_per_chunk,mean_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_representation,score_position_correlation,selected_fraction,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
393216.0,0.0,0.625,52.375,hotpotqa,8,0.015777304276643152,1,segment_mean,0.05938917126801041,0.2916666666666667,96.0,1.0,0.5636996527561587,0.33839689722042665,0.0072594625016790815,0.125,0.875,0.625,0.625,32,hidden_state,0.00412903362737837,0.05938917126801041,0.2916666666666667,3,4.9682999961078164e-05,0.005310132500744658,0.625
524288.0,0.125,0.625,52.375,hotpotqa,8,0.015777304276643152,1,segment_mean,0.07918556169068056,0.3958333333333333,128.0,1.0,0.49664278012482155,0.33839689722042665,0.0072594625016790815,0.125,0.875,0.625,0.625,32,hidden_state,0.00412903362737837,0.1583711233813611,0.3958333333333333,8,4.046249989187345e-05,0.001919385001383489,0.625
524288.0,0.625,0.875,52.375,hotpotqa,8,0.015777304276643152,1,segment_mean,0.07918556169068056,0.3958333333333333,128.0,1.0,0.5084293322599568,0.33839689722042665,0.0072594625016790815,0.125,0.875,0.625,0.625,32,hidden_state,0.00412903362737837,0.3167422467627222,0.7708333333333334,16,4.979350007488392e-05,0.0019225675008783583,0.875
393216.0,0.125,0.375,104.75,hotpotqa,8,0.031554608553286304,2,segment_mean,0.05938917126801041,0.16666666666666666,96.0,2.0,0.4911742627228265,0.35933192355889726,0.03650823749921983,0.25,0.875,0.375,0.625,32,hidden_state,0.011633068203802992,0.05938917126801041,0.16666666666666666,3,6.410849979147314e-05,0.002518547500221757,0.375
524288.0,0.375,0.625,104.75,hotpotqa,8,0.031554608553286304,2,segment_mean,0.07918556169068056,0.22916666666666666,128.0,2.0,0.4948458787157935,0.35933192355889726,0.03650823749921983,0.25,0.875,0.375,0.625,32,hidden_state,0.011633068203802992,0.1583711233813611,0.4791666666666667,8,7.315599999856204e-05,0.0023210499988636003,0.625
524288.0,0.5,0.875,104.75,hotpotqa,8,0.031554608553286304,2,segment_mean,0.07918556169068056,0.22916666666666666,128.0,2.0,0.504344040391499,0.35933192355889726,0.03650823749921983,0.25,0.875,0.375,0.625,32,hidden_state,0.011633068203802992,0.3167422467627222,0.6666666666666666,16,6.449450011132285e-05,0.0029047550007817334,0.875
393216.0,0.0,0.375,209.25,hotpotqa,8,0.06304307954043505,4,segment_mean,0.05938917126801041,0.1875,96.0,3.9958333333333336,0.5216887653740172,0.2515194235588972,0.004407975000503939,0.125,0.875,0.375,0.375,32,hidden_state,0.0355055049150049,0.05938917126801041,0.1875,3,5.639549999614246e-05,0.002229502500995295,0.375
524288.0,0.25,0.375,209.25,hotpotqa,8,0.06304307954043505,4,segment_mean,0.07918556169068056,0.1875,128.0,3.9958333333333336,0.5421243441728274,0.2515194235588972,0.004407975000503939,0.125,0.875,0.375,0.375,32,hidden_state,0.0355055049150049,0.1583711233813611,0.3125,8,5.8752500044647605e-05,0.0021377149991167244,0.375
524288.0,0.25,0.875,209.25,hotpotqa,8,0.06304307954043505,4,segment_mean,0.07918556169068056,0.1875,128.0,3.9958333333333336,0.5115070415854999,0.2515194235588972,0.004407975000503939,0.125,0.875,0.375,0.375,32,hidden_state,0.0355055049150049,0.3167422467627222,0.5416666666666666,16,4.717249976238236e-05,0.002365742500842316,0.875
393216.0,0.0,0.375,418.25,hotpotqa,8,0.12602002151473252,8,segment_mean,0.05938917126801041,0.1875,96.0,7.9875,0.5301860199026819,0.28719724958949094,0.004302237502997741,0.125,0.875,0.375,0.75,32,hidden_state,0.023743179257764202,0.05938917126801041,0.1875,3,4.843849979806691e-05,0.0022697624997817913,0.375
524288.0,0.0,0.75,418.25,hotpotqa,8,0.12602002151473252,8,segment_mean,0.07918556169068056,0.1875,128.0,7.9875,0.5056699392029329,0.28719724958949094,0.004302237502997741,0.125,0.875,0.375,0.75,32,hidden_state,0.023743179257764202,0.1583711233813611,0.375,8,5.39010000647977e-05,0.0020264700004190674,0.75
524288.0,0.375,0.875,418.25,hotpotqa,8,0.12602002151473252,8,segment_mean,0.07918556169068056,0.1875,128.0,7.9875,0.48536471091319244,0.28719724958949094,0.004302237502997741,0.125,0.875,0.375,0.75,32,hidden_state,0.023743179257764202,0.3167422467627222,0.6041666666666666,16,6.834000028902666e-05,0.002363997499924153,0.875
393216.0,0.125,0.25,151.875,qasper,8,0.015659980811523658,1,segment_mean,0.020610307752003,0.1875,96.0,1.0,0.4319875352603438,0.21255675747863248,0.002421312496153405,0.125,0.625,0.25,0.375,32,hidden_state,-0.046057770991818424,0.020610307752003,0.1875,3,4.735049995360896e-05,0.001983207499142736,0.25
508416.0,0.125,0.375,151.875,qasper,8,0.015659980811523658,1,segment_mean,0.027480410336004,0.1875,124.125,1.0,0.5005542342168983,0.21255675747863248,0.002421312496153405,0.125,0.625,0.25,0.375,32,hidden_state,-0.046057770991818424,0.054960820672008,0.25,8,5.047649989137426e-05,0.0019993625013739803,0.375
508416.0,0.5,0.625,151.875,qasper,8,0.015659980811523658,1,segment_mean,0.027480410336004,0.1875,124.125,1.0,0.48791250261415336,0.21255675747863248,0.002421312496153405,0.125,0.625,0.25,0.375,32,hidden_state,-0.046057770991818424,0.109921641344016,0.5625,16,4.911900017759763e-05,0.001892362499347655,0.625
393216.0,0.0,0.0,303.625,qasper,8,0.03130968370823067,2,segment_mean,0.020610307752003,0.0,96.0,1.99934554973822,0.4378640314292516,0.08615363777608023,0.006277037507970817,0.0,0.375,0.0,0.375,32,hidden_state,-0.03256255853520301,0.020610307752003,0.0,3,4.824649964575656e-05,0.0020434849990124348,0.0
508416.0,0.125,0.375,303.625,qasper,8,0.03130968370823067,2,segment_mean,0.027480410336004,0.0,124.125,1.99934554973822,0.46383064827286896,0.08615363777608023,0.006277037507970817,0.0,0.375,0.0,0.375,32,hidden_state,-0.03256255853520301,0.054960820672008,0.25,8,4.796949971932918e-05,0.0020110650002607144,0.375
508416.0,0.125,0.375,303.625,qasper,8,0.03130968370823067,2,segment_mean,0.027480410336004,0.0,124.125,1.99934554973822,0.5110537964330238,0.08615363777608023,0.006277037507970817,0.0,0.375,0.0,0.375,32,hidden_state,-0.03256255853520301,0.109921641344016,0.25,16,4.4554500200320034e-05,0.002014999999664724,0.375
393216.0,0.0,0.0,607.125,qasper,8,0.0626090895016447,4,segment_mean,0.020610307752003,0.0,96.0,3.9980366492146597,0.46541240418467644,0.04734109879584018,0.006215700002940139,0.0,0.375,0.0,0.0,32,hidden_state,-0.04699110266941193,0.020610307752003,0.0,3,5.124450006405823e-05,0.002504927499830956,0.0
524288.0,0.0,0.0,607.125,qasper,8,0.0626090895016447,4,segment_mean,0.027480410336004,0.0,128.0,3.9980366492146597,0.4757829689083407,0.04734109879584018,0.006215700002940139,0.0,0.375,0.0,0.0,32,hidden_state,-0.04699110266941193,0.054960820672008,0.0,8,5.877350005903281e-05,0.0020827300009841564,0.0
524288.0,0.25,0.375,607.125,qasper,8,0.0626090895016447,4,segment_mean,0.027480410336004,0.0,128.0,3.9980366492146597,0.5058696416132415,0.04734109879584018,0.006215700002940139,0.0,0.375,0.0,0.0,32,hidden_state,-0.04699110266941193,0.109921641344016,0.3125,16,5.025350008509122e-05,0.002107314999011578,0.375
393216.0,0.0,0.0,1214.125,qasper,8,0.12520790108847277,8,segment_mean,0.020610307752003,0.0,96.0,7.995418848167539,0.45372787720068797,0.1096530084902178,0.006588412499695551,0.0,0.75,0.0,0.5,32,hidden_state,-0.055201869855598315,0.020610307752003,0.0,3,5.488899987540208e-05,0.0019506650016410277,0.0
524288.0,0.25,0.5,1214.125,qasper,8,0.12520790108847277,8,segment_mean,0.027480410336004,0.0,128.0,7.995418848167539,0.45506252573793887,0.1096530084902178,0.006588412499695551,0.0,0.75,0.0,0.5,32,hidden_state,-0.055201869855598315,0.054960820672008,0.375,8,4.792549982084893e-05,0.0019453500011877621,0.5
524288.0,0.5,0.75,1214.125,qasper,8,0.12520790108847277,8,segment_mean,0.027480410336004,0.0,128.0,7.995418848167539,0.48016706768161044,0.1096530084902178,0.006588412499695551,0.0,0.75,0.0,0.5,32,hidden_state,-0.055201869855598315,0.109921641344016,0.625,16,4.759949995786883e-05,0.0020359349990030752,0.75
