active_kv_bytes,all_evidence_recall,any_evidence_recall,detail_kv_bytes,evaluations,extra_routing_cache_fraction,gist_count,materialized_fraction,materialized_tokens,mrr,packed_index_build_seconds,routing_gist_bytes,score_position_correlation,selected_fraction,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
393216.0,0.0625,0.390625,12880384.0,64,0.015725673990165563,1,0.044553392593883585,96.0,0.3259241925213106,0.0035046687512476637,202080.0,-0.07716145932573784,0.044553392593883585,3,4.8205687508016124e-05,0.0027448043749245697,0.390625
522304.0,0.203125,0.578125,12880384.0,64,0.015725673990165563,1,0.05940452345851145,127.515625,0.3259241925213106,0.0035046687512476637,202080.0,-0.07716145932573784,0.1188090469170229,8,4.74106250294426e-05,0.001897655937136733,0.578125
522304.0,0.5,0.796875,12880384.0,64,0.015725673990165563,1,0.05940452345851145,127.515625,0.3259241925213106,0.0035046687512476637,202080.0,-0.07716145932573784,0.2376180938340458,16,4.734718753752532e-05,0.0019273168754807557,0.796875
393216.0,0.03125,0.3125,12880384.0,64,0.031434272851400075,2,0.044553392593883585,96.0,0.29183321884369273,0.011600215625094279,404032.0,-0.06413787604981273,0.044553392593883585,3,4.721450004581129e-05,0.0027885059376785647,0.265625
522304.0,0.234375,0.515625,12880384.0,64,0.031434272851400075,2,0.05940452345851145,127.515625,0.29183321884369273,0.011600215625094279,404032.0,-0.06413787604981273,0.1188090469170229,8,4.772493746713735e-05,0.002003754374891287,0.484375
522304.0,0.453125,0.734375,12880384.0,64,0.031434272851400075,2,0.05940452345851145,127.515625,0.29183321884369273,0.011600215625094279,404032.0,-0.06413787604981273,0.2376180938340458,16,4.793856245669304e-05,0.0021244621880214254,0.703125
393216.0,0.03125,0.265625,12880384.0,64,0.0628432033781019,4,0.044553392593883585,96.0,0.2339800406928656,0.004623610938324418,807872.0,-0.053387307057704704,0.044553392593883585,3,4.623287491995143e-05,0.0020421784378413578,0.21875
524288.0,0.171875,0.5,12880384.0,64,0.0628432033781019,4,0.05940452345851145,128.0,0.2339800406928656,0.004623610938324418,807872.0,-0.053387307057704704,0.1188090469170229,8,4.791768744325964e-05,0.002007718437107542,0.4375
524288.0,0.390625,0.6875,12880384.0,64,0.0628432033781019,4,0.05940452345851145,128.0,0.2339800406928656,0.004623610938324418,807872.0,-0.053387307057704704,0.2376180938340458,16,4.773137505253544e-05,0.002040184374891396,0.671875
393216.0,0.015625,0.28125,12880384.0,64,0.1256114831314477,8,0.044553392593883585,96.0,0.24871998895503622,0.004807354684544407,1614944.0,-0.05958702581090536,0.044553392593883585,3,4.57753126102034e-05,0.0019322456251757102,0.234375
524288.0,0.15625,0.5625,12880384.0,64,0.1256114831314477,8,0.05940452345851145,128.0,0.24871998895503622,0.004807354684544407,1614944.0,-0.05958702581090536,0.1188090469170229,8,4.446581244337722e-05,0.0018641603126525296,0.5
524288.0,0.5,0.828125,12880384.0,64,0.1256114831314477,8,0.05940452345851145,128.0,0.24871998895503622,0.004807354684544407,1614944.0,-0.05958702581090536,0.2376180938340458,16,4.760043748319731e-05,0.0018850784371352348,0.796875
