active_kv_bytes,all_evidence_recall,any_evidence_recall,dataset,examples,extra_routing_cache_fraction,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_representation,score_position_correlation,selected_fraction,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds
508928.0,0.125,0.5,hotpotqa,8,0.007981014141106831,0.0782987847024165,0.22916666666666666,124.25,0.5157974828164718,0.3731570512820513,0.0014044374984223396,0.125,1.0,0.5,0.75,64,hidden_state,-0.055082165415091346,0.11744817705362476,0.2916666666666667,3,5.041850017732941e-05,0.0020242099999450147
508928.0,0.25,0.75,hotpotqa,8,0.007981014141106831,0.0782987847024165,0.22916666666666666,124.25,0.49671996517628625,0.3731570512820513,0.0014044374984223396,0.125,1.0,0.5,0.75,64,hidden_state,-0.055082165415091346,0.313195138809666,0.4791666666666667,8,5.285149993142113e-05,0.0019977900003141256
508928.0,0.625,1.0,hotpotqa,8,0.007981014141106831,0.0782987847024165,0.22916666666666666,124.25,0.509576742609466,0.3731570512820513,0.0014044374984223396,0.125,1.0,0.5,0.75,64,hidden_state,-0.055082165415091346,0.626390277619332,0.8333333333333334,16,4.283150017727167e-05,0.0018907700010458938
524288.0,0.25,0.625,hotpotqa,8,0.004107074927266919,0.07600824420677361,0.22916666666666666,128.0,0.5221007314054578,0.6302083333333334,0.0015150374929362442,0.5,1.0,0.625,1.0,128,hidden_state,-0.13680339230024752,0.22802473262032086,0.4166666666666667,3,5.651899991789833e-05,0.0021874225007195492
524288.0,0.5,1.0,hotpotqa,8,0.004107074927266919,0.07600824420677361,0.22916666666666666,128.0,0.5388019046441168,0.6302083333333334,0.0015150374929362442,0.5,1.0,0.625,1.0,128,hidden_state,-0.13680339230024752,0.6080659536541889,0.7708333333333334,8,5.0349500088486825e-05,0.0019257900006778073
524288.0,1.0,1.0,hotpotqa,8,0.004107074927266919,0.07600824420677361,0.22916666666666666,128.0,0.5200462802532648,0.6302083333333334,0.0015150374929362442,0.5,1.0,0.625,1.0,128,hidden_state,-0.13680339230024752,0.9926470588235294,1.0,16,4.107950022444129e-05,0.0018639299996721093
432640.0,0.0,0.5,hotpotqa,8,0.007981014141106831,0.0782987847024165,0.16666666666666666,105.625,0.6166199330712173,0.3595238095238095,0.008057799997914117,0.125,0.875,0.5,0.75,64,pre_rope_key,0.09478241979842997,0.11744817705362476,0.22916666666666666,3,5.143950009369292e-05,0.004924970000138274
432640.0,0.125,0.75,hotpotqa,8,0.007981014141106831,0.0782987847024165,0.16666666666666666,105.625,0.5025642448477915,0.3595238095238095,0.008057799997914117,0.125,0.875,0.5,0.75,64,pre_rope_key,0.09478241979842997,0.313195138809666,0.4166666666666667,8,5.2015999972354625e-05,0.0020578325020323973
432640.0,0.625,0.875,hotpotqa,8,0.007981014141106831,0.0782987847024165,0.16666666666666666,105.625,0.5142431569263919,0.3595238095238095,0.008057799997914117,0.125,0.875,0.5,0.75,64,pre_rope_key,0.09478241979842997,0.626390277619332,0.6875,16,4.872699995758012e-05,0.002049977500428213
264704.0,0.125,0.75,hotpotqa,8,0.004107074927266919,0.07600824420677361,0.1875,64.625,0.6281092058778834,0.5511904761904762,0.0012490749977587257,0.375,1.0,0.75,0.875,128,pre_rope_key,0.3396875673431866,0.22802473262032086,0.4583333333333333,3,5.054449997260235e-05,0.0019858699990436433
