active_kv_bytes,all_evidence_recall,any_evidence_recall,best_evidence_rank,candidate_chunks,chunks_materialized,cpu_to_gpu_selected_kv_bytes,dataset,detail_kv_bytes,example_id,extra_routing_cache_fraction,gist_count,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_selected_normalized_position,median_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_gist_bytes,routing_representation,score_position_correlation,seed,selected_chunks,selected_fraction,source_tokens,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds
524288,0.0,0.0,13,46,4,524288,hotpotqa,5971968,5ae0d5335542990adbacf674,0.01577503429355281,1,0.08695652173913043,0.0,128,0.44170096021947874,0.3950617283950617,0.07692307692307693,0.0015319999947678298,0.0,1.0,0.0,0.0,32,94208,hidden_state,0.07991953848799864,20260811,8,0.17391304347826086,1458,0.0,8,3.8856000173836946e-05,0.0019550999975763263
524288,0.0,1.0,13,46,4,524288,hotpotqa,5971968,5ae0d5335542990adbacf674,0.01577503429355281,1,0.08695652173913043,0.0,128,0.5390946502057613,0.6364883401920438,0.07692307692307693,0.0015319999947678298,0.0,1.0,0.0,0.0,32,94208,hidden_state,0.07991953848799864,20260811,16,0.34782608695652173,1458,0.5,16,3.441200009547174e-05,0.0017075999989174307
393216,0.0,1.0,3,38,3,393216,hotpotqa,4947968,5a8a1a975542992e4fca8505,0.015728476821192054,1,0.07894736842105263,0.5,96,0.47240618101545256,0.4105960264900662,0.3333333333333333,0.0017268999945372343,0.0,1.0,1.0,1.0,32,77824,hidden_state,-0.32343903305461047,20260811,3,0.07894736842105263,1208,0.5,3,4.7380001051351426e-05,0.0018088200013153255
524288,0.0,1.0,3,38,4,524288,hotpotqa,4947968,5a8a1a975542992e4fca8505,0.015728476821192054,1,0.10526315789473684,0.5,128,0.40728476821192056,0.3708609271523179,0.3333333333333333,0.0017268999945372343,0.0,1.0,1.0,1.0,32,77824,hidden_state,-0.32343903305461047,20260811,8,0.21052631578947367,1208,0.5,8,6.0336000751703976e-05,0.0018618799978867174
524288,1.0,1.0,3,38,4,524288,hotpotqa,4947968,5a8a1a975542992e4fca8505,0.015728476821192054,1,0.10526315789473684,0.5,128,0.4337748344370861,0.4370860927152318,0.3333333333333333,0.0017268999945372343,0.0,1.0,1.0,1.0,32,77824,hidden_state,-0.32343903305461047,20260811,16,0.42105263157894735,1208,1.0,16,3.410800010897219e-05,0.0017698800016660242
393216,0.0,1.0,3,45,3,393216,hotpotqa,5828608,5adf5cd25542992d7e9f9320,0.015811665495432184,1,0.06666666666666667,0.3333333333333333,96,0.588428203326306,0.43851018973998596,0.3333333333333333,0.0015013999945949763,0.0,1.0,1.0,1.0,32,92160,hidden_state,-0.045237592147612436,20260811,3,0.06666666666666667,1423,0.3333333333333333,3,3.8959999801591036e-05,0.001867880002828315
524288,0.0,1.0,3,45,4,524288,hotpotqa,5828608,5adf5cd25542992d7e9f9320,0.015811665495432184,1,0.08888888888888889,0.6666666666666666,128,0.39634574841883347,0.4047786366830639,0.3333333333333333,0.0015013999945949763,0.0,1.0,1.0,1.0,32,92160,hidden_state,-0.045237592147612436,20260811,8,0.17777777777777778,1423,0.6666666666666666,8,6.893199984915554e-05,0.0014607599994633346
524288,0.0,1.0,3,45,4,524288,hotpotqa,5828608,5adf5cd25542992d7e9f9320,0.015811665495432184,1,0.08888888888888889,0.6666666666666666,128,0.4792691496837667,0.4047786366830639,0.3333333333333333,0.0015013999945949763,0.0,1.0,1.0,1.0,32,92160,hidden_state,-0.045237592147612436,20260811,16,0.35555555555555557,1423,0.6666666666666666,16,6.614400073885918e-05,0.0018795799987856299
393216,0.0,1.0,3,61,3,393216,hotpotqa,7954432,5a7415cf55429979e28828a6,0.015705458290422244,1,0.04918032786885246,0.5,96,0.41469275660830757,0.38722966014418125,0.3333333333333333,0.001513299997895956,0.0,1.0,1.0,1.0,32,124928,hidden_state,0.2331210132750889,20260811,3,0.04918032786885246,1942,0.5,3,4.013200057670474e-05,0.0023241200018674136
524288,1.0,1.0,3,61,4,524288,hotpotqa,7954432,5a7415cf55429979e28828a6,0.015705458290422244,1,0.06557377049180328,1.0,128,0.5849639546858908,0.5025746652935118,0.3333333333333333,0.001513299997895956,0.0,1.0,1.0,1.0,32,124928,hidden_state,0.2331210132750889,20260811,8,0.13114754098360656,1942,1.0,8,3.7743999855592846e-05,0.0020319599949289112
524288,1.0,1.0,3,61,4,524288,hotpotqa,7954432,5a7415cf55429979e28828a6,0.015705458290422244,1,0.06557377049180328,1.0,128,0.5612770339855819,0.5602471678681771,0.3333333333333333,0.001513299997895956,0.0,1.0,1.0,1.0,32,124928,hidden_state,0.2331210132750889,20260811,16,0.26229508196721313,1942,1.0,16,3.849599976092577e-05,0.0019744599994737655
