active_kv_bytes,all_evidence_recall,any_evidence_recall,best_evidence_rank,candidate_chunks,candidate_gists,chunks_materialized,cpu_to_gpu_selected_kv_bytes,dataset,detail_kv_bytes,example_id,extra_routing_cache_fraction,gist_count,gist_mode,materialized_fraction,materialized_target_coverage,materialized_tokens,mean_actual_gists_per_chunk,mean_selected_normalized_position,median_selected_normalized_position,mrr,packed_index_build_seconds,recall_at_1,recall_at_16,recall_at_3,recall_at_8,routing_chunk_size,routing_gist_bytes,routing_representation,score_position_correlation,seed,selected_chunks,selected_fraction,source_tokens,target_coverage,top_k,topk_primitive_seconds,warm_routing_topk_seconds,winning_gist_evidence_recall
393216,0.0,0.0,12,60,120,3,393216,hotpotqa,7741440,5a8cefc155429941ae14df55,0.031746031746031744,2,segment_mean,0.05,0.0,96,2.0,0.6800705467372135,0.7873015873015873,0.08333333333333333,0.21345710000605322,0.0,1.0,0.0,0.0,32,245760,hidden_state,0.12063263246610587,20260811,3,0.05,1890,0.0,3,7.800400024279952e-05,0.02241039999644272,0.0
524288,0.0,0.0,12,60,120,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0.031746031746031744,2,segment_mean,0.06666666666666667,0.0,128,2.0,0.44656084656084655,0.42328042328042326,0.08333333333333333,0.21345710000605322,0.0,1.0,0.0,0.0,32,245760,hidden_state,0.12063263246610587,20260811,8,0.13333333333333333,1890,0.0,8,4.654800053685904e-05,0.0017977199982851743,0.0
524288,1.0,1.0,12,60,120,4,524288,hotpotqa,7741440,5a8cefc155429941ae14df55,0.031746031746031744,2,segment_mean,0.06666666666666667,0.0,128,2.0,0.4984126984126984,0.48253968253968255,0.08333333333333333,0.21345710000605322,0.0,1.0,0.0,0.0,32,245760,hidden_state,0.12063263246610587,20260811,16,0.26666666666666666,1890,1.0,16,3.96759994328022e-05,0.0020035399997141213,1.0
393216,0.0,0.0,7,65,130,3,393216,hotpotqa,8441856,5ac4f8705542995c82c4ad8d,0.03153808830664726,2,segment_mean,0.046153846153846156,0.0,96,2.0,0.47355652595827263,0.3648714216399806,0.14285714285714285,0.003214500000467524,0.0,1.0,0.0,1.0,32,266240,hidden_state,-0.05069559634185436,20260811,3,0.046153846153846156,2061,0.0,3,4.25639993045479e-05,0.001911419996758923,0.0
524288,1.0,1.0,7,65,130,4,524288,hotpotqa,8441856,5ac4f8705542995c82c4ad8d,0.03153808830664726,2,segment_mean,0.06153846153846154,0.0,128,2.0,0.41727316836487144,0.3260553129548763,0.14285714285714285,0.003214500000467524,0.0,1.0,0.0,1.0,32,266240,hidden_state,-0.05069559634185436,20260811,8,0.12307692307692308,2061,1.0,8,4.1103999828919766e-05,0.0021193799970205874,1.0
524288,1.0,1.0,7,65,130,4,524288,hotpotqa,8441856,5ac4f8705542995c82c4ad8d,0.03153808830664726,2,segment_mean,0.06153846153846154,0.0,128,2.0,0.5317806889859291,0.5589519650655022,0.14285714285714285,0.003214500000467524,0.0,1.0,0.0,1.0,32,266240,hidden_state,-0.05069559634185436,20260811,16,0.24615384615384617,2061,1.0,16,4.5868000015616416e-05,0.001796580001246184,1.0
393216,0.0,1.0,1,43,86,3,393216,hotpotqa,5541888,5ae4be5c5542995ad6573e3a,0.031781226903178125,2,segment_mean,0.06976744186046512,0.5,96,2.0,0.50849963045085,0.6504065040650406,1.0,0.0027061000000685453,1.0,1.0,1.0,1.0,32,176128,hidden_state,-0.08006162116137229,20260811,3,0.06976744186046512,1353,0.5,3,5.0739999860525134e-05,0.0021478399983607234,1.0
524288,1.0,1.0,1,43,86,4,524288,hotpotqa,5541888,5ae4be5c5542995ad6573e3a,0.031781226903178125,2,segment_mean,0.09302325581395349,0.5,128,2.0,0.5025868440502587,0.4730229120473023,1.0,0.0027061000000685453,1.0,1.0,1.0,1.0,32,176128,hidden_state,-0.08006162116137229,20260811,8,0.18604651162790697,1353,1.0,8,3.4815999679267403e-05,0.002140939998207614,1.0
524288,1.0,1.0,1,43,86,4,524288,hotpotqa,5541888,5ae4be5c5542995ad6573e3a,0.031781226903178125,2,segment_mean,0.09302325581395349,0.5,128,2.0,0.42719881744271987,0.37841832963784183,1.0,0.0027061000000685453,1.0,1.0,1.0,1.0,32,176128,hidden_state,-0.08006162116137229,20260811,16,0.37209302325581395,1353,1.0,16,3.9488000329583886e-05,0.00214890000061132,1.0
393216,0.0,0.0,19,61,122,3,393216,hotpotqa,7974912,5abcd77755429965836004ce,0.03133025166923472,2,segment_mean,0.04918032786885246,0.0,96,2.0,0.6437253894881013,0.7806882383153569,0.05263157894736842,0.0032544999849051237,0.0,0.0,0.0,0.0,32,249856,hidden_state,0.1540245470100673,20260811,3,0.04918032786885246,1947,0.0,3,3.967999946326017e-05,0.0017777199973352253,0.0
524288,0.0,0.0,19,61,122,4,524288,hotpotqa,7974912,5abcd77755429965836004ce,0.03133025166923472,2,segment_mean,0.06557377049180328,0.0,128,2.0,0.5485362095531587,0.5752439650744736,0.05263157894736842,0.0032544999849051237,0.0,0.0,0.0,0.0,32,249856,hidden_state,0.1540245470100673,20260811,8,0.13114754098360656,1947,0.0,8,4.329600022174418e-05,0.0016464999993331731,0.0
524288,0.0,0.0,19,61,122,4,524288,hotpotqa,7974912,5abcd77755429965836004ce,0.03133025166923472,2,segment_mean,0.06557377049180328,0.0,128,2.0,0.6081150487930149,0.657421674370827,0.05263157894736842,0.0032544999849051237,0.0,0.0,0.0,0.0,32,249856,hidden_state,0.1540245470100673,20260811,16,0.26229508196721313,1947,0.0,16,6.912000011652708e-05,0.0016723999986425042,0.0
393216,0.0,0.0,16,46,92,3,393216,hotpotqa,5971968,5ae0d5335542990adbacf674,0.03155006858710562,2,segment_mean,0.06521739130434782,0.0,96,2.0,0.49382716049382713,0.5157750342935528,0.0625,0.004119699995499104,0.0,1.0,0.0,0.0,32,188416,hidden_state,0.01754112365123365,20260811,3,0.06521739130434782,1458,0.0,3,8.041599998250604e-05,0.0021222000010311603,0.0
524288,0.0,0.0,16,46,92,4,524288,hotpotqa,5971968,5ae0d5335542990adbacf674,0.03155006858710562,2,segment_mean,0.08695652173913043,0.0,128,2.0,0.5212620027434842,0.559670781893004,0.0625,0.004119699995499104,0.0,1.0,0.0,0.0,32,188416,hidden_state,0.01754112365123365,20260811,8,0.17391304347826086,1458,0.0,8,4.2791999876499174e-05,0.0018672199978027493,0.0
