gist_count,mrr_improved,mrr_mean_delta,mrr_tied,mrr_worsened,pairs,recall_at_3_exact_mcnemar_p,recall_at_3_gains,recall_at_3_losses,recall_at_3_mean_delta,recall_at_3_ties
2,23,-0.03409097367761787,10,31,64,0.266845703125,4,9,-0.078125,51
4,23,-0.091944151828445,8,33,64,0.09625244140625,5,13,-0.125,46
8,27,-0.07720420356627439,7,30,64,0.143463134765625,5,12,-0.109375,47
