candidate_count,condition,examples,failure_class,regime,selector_profile,token_budget
20,NO_PRA_STANDARD_RAG,13,GENERATION_FAILURE,COLD,standard_bm25,128
20,NO_PRA_STANDARD_RAG,2,STANDARD_RAG_PACKING_MISS,COLD,standard_bm25,128
20,NO_PRA_STANDARD_RAG,13,GENERATION_FAILURE,WARM,standard_bm25,128
20,NO_PRA_STANDARD_RAG,2,STANDARD_RAG_PACKING_MISS,WARM,standard_bm25,128
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,11,GENERATION_FAILURE,COLD,pra_generic,128
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,4,PRA_DISTRACTOR_SELECTION,COLD,pra_generic,128
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,11,GENERATION_FAILURE,WARM,pra_generic,128
20,PRA_NATIVE_MEMORY_NO_ADAPTOR,4,PRA_DISTRACTOR_SELECTION,WARM,pra_generic,128
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,11,GENERATION_FAILURE,COLD,pra_generic,128
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,4,PRA_DISTRACTOR_SELECTION,COLD,pra_generic,128
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,11,GENERATION_FAILURE,WARM,pra_generic,128
20,PRA_SELECTED_CONTEXT_NO_ADAPTOR,4,PRA_DISTRACTOR_SELECTION,WARM,pra_generic,128
