payload_bytes,topology,policy,resolved_storage,network_bytes,round_trips,ingest_seconds_local,materialize_seconds_local,simulated_transport_seconds,simulated_ingest_seconds,simulated_materialize_seconds,simulation,exact_recovery
10000,same_process,upfront,upfront,0,0,0.006102600134909153,0.009137899847701192,0.0,0.0,0.0,0,1
10000,same_process,on_demand,on_demand,0,0,0.006491899956017733,0.013469200115650892,0.0,0.0,0.0,0,1
10000,same_process,adaptive,upfront,0,0,0.009775999933481216,0.009476799983531237,0.0,0.0,0.0,0,1
10000,local_process_simulated,upfront,upfront,10000,1,0.004925200017169118,0.01059779990464449,0.00101,0.00101,0.0,1,1
10000,local_process_simulated,on_demand,on_demand,10000,1,0.004537699976935983,0.009757200023159385,0.00101,0.0,0.00101,1,1
10000,local_process_simulated,adaptive,upfront,10000,1,0.00841890019364655,0.008019199827685952,0.00101,0.00101,0.0,1,1
10000,remote_like_simulated,upfront,upfront,10000,1,0.00622399989515543,0.011150100035592914,0.050100000000000006,0.050100000000000006,0.0,1,1
10000,remote_like_simulated,on_demand,on_demand,10000,1,0.0048009001184254885,0.008407799992710352,0.050100000000000006,0.0,0.050100000000000006,1,1
10000,remote_like_simulated,adaptive,upfront,10000,1,0.004276500083506107,0.014177700038999319,0.050100000000000006,0.050100000000000006,0.0,1,1
100000,same_process,upfront,upfront,0,0,0.011133299907669425,0.008171699941158295,0.0,0.0,0.0,0,1
100000,same_process,on_demand,on_demand,0,0,0.09486200008541346,0.010169000132009387,0.0,0.0,0.0,0,1
100000,same_process,adaptive,upfront,0,0,0.008427400141954422,0.013164800126105547,0.0,0.0,0.0,0,1
100000,local_process_simulated,upfront,upfront,100000,1,0.00933120003901422,0.015451700193807483,0.0011,0.0011,0.0,1,1
100000,local_process_simulated,on_demand,on_demand,100000,1,0.008324600057676435,0.011762300040572882,0.0011,0.0,0.0011,1,1
100000,local_process_simulated,adaptive,upfront,100000,1,0.008986999979242682,0.013330499874427915,0.0011,0.0011,0.0,1,1
100000,remote_like_simulated,upfront,upfront,100000,1,0.008742599980905652,0.014885999960824847,0.051000000000000004,0.051000000000000004,0.0,1,1
100000,remote_like_simulated,on_demand,on_demand,100000,1,0.008133700117468834,0.010877900058403611,0.051000000000000004,0.0,0.051000000000000004,1,1
100000,remote_like_simulated,adaptive,upfront,100000,1,0.009044700069352984,0.015782600035890937,0.051000000000000004,0.051000000000000004,0.0,1,1
1000000,same_process,upfront,upfront,0,0,0.05894730007275939,0.01742799999192357,0.0,0.0,0.0,0,1
1000000,same_process,on_demand,on_demand,0,0,0.05900100013241172,0.01873599993996322,0.0,0.0,0.0,0,1
1000000,same_process,adaptive,upfront,0,0,0.06203360017389059,0.0174430999904871,0.0,0.0,0.0,0,1
1000000,local_process_simulated,upfront,upfront,1000000,1,0.05114029999822378,0.023588400101289153,0.002,0.002,0.0,1,1
1000000,local_process_simulated,on_demand,on_demand,1000000,1,0.055900099920108914,0.02378870011307299,0.002,0.0,0.002,1,1
1000000,local_process_simulated,adaptive,upfront,1000000,1,0.05658510001376271,0.01574749988503754,0.002,0.002,0.0,1,1
1000000,remote_like_simulated,upfront,upfront,1000000,1,0.05354220001026988,0.020775299984961748,0.060000000000000005,0.060000000000000005,0.0,1,1
1000000,remote_like_simulated,on_demand,on_demand,1000000,1,0.05239990004338324,0.022895599948242307,0.060000000000000005,0.0,0.060000000000000005,1,1
1000000,remote_like_simulated,adaptive,upfront,1000000,1,0.05110629997216165,0.018954599974676967,0.060000000000000005,0.060000000000000005,0.0,1,1
10000000,same_process,upfront,upfront,0,0,0.5353776998817921,0.08053810009732842,0.0,0.0,0.0,0,1
10000000,same_process,on_demand,on_demand,0,0,0.6086345000658184,0.07507920009084046,0.0,0.0,0.0,0,1
10000000,same_process,adaptive,upfront,0,0,0.5622950000688434,0.07410000008530915,0.0,0.0,0.0,0,1
10000000,local_process_simulated,upfront,upfront,10000000,1,0.5532492999918759,0.07991940015926957,0.011,0.011,0.0,1,1
10000000,local_process_simulated,on_demand,on_demand,10000000,1,0.5660008999984711,0.07166810007765889,0.011,0.0,0.011,1,1
10000000,local_process_simulated,adaptive,on_demand,10000000,1,0.5722844998817891,0.07566229999065399,0.011,0.0,0.011,1,1
10000000,remote_like_simulated,upfront,upfront,10000000,1,0.5116704001557082,0.07107240008190274,0.15000000000000002,0.15000000000000002,0.0,1,1
10000000,remote_like_simulated,on_demand,on_demand,10000000,1,0.5697952001355588,0.07371419994160533,0.15000000000000002,0.0,0.15000000000000002,1,1
10000000,remote_like_simulated,adaptive,on_demand,10000000,1,0.5523505001328886,0.09292179998010397,0.15000000000000002,0.0,0.15000000000000002,1,1
