policy,condition,tr_action,tr_materialize,materialized_bytes,materialized_tokens,expansion_precision
action_conditioned,explicit,0.8615384615384616,1.0,1664.876923076923,416.6461538461538,0.6679487179487179
action_conditioned,latent,0.7076923076923077,1.0,2572.3846153846152,643.6153846153846,0.25
ccr_explicit,explicit,0.5538461538461539,0.0,0.0,0.0,0.0
ccr_explicit,latent,0.38461538461538464,0.0,0.0,0.0,0.0
ccr_mixed,explicit,0.8307692307692308,1.0,1004.0769230769231,251.53846153846155,1.0
ccr_mixed,latent,0.4,0.07692307692307693,76.6923076923077,19.23076923076923,0.07692307692307693
ccr_proactive,explicit,0.8307692307692308,1.0,1004.0769230769231,251.53846153846155,1.0
ccr_proactive,latent,0.4,0.07692307692307693,76.6923076923077,19.23076923076923,0.07692307692307693
compact_only,explicit,0.5538461538461539,0.0,0.0,0.0,0.0
compact_only,latent,0.38461538461538464,0.0,0.0,0.0,0.0
full_context,explicit,0.8307692307692308,1.0,1004.0769230769231,251.53846153846155,1.0
full_context,latent,0.8615384615384616,1.0,1004.0769230769231,251.53846153846155,1.0
generic_proactive,explicit,0.8307692307692308,1.0,1004.0769230769231,251.53846153846155,1.0
generic_proactive,latent,0.4,0.07692307692307693,76.6923076923077,19.23076923076923,0.07692307692307693
multi_hypothesis,explicit,0.5692307692307692,0.2153846153846154,217.36923076923077,54.44615384615385,0.19743589743589743
multi_hypothesis,latent,0.5846153846153846,0.5538461538461539,1134.8,283.9384615384615,0.27692307692307694
