case_id,seed,k,probe_breadth,required_action_rank,hypothesis_recall,address_recall,trigger_materialized,probe_count,expansion_count,false_positive_expansions,expansion_precision,materialized_bytes,search_latency_seconds
entity-custodian,11,4,1,4,0,0,0,1,1,1,0.0,522,0.0006079999729990959
entity-custodian,11,4,2,4,0,0,0,2,2,2,0.0,1042,0.0015330999158322811
entity-custodian,11,4,4,4,1,1,1,4,4,3,0.25,2365,0.002656299853697419
entity-custodian,11,8,1,4,0,0,0,1,1,1,0.0,521,0.0015248998533934355
entity-custodian,11,8,2,4,0,0,0,2,2,2,0.0,1041,0.0027314999606460333
entity-custodian,11,8,4,4,1,1,1,4,4,3,0.25,2367,0.006254399893805385
entity-custodian,11,8,8,4,1,1,1,8,8,7,0.125,4457,0.014230499975383282
entity-custodian,11,16,1,3,0,0,0,1,1,1,0.0,519,0.0028677000664174557
entity-custodian,11,16,2,3,0,0,0,2,2,2,0.0,1042,0.0072951999027282
entity-custodian,11,16,4,3,1,1,1,4,4,3,0.25,2367,0.014176700031384826
entity-custodian,11,16,16,3,1,1,1,16,16,15,0.0625,8732,0.04452619981020689
entity-custodian,23,4,1,2,0,0,0,1,1,1,0.0,520,0.0006382998544722795
entity-custodian,23,4,2,2,1,1,1,2,2,1,0.5,1322,0.0014152999501675367
entity-custodian,23,4,4,2,1,1,1,4,4,3,0.25,2365,0.003431099932640791
entity-custodian,23,8,1,2,0,0,0,1,1,1,0.0,523,0.001742699882015586
entity-custodian,23,8,2,2,1,1,1,2,2,1,0.5,1325,0.0024667000398039818
entity-custodian,23,8,4,2,1,1,1,4,4,3,0.25,2369,0.006314199883490801
entity-custodian,23,8,8,2,1,1,1,8,8,7,0.125,4457,0.0137987001799047
entity-custodian,23,16,1,8,0,0,0,1,1,1,0.0,518,0.002746300073340535
entity-custodian,23,16,2,8,0,0,0,2,2,2,0.0,1036,0.006002299953252077
entity-custodian,23,16,4,8,0,0,0,4,4,4,0.0,2081,0.012853100197389722
