policy,condition,n,hypothesis_recall,address_recall,trigger_materialized,tr_address,tr_materialize,tr_action,expansion_count,false_positive_expansions,expansion_precision,materialized_bytes,materialized_tokens,model_calls,retrieval_tool_calls,proactive_expansions,probe_count,hypothesis_recall_successes,hypothesis_recall_ci_low,hypothesis_recall_ci_high,address_recall_successes,address_recall_ci_low,address_recall_ci_high,trigger_materialized_successes,trigger_materialized_ci_low,trigger_materialized_ci_high,tr_action_successes,tr_action_ci_low,tr_action_ci_high,address_given_hypothesis,materialize_given_address,action_given_materialization
action_conditioned,explicit,65,1.0,1.0,1.0,1.0,1.0,0.8615384615384616,2.2615384615384615,1.2615384615384615,0.6679487179487179,1664.876923076923,416.6461538461538,1.0,0.0,2.2615384615384615,4.0,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,56,0.7573167852534054,0.9254099381231576,1.0,1.0,0.8615384615384616
action_conditioned,latent,65,1.0,1.0,1.0,1.0,1.0,0.7076923076923077,4.0,3.0,0.25,2572.3846153846152,643.6153846153846,1.0,0.0,4.0,4.0,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,46,0.5880373289917318,0.8041673844373576,1.0,1.0,0.7076923076923077
ccr_explicit,explicit,65,1.0,0.0,0.0,0.0,0.0,0.5538461538461539,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65,0.9441965323292892,0.9999999999999999,0,0.0,0.055803467670710726,0,0.0,0.055803467670710726,36,0.4333760431730088,0.6683066603086071,0.0,0.0,0.0
ccr_explicit,latent,65,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,0.055803467670710726,0,0.0,0.055803467670710726,0,0.0,0.055803467670710726,25,0.27594829385374525,0.5061601986856494,0.0,0.0,0.0
ccr_mixed,explicit,65,1.0,1.0,1.0,1.0,1.0,0.8307692307692308,1.0,0.0,1.0,1004.0769230769231,251.53846153846155,2.0,0.0,1.0,1.0,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,54,0.721833508048396,0.9027888133386723,1.0,1.0,0.8307692307692308
ccr_mixed,latent,65,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.4,0.07692307692307693,0.0,0.07692307692307693,76.6923076923077,19.23076923076923,2.0,0.0,0.07692307692307693,1.0,0,0.0,0.055803467670710726,5,0.03330301045885137,0.16776146218559615,5,0.03330301045885137,0.16776146218559615,26,0.28971847853161004,0.5214422150025321,0.0,1.0,0.8
ccr_proactive,explicit,65,1.0,1.0,1.0,1.0,1.0,0.8307692307692308,1.0,0.0,1.0,1004.0769230769231,251.53846153846155,1.0,0.0,1.0,1.0,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,54,0.721833508048396,0.9027888133386723,1.0,1.0,0.8307692307692308
ccr_proactive,latent,65,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.4,0.07692307692307693,0.0,0.07692307692307693,76.6923076923077,19.23076923076923,1.0,0.0,0.07692307692307693,1.0,0,0.0,0.055803467670710726,5,0.03330301045885137,0.16776146218559615,5,0.03330301045885137,0.16776146218559615,26,0.28971847853161004,0.5214422150025321,0.0,1.0,0.8
compact_only,explicit,65,1.0,0.0,0.0,0.0,0.0,0.5538461538461539,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,65,0.9441965323292892,0.9999999999999999,0,0.0,0.055803467670710726,0,0.0,0.055803467670710726,36,0.4333760431730088,0.6683066603086071,0.0,0.0,0.0
compact_only,latent,65,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,0.055803467670710726,0,0.0,0.055803467670710726,0,0.0,0.055803467670710726,25,0.27594829385374525,0.5061601986856494,0.0,0.0,0.0
full_context,explicit,65,1.0,1.0,1.0,1.0,1.0,0.8307692307692308,1.0,0.0,1.0,1004.0769230769231,251.53846153846155,1.0,0.0,0.0,0.0,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,54,0.721833508048396,0.9027888133386723,1.0,1.0,0.8307692307692308
full_context,latent,65,1.0,1.0,1.0,1.0,1.0,0.8615384615384616,1.0,0.0,1.0,1004.0769230769231,251.53846153846155,1.0,0.0,0.0,0.0,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,56,0.7573167852534054,0.9254099381231576,1.0,1.0,0.8615384615384616
generic_proactive,explicit,65,1.0,1.0,1.0,1.0,1.0,0.8307692307692308,1.0,0.0,1.0,1004.0769230769231,251.53846153846155,1.0,0.0,1.0,1.0,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,65,0.9441965323292892,0.9999999999999999,54,0.721833508048396,0.9027888133386723,1.0,1.0,0.8307692307692308
generic_proactive,latent,65,0.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,0.4,0.07692307692307693,0.0,0.07692307692307693,76.6923076923077,19.23076923076923,1.0,0.0,0.07692307692307693,1.0,0,0.0,0.055803467670710726,5,0.03330301045885137,0.16776146218559615,5,0.03330301045885137,0.16776146218559615,26,0.28971847853161004,0.5214422150025321,0.0,1.0,0.8
multi_hypothesis,explicit,65,0.2153846153846154,0.2153846153846154,0.2153846153846154,0.2153846153846154,0.2153846153846154,0.5692307692307692,0.26153846153846155,0.046153846153846156,0.19743589743589743,217.36923076923077,54.44615384615385,2.0,0.0,0.26153846153846155,0.8615384615384616,14,0.13286637631048948,0.32966790528668427,14,0.13286637631048948,0.32966790528668427,14,0.13286637631048948,0.32966790528668427,37,0.44832757984982086,0.6824073246265422,1.0,1.0,0.9285714285714286
multi_hypothesis,latent,65,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.5538461538461539,0.5846153846153846,1.6615384615384616,1.1076923076923078,0.27692307692307694,1134.8,283.9384615384615,2.0,0.0,1.6615384615384616,2.2153846153846155,36,0.4333760431730088,0.6683066603086071,36,0.4333760431730088,0.6683066603086071,36,0.4333760431730088,0.6683066603086071,38,0.4633876602091337,0.696399445261977,1.0,1.0,0.8055555555555556
