case_id,family,query_kind,address_view,recovered,latency_seconds
relation-atlas-vault,relation,explicit,schema,0,0.00013679987750947475
relation-atlas-vault,relation,explicit,lexical_entity,1,0.001027100021019578
relation-atlas-vault,relation,explicit,all_deterministic,1,0.0006564001087099314
relation-atlas-vault,relation,action_probe,lexical,1,0.0004962000530213118
relation-atlas-vault,relation,action_probe,entity_rare,1,0.0008076999802142382
relation-atlas-vault,relation,action_probe,schema,0,0.00011429982259869576
relation-atlas-vault,relation,action_probe,lexical_entity,1,0.0007192001212388277
relation-atlas-vault,relation,action_probe,all_deterministic,1,0.0006887000054121017
action-quarantine,action,explicit,lexical,1,0.000523699913173914
action-quarantine,action,explicit,entity_rare,1,0.0005544000305235386
action-quarantine,action,explicit,schema,0,0.000112100038677454
action-quarantine,action,explicit,lexical_entity,1,0.0007950998842716217
action-quarantine,action,explicit,all_deterministic,1,0.0007259000558406115
action-quarantine,action,action_probe,lexical,1,0.000891899922862649
action-quarantine,action,action_probe,entity_rare,1,0.0004694000817835331
action-quarantine,action,action_probe,schema,0,0.00016120006330311298
action-quarantine,action,action_probe,lexical_entity,1,0.0007736999541521072
action-quarantine,action,action_probe,all_deterministic,1,0.0009802000131458044
state-pending-deletion,state_transition,explicit,lexical,1,0.00039760000072419643
state-pending-deletion,state_transition,explicit,entity_rare,1,0.00043439981527626514
state-pending-deletion,state_transition,explicit,schema,0,0.00010750000365078449
state-pending-deletion,state_transition,explicit,lexical_entity,1,0.0006154999136924744
state-pending-deletion,state_transition,explicit,all_deterministic,1,0.0008860002271831036
state-pending-deletion,state_transition,action_probe,lexical,1,0.00042479997500777245
state-pending-deletion,state_transition,action_probe,entity_rare,1,0.0008729000110179186
state-pending-deletion,state_transition,action_probe,schema,0,8.46001785248518e-05
state-pending-deletion,state_transition,action_probe,lexical_entity,1,0.0006067999638617039
state-pending-deletion,state_transition,action_probe,all_deterministic,1,0.0007062999065965414
permission-read-only,permission,explicit,lexical,1,0.00047069997526705265
permission-read-only,permission,explicit,entity_rare,1,0.00039549986831843853
permission-read-only,permission,explicit,schema,0,9.410013444721699e-05
permission-read-only,permission,explicit,lexical_entity,1,0.0007098999340087175
permission-read-only,permission,explicit,all_deterministic,1,0.0008686000946909189
permission-read-only,permission,action_probe,lexical,1,0.0004026000387966633
permission-read-only,permission,action_probe,entity_rare,1,0.00039689987897872925
permission-read-only,permission,action_probe,schema,0,0.00012149987742304802
permission-read-only,permission,action_probe,lexical_entity,1,0.0006649000570178032
permission-read-only,permission,action_probe,all_deterministic,1,0.0007439001929014921
dependency-libcrypto,dependency,explicit,lexical,1,0.0004072999581694603
