model,max_candidates,examples,target_present,correct_choices,pipeline_successes,discovery_recall,conditional_choice,end_to_end_choice,end_to_end_execution
Qwen3-0.6B Q4,10,40,15,10,0,0.375,0.6666666666666666,0.25,0.0
Qwen3-0.6B Q4,16,40,15,6,0,0.375,0.4,0.15,0.0
Qwen3-0.6B Q4,32,40,15,6,0,0.375,0.4,0.15,0.0
Qwen3-14B 4-bit,10,40,15,10,5,0.375,0.6666666666666666,0.25,0.125
Qwen3-14B 4-bit,16,40,15,7,2,0.375,0.4666666666666667,0.175,0.05
Qwen3-14B 4-bit,32,40,15,5,0,0.375,0.3333333333333333,0.125,0.0
