mode,median_us_per_operation,overhead_ratio,attributes_evaluated
off,5.339049990288913,1.0,0
metrics,17.222619988024235,3.2257836168138714,0
sampled_otel,46.12051001749933,8.638336427152202,70000
detailed_otel,79.49411000590771,14.88918630664592,70000
