dataset,best_root_channel,best_successor_channel,same_representation,root_recall,root_precision,successor_recall,successor_precision,root_comparisons,successor_comparisons
qasper,exact,exact_new_address,1,0.09601190476190476,0.3125,0.025009094786492048,0.125,142.625,285.25
hotpotqa,exact,native_semantic,0,0.046875,0.09375,0.13452380952380952,0.28125,50.125,100.25
2wikimultihopqa,gist,exact_new_address,0,0.0763888888888889,0.125,0.05,0.08333333333333333,41.875,84.77777777777777
musique,approx,native_semantic,0,0.08386243386243386,0.1388888888888889,0.032407407407407406,0.1111111111111111,81.61111111111111,163.22222222222223
