catalog_size,policy,stratum,examples,top1_accuracy,outcome_accuracy,false_act_rate,mean_confidence,mean_stages
8,adaptive,alias,30,1.0,1.0,0.0,0.8745987394957984,2.0
8,adaptive,ambiguous,5,,0.0,1.0,0.9741911764705883,2.8
8,adaptive,description,30,1.0,1.0,0.0,1.0,3.0
8,adaptive,exact_name,30,1.0,1.0,0.0,0.8870724789915967,2.033333333333333
8,adaptive,explicit_uri,30,1.0,1.0,0.0,1.0,1.0
8,adaptive,nonexistent,5,,1.0,0.0,0.8745987394957984,5.0
8,adaptive,semantic_paraphrase,30,1.0,1.0,0.0,1.0,4.0
8,adaptive,typo,30,1.0,1.0,0.0,0.8828445378151261,2.066666666666667
8,auto,alias,30,1.0,0.0,0.0,0.5,1.0
8,auto,ambiguous,5,,1.0,0.0,0.5,1.0
8,auto,description,30,1.0,0.0,0.0,0.5,1.0
8,auto,exact_name,30,1.0,0.0,0.0,0.5,1.0
8,auto,explicit_uri,30,1.0,0.0,0.0,0.5,1.0
8,auto,nonexistent,5,,1.0,0.0,0.5,1.0
8,auto,semantic_paraphrase,30,0.16666666666666666,0.0,0.0,0.5,1.0
8,auto,typo,30,1.0,0.0,0.0,0.5,1.0
8,fixed_explicit,alias,30,0.0,0.0,0.0,0.0,1.0
8,fixed_explicit,ambiguous,5,,1.0,0.0,0.0,1.0
8,fixed_explicit,description,30,0.0,0.0,0.0,0.0,1.0
8,fixed_explicit,exact_name,30,0.0,0.0,0.0,0.0,1.0
8,fixed_explicit,explicit_uri,30,1.0,1.0,0.0,1.0,1.0
8,fixed_explicit,nonexistent,5,,1.0,0.0,0.0,1.0
8,fixed_explicit,semantic_paraphrase,30,0.0,0.0,0.0,0.0,1.0
8,fixed_explicit,typo,30,0.0,0.0,0.0,0.0,1.0
8,fixed_hybrid,alias,30,1.0,1.0,0.0,0.7358721507352941,1.0
8,fixed_hybrid,ambiguous,5,,0.0,1.0,0.7387164183436533,1.0
8,fixed_hybrid,description,30,1.0,1.0,0.0,0.8560861384920319,1.0
8,fixed_hybrid,exact_name,30,1.0,1.0,0.0,0.7712378956909195,1.0
8,fixed_hybrid,explicit_uri,30,1.0,1.0,0.0,1.0,1.0
8,fixed_hybrid,nonexistent,5,,1.0,0.0,0.7314348297213622,1.0
8,fixed_hybrid,semantic_paraphrase,30,1.0,1.0,0.0,0.8165500823273846,1.0
8,fixed_hybrid,typo,30,1.0,0.9666666666666667,0.0,0.7515714942226891,1.0
8,fixed_index,alias,30,1.0,0.0,0.0,0.5,1.0
8,fixed_index,ambiguous,5,,1.0,0.0,0.5,1.0
8,fixed_index,description,30,1.0,0.0,0.0,0.5,1.0
8,fixed_index,exact_name,30,1.0,0.0,0.0,0.5,1.0
8,fixed_index,explicit_uri,30,1.0,0.0,0.0,0.5,1.0
8,fixed_index,nonexistent,5,,1.0,0.0,0.5,1.0
8,fixed_index,semantic_paraphrase,30,0.16666666666666666,0.0,0.0,0.5,1.0
8,fixed_index,typo,30,1.0,0.0,0.0,0.5,1.0
8,fixed_semantic,alias,30,0.0,0.0,0.0,0.0,1.0
8,fixed_semantic,ambiguous,5,,0.0,1.0,1.0,1.0
8,fixed_semantic,description,30,1.0,1.0,0.0,1.0,1.0
8,fixed_semantic,exact_name,30,0.0,0.0,0.0,0.0,1.0
8,fixed_semantic,explicit_uri,30,0.0,0.0,0.0,0.0,1.0
8,fixed_semantic,nonexistent,5,,1.0,0.0,0.0,1.0
8,fixed_semantic,semantic_paraphrase,30,1.0,1.0,0.0,1.0,1.0
8,fixed_semantic,typo,30,0.0,0.0,0.0,0.0,1.0
8,fixed_token,alias,30,1.0,1.0,0.0,0.8019381127450981,1.0
8,fixed_token,ambiguous,5,,1.0,0.0,0.18767228707398034,1.0
8,fixed_token,description,30,0.8,0.0,0.0,0.5941495363602446,1.0
8,fixed_token,exact_name,30,1.0,0.9666666666666667,0.0,0.8831281512605041,1.0
8,fixed_token,explicit_uri,30,1.0,1.0,0.0,1.0,1.0
8,fixed_token,nonexistent,5,,1.0,0.0,0.792077399380805,1.0
8,fixed_token,semantic_paraphrase,30,0.2,0.0,0.0,0.2159422278591437,1.0
8,fixed_token,typo,30,0.9666666666666667,0.9333333333333333,0.0,0.8393200280112045,1.0
8,user_hint,alias,30,1.0,1.0,0.0,0.8745987394957984,1.0
8,user_hint,ambiguous,5,,0.0,1.0,0.9741911764705883,2.8
8,user_hint,description,30,1.0,1.0,0.0,1.0,1.0
8,user_hint,exact_name,30,1.0,1.0,0.0,0.8870724789915967,1.0666666666666667
8,user_hint,explicit_uri,30,1.0,1.0,0.0,1.0,1.0
8,user_hint,nonexistent,5,,1.0,0.0,0.8745987394957984,5.0
8,user_hint,semantic_paraphrase,30,1.0,1.0,0.0,1.0,1.0
8,user_hint,typo,30,1.0,1.0,0.0,0.8828445378151261,1.1333333333333333
32,adaptive,alias,90,1.0,1.0,0.0,0.9294561824729892,2.0
32,adaptive,ambiguous,5,,1.0,0.0,0.9294561824729892,5.0
32,adaptive,description,90,1.0,1.0,0.0,0.9893809523809524,3.0
32,adaptive,exact_name,90,1.0,1.0,0.0,0.9394307278466942,2.0444444444444443
32,adaptive,explicit_uri,90,1.0,1.0,0.0,0.9893809523809524,1.0
32,adaptive,nonexistent,5,,1.0,0.0,0.9294561824729892,5.0
32,adaptive,semantic_paraphrase,90,1.0,1.0,0.0,0.9893809523809524,4.0
32,adaptive,typo,90,1.0,1.0,0.0,0.9316288070783869,2.033333333333333
32,auto,alias,90,1.0,1.0,0.0,1.0,1.0
32,auto,ambiguous,5,,1.0,0.0,1.0,1.0
32,auto,description,90,1.0,1.0,0.0,1.0,1.0
32,auto,exact_name,90,1.0,1.0,0.0,1.0,1.0
32,auto,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
32,auto,nonexistent,5,,1.0,0.0,1.0,1.0
32,auto,semantic_paraphrase,90,1.0,1.0,0.0,1.0,1.0
32,auto,typo,90,1.0,1.0,0.0,1.0,1.0
32,fixed_explicit,alias,90,0.0,0.0,0.0,0.0,1.0
32,fixed_explicit,ambiguous,5,,1.0,0.0,0.0,1.0
32,fixed_explicit,description,90,0.0,0.0,0.0,0.0,1.0
32,fixed_explicit,exact_name,90,0.0,0.0,0.0,0.0,1.0
32,fixed_explicit,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
32,fixed_explicit,nonexistent,5,,1.0,0.0,0.0,1.0
32,fixed_explicit,semantic_paraphrase,90,0.0,0.0,0.0,0.0,1.0
32,fixed_explicit,typo,90,0.0,0.0,0.0,0.0,1.0
32,fixed_hybrid,alias,90,1.0,1.0,0.0,0.8468256459391718,1.0
32,fixed_hybrid,ambiguous,5,,1.0,0.0,0.8483828033873908,1.0
32,fixed_hybrid,description,90,1.0,1.0,0.0,0.8949206986114648,1.0
32,fixed_hybrid,exact_name,90,1.0,1.0,0.0,0.8666511526791398,1.0
32,fixed_hybrid,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
32,fixed_hybrid,nonexistent,5,,1.0,0.0,0.832078581877969,1.0
32,fixed_hybrid,semantic_paraphrase,90,1.0,1.0,0.0,0.8353357658885624,1.0
32,fixed_hybrid,typo,90,1.0,0.9888888888888889,0.0,0.85119663253785,1.0
32,fixed_index,alias,90,1.0,1.0,0.0,0.7999999999999999,1.0
32,fixed_index,ambiguous,5,,1.0,0.0,0.7999999999999999,1.0
32,fixed_index,description,90,1.0,1.0,0.0,0.7999999999999999,1.0
32,fixed_index,exact_name,90,1.0,1.0,0.0,0.7999999999999999,1.0
32,fixed_index,explicit_uri,90,1.0,1.0,0.0,0.7999999999999999,1.0
32,fixed_index,nonexistent,5,,1.0,0.0,0.6399999999999999,1.0
32,fixed_index,semantic_paraphrase,90,0.0,0.0,0.0,0.0,1.0
32,fixed_index,typo,90,1.0,1.0,0.0,0.7999999999999999,1.0
32,fixed_semantic,alias,90,0.0,0.0,0.0,0.0,1.0
32,fixed_semantic,ambiguous,5,,1.0,0.0,0.19999999999999998,1.0
32,fixed_semantic,description,90,1.0,0.0,0.0,0.19999999999999998,1.0
32,fixed_semantic,exact_name,90,0.0,0.0,0.0,0.0,1.0
32,fixed_semantic,explicit_uri,90,0.0,0.0,0.0,0.0,1.0
32,fixed_semantic,nonexistent,5,,1.0,0.0,0.0,1.0
32,fixed_semantic,semantic_paraphrase,90,1.0,0.0,0.0,0.19999999999999998,1.0
32,fixed_semantic,typo,90,0.0,0.0,0.0,0.0,1.0
32,fixed_token,alias,90,1.0,1.0,0.0,0.8592576939966846,1.0
32,fixed_token,ambiguous,5,,1.0,0.0,0.16338433712100345,1.0
32,fixed_token,description,90,0.5777777777777777,0.0,0.0,0.5301182084992905,1.0
32,fixed_token,exact_name,90,1.0,0.9555555555555556,0.0,0.9289054126913924,1.0
32,fixed_token,explicit_uri,90,1.0,1.0,0.0,1.0,1.0
32,fixed_token,nonexistent,5,,1.0,0.0,0.8454045471379426,1.0
32,fixed_token,semantic_paraphrase,90,0.022222222222222223,0.0,0.0,0.16251135863287897,1.0
32,fixed_token,typo,90,0.9888888888888889,0.9666666666666667,0.0,0.8858724337954869,1.0
32,user_hint,alias,90,1.0,1.0,0.0,0.9294561824729892,1.0
32,user_hint,ambiguous,5,,1.0,0.0,0.9294561824729892,5.0
32,user_hint,description,90,1.0,1.0,0.0,0.9893809523809524,1.0
32,user_hint,exact_name,90,1.0,1.0,0.0,0.9394307278466942,1.0888888888888888
32,user_hint,explicit_uri,90,1.0,1.0,0.0,0.9893809523809524,1.0
32,user_hint,nonexistent,5,,1.0,0.0,0.9294561824729892,5.0
32,user_hint,semantic_paraphrase,90,1.0,1.0,0.0,0.9893809523809524,1.0
