catalog_size,policy,seeds,top1_accuracy,top1_accuracy_ci_low,top1_accuracy_ci_high,outcome_accuracy,outcome_accuracy_ci_low,outcome_accuracy_ci_high,selection_coverage,selection_coverage_ci_low,selection_coverage_ci_high,selective_accuracy,selective_accuracy_ci_low,selective_accuracy_ci_high,safe_nonaction_rate,safe_nonaction_rate_ci_low,safe_nonaction_rate_ci_high,false_act_rate,false_act_rate_ci_low,false_act_rate_ci_high,ece,ece_ci_low,ece_ci_high,brier,brier_ci_low,brier_ci_high,mean_retrieval_stages,mean_retrieval_stages_ci_low,mean_retrieval_stages_ci_high,mean_fallback_count,mean_fallback_count_ci_low,mean_fallback_count_ci_high,mean_policy_us,mean_policy_us_ci_low,mean_policy_us_ci_high,estimated_discovery_ms,estimated_discovery_ms_ci_low,estimated_discovery_ms_ci_high,quality_regret,quality_regret_ci_low,quality_regret_ci_high,cost_regret,cost_regret_ci_low,cost_regret_ci_high
8,adaptive,5,1.0,1.0,1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.05924737394957983,0.05551295518207283,0.06255882352941176,0.007440890677962362,0.006784675710357674,0.007995343587802767,2.431578947368421,2.4210526315789473,2.4526315789473685,1.431578947368421,1.4210526315789473,1.4526315789473683,155.16736842105263,146.39105263157896,166.6094736842105,1.3288694736842106,1.2034022807017544,1.4527389473684211,0.0,0.0,0.0,0.5138888888888888,0.5138888888888888,0.5138888888888888
8,auto,5,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.36111111111111116,0.36111111111111116,0.36111111111111116,0.25,0.25,0.25,1.0,1.0,1.0,0.0,0.0,0.0,92.68631578947368,86.49263157894737,97.63736842105263,0.20726122807017544,0.16971701754385965,0.24936070175438596,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.0967741935483871,0.0967741935483871,0.0967741935483871
8,fixed_explicit,5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.21052631578947367,0.21052631578947367,0.21052631578947367,0.16666666666666666,0.16666666666666666,0.16666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,117.40684210526317,111.55157894736843,122.53631578947369,0.03647666666666667,0.026500000000000003,0.052660000000000005,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.0,0.0,0.0
8,fixed_hybrid,5,1.0,1.0,1.0,0.968421052631579,0.9578947368421052,0.9736842105263158,0.9944444444444445,0.9833333333333333,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.17811370642194682,0.17393519527992682,0.18189569701731056,0.04048408277159837,0.039458003335169745,0.04138561283298093,1.0,1.0,1.0,0.0,0.0,0.0,90.91947368421053,86.45631578947369,94.76894736842105,1.53837,1.4020066666666666,1.69883,0.0,0.0,0.0,4.269444444444445,4.247222222222222,4.291666666666667
8,fixed_index,5,0.8611111111111112,0.8611111111111112,0.8611111111111112,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.36111111111111116,0.36111111111111116,0.36111111111111116,0.25,0.25,0.25,1.0,1.0,1.0,0.0,0.0,0.0,95.72157894736843,88.85000000000001,102.59315789473685,0.23928333333333335,0.19621333333333332,0.28963333333333335,0.1388888888888889,0.1388888888888889,0.1388888888888889,0.0967741935483871,0.0967741935483871,0.0967741935483871
8,fixed_semantic,5,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.34210526315789475,0.34210526315789475,0.34210526315789475,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,93.3,87.38263157894737,99.21736842105263,0.45315,0.3918466666666667,0.5621466666666667,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.5583333333333333,1.4916666666666667,1.625
8,fixed_token,5,0.8277777777777778,0.8,0.861111111111111,0.6684210526315789,0.6473684210526316,0.6842105263157895,0.65,0.6277777777777778,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.135067088317061,0.10255903600683548,0.16757514062728648,0.08802366686819887,0.06973153903761503,0.10631579469878273,1.0,1.0,1.0,0.0,0.0,0.0,100.53421052631579,95.16052631578947,104.60631578947368,1.28049,1.1152,1.4348433333333332,0.17222222222222222,0.1388888888888889,0.19999999999999998,0.590961617405583,0.5818247126436782,0.6000985221674876
8,user_hint,5,1.0,1.0,1.0,0.9736842105263158,0.9736842105263158,0.9736842105263158,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.05924737394957983,0.055448179271708684,0.06253799019607843,0.007440890677962362,0.006784675710357674,0.007995343587802767,1.1842105263157894,1.1578947368421053,1.2263157894736842,0.18421052631578946,0.15789473684210525,0.2263157894736842,99.23052631578948,96.8978947368421,101.56315789473685,0.8583441228070176,0.7723362280701754,0.9321654385964913,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
32,adaptive,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.038556904243178744,0.034802391326901126,0.04097543832347754,0.0023987811340948867,0.0022558267242990125,0.002515340764119738,2.3945454545454545,2.3836363636363638,2.4072727272727272,1.3945454545454545,1.3836363636363636,1.4072727272727272,534.0856363636364,511.03727272727275,557.134,4.826634151515151,4.576369393939394,5.098073666666666,0.0,0.0,0.0,0.5,0.5,0.5
32,auto,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,255.68509090909092,247.43272727272728,262.8869090909091,0.39316896969696974,0.3612148484848485,0.42894903030303033,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
