catalog_size,mode,seeds,build_ms,mutation_rebuild_ms,index_bytes,logical_definition_tokens,active_materialized_tokens,active_fraction,warm_query_mean_ms,warm_query_median_ms,mean_candidates_scored
8,explicit,5,2.1358800000000002,1.80344,5324.6,144.0,18.0,0.125,0.03647666666666667,0.0341,0.16666666666666666
8,hybrid,5,2.1358800000000002,1.80344,5324.6,144.0,18.0,0.125,1.53837,1.44083,8.0
8,index,5,2.1358800000000002,1.80344,5324.6,144.0,18.0,0.125,0.23928333333333335,0.20669,8.0
8,semantic,5,2.1358800000000002,1.80344,5324.6,144.0,18.0,0.125,0.45315,0.44726,8.0
8,token,5,2.1358800000000002,1.80344,5324.6,144.0,18.0,0.125,1.28049,1.1121,8.0
32,explicit,5,7.38026,6.51548,21533.0,576.0,18.0,0.03125,0.037103333333333335,0.0342,0.16666666666666666
32,hybrid,5,7.38026,6.51548,21533.0,576.0,18.0,0.03125,6.02911,5.70324,32.0
32,index,5,7.38026,6.51548,21533.0,576.0,18.0,0.03125,0.20227333333333333,0.19033999999999998,5.3
32,semantic,5,7.38026,6.51548,21533.0,576.0,18.0,0.03125,1.5185533333333334,1.27286,32.0
32,token,5,7.38026,6.51548,21533.0,576.0,18.0,0.03125,5.17906,5.04667,32.0
128,explicit,5,28.52802,28.06226,86253.8,2304.0,18.0,0.0078125,0.12013333333333333,0.11984,0.16666666666666666
128,hybrid,5,28.52802,28.06226,86253.8,2304.0,18.0,0.0078125,25.223013333333334,24.53289,128.0
128,index,5,28.52802,28.06226,86253.8,2304.0,18.0,0.0078125,0.5621366666666667,0.45668000000000003,16.8
128,semantic,5,28.52802,28.06226,86253.8,2304.0,18.0,0.0078125,5.6486833333333335,5.0833900000000005,128.0
128,token,5,28.52802,28.06226,86253.8,2304.0,18.0,0.0078125,21.10603,20.317520000000002,128.0
512,explicit,5,111.91136,110.3223,345305.8,9216.0,18.0,0.001953125,0.25839666666666666,0.23052,0.16666666666666666
512,hybrid,5,111.91136,110.3223,345305.8,9216.0,18.0,0.001953125,98.49656333333334,92.985,512.0
512,index,5,111.91136,110.3223,345305.8,9216.0,18.0,0.001953125,1.6830933333333333,1.46191,50.0
512,semantic,5,111.91136,110.3223,345305.8,9216.0,18.0,0.001953125,22.768253333333334,22.039070000000002,512.0
512,token,5,111.91136,110.3223,345305.8,9216.0,18.0,0.001953125,80.87564333333333,79.51505,512.0
2048,explicit,5,497.03952,424.7202,1381568.2,36864.0,18.0,0.00048828125,1.0907233333333333,0.90084,0.16666666666666666
2048,hybrid,5,497.03952,424.7202,1381568.2,36864.0,18.0,0.00048828125,409.11168000000004,392.23444,2048.0
2048,index,5,497.03952,424.7202,1381568.2,36864.0,18.0,0.00048828125,9.482056666666667,9.27615,318.26666666666665
2048,semantic,5,497.03952,424.7202,1381568.2,36864.0,18.0,0.00048828125,96.19696666666667,96.07621,2048.0
2048,token,5,497.03952,424.7202,1381568.2,36864.0,18.0,0.00048828125,335.89226,321.52119,2048.0
8192,explicit,5,1726.59256,1752.5866800000001,5530281.0,147456.0,18.0,0.0001220703125,5.412613333333333,5.35552,0.16666666666666666
8192,hybrid,5,1726.59256,1752.5866800000001,5530281.0,147456.0,18.0,0.0001220703125,1405.1294166666667,1391.89864,8192.0
8192,index,5,1726.59256,1752.5866800000001,5530281.0,147456.0,18.0,0.0001220703125,27.35814,28.192790000000002,966.3000000000001
8192,semantic,5,1726.59256,1752.5866800000001,5530281.0,147456.0,18.0,0.0001220703125,339.00128666666666,320.49365,8192.0
8192,token,5,1726.59256,1752.5866800000001,5530281.0,147456.0,18.0,0.0001220703125,1174.2521233333334,1157.49994,8192.0
