catalog_size,seed,mode,build_ms,mutation_fraction,mutation_rebuild_ms,source_fingerprint_changed,index_bytes,logical_definition_tokens,active_materialized_tokens,active_fraction,warm_query_mean_ms,warm_query_median_ms,mean_candidates_scored,latency_samples
8,11,explicit,1.7203,0.125,1.5399,1,5315,144,18,0.125,0.02656666666666667,0.02355,0.16666666666666666,6
8,11,token,1.7203,0.125,1.5399,1,5315,144,18,0.125,1.3653833333333334,1.0178500000000001,8,6
8,11,index,1.7203,0.125,1.5399,1,5315,144,18,0.125,0.18714999999999998,0.18785000000000002,8,6
8,11,semantic,1.7203,0.125,1.5399,1,5315,144,18,0.125,0.39390000000000003,0.3912,8,6
8,11,hybrid,1.7203,0.125,1.5399,1,5315,144,18,0.125,1.7987333333333333,1.4654500000000001,8,6
8,23,explicit,2.5552,0.125,1.7226,1,5323,144,18,0.125,0.03585,0.0334,0.16666666666666666,6
8,23,token,2.5552,0.125,1.7226,1,5323,144,18,0.125,1.5531666666666666,0.99915,8,6
8,23,index,2.5552,0.125,1.7226,1,5323,144,18,0.125,0.23086666666666666,0.22594999999999998,8,6
8,23,semantic,2.5552,0.125,1.7226,1,5323,144,18,0.125,0.38348333333333334,0.38075000000000003,8,6
8,23,hybrid,2.5552,0.125,1.7226,1,5323,144,18,0.125,1.42665,1.39235,8,6
8,37,explicit,2.1244,0.125,1.4851,1,5323,144,18,0.125,0.02645,0.02395,0.16666666666666666,6
8,37,token,2.1244,0.125,1.4851,1,5323,144,18,0.125,1.3371166666666667,1.3441,8,6
8,37,index,2.1244,0.125,1.4851,1,5323,144,18,0.125,0.33488333333333337,0.20655,8,6
8,37,semantic,2.1244,0.125,1.4851,1,5323,144,18,0.125,0.4166333333333333,0.41135,8,6
8,37,hybrid,2.1244,0.125,1.4851,1,5323,144,18,0.125,1.6713,1.50495,8,6
8,53,explicit,1.9169,0.125,1.4518,1,5339,144,18,0.125,0.026516666666666668,0.02355,0.16666666666666666,6
8,53,token,1.9169,0.125,1.4518,1,5339,144,18,0.125,1.1148666666666667,1.2302499999999998,8,6
8,53,index,1.9169,0.125,1.4518,1,5339,144,18,0.125,0.18795,0.18730000000000002,8,6
8,53,semantic,1.9169,0.125,1.4518,1,5339,144,18,0.125,0.6672666666666667,0.66595,8,6
8,53,hybrid,1.9169,0.125,1.4518,1,5339,144,18,0.125,1.3615666666666666,1.30925,8,6
8,71,explicit,2.3626,0.125,2.8178,1,5323,144,18,0.125,0.067,0.06605,0.16666666666666666,6
8,71,token,2.3626,0.125,2.8178,1,5323,144,18,0.125,1.0319166666666666,0.96915,8,6
8,71,index,2.3626,0.125,2.8178,1,5323,144,18,0.125,0.25556666666666666,0.2258,8,6
8,71,semantic,2.3626,0.125,2.8178,1,5323,144,18,0.125,0.40446666666666664,0.38705,8,6
8,71,hybrid,2.3626,0.125,2.8178,1,5323,144,18,0.125,1.4336,1.5321500000000001,8,6
32,11,explicit,8.0785,0.03125,5.5815,1,21541,576,18,0.03125,0.036250000000000004,0.03365,0.16666666666666666,6
32,11,token,8.0785,0.03125,5.5815,1,21541,576,18,0.03125,4.9718,5.0154,32,6
32,11,index,8.0785,0.03125,5.5815,1,21541,576,18,0.03125,0.16581666666666667,0.15435,6,6
32,11,semantic,8.0785,0.03125,5.5815,1,21541,576,18,0.03125,1.8481833333333333,1.6326,32,6
32,11,hybrid,8.0785,0.03125,5.5815,1,21541,576,18,0.03125,6.637366666666667,5.4315,32,6
32,23,explicit,7.8874,0.03125,5.7265,1,21517,576,18,0.03125,0.03895,0.036199999999999996,0.16666666666666666,6
32,23,token,7.8874,0.03125,5.7265,1,21517,576,18,0.03125,5.518166666666667,5.32855,32,6
32,23,index,7.8874,0.03125,5.7265,1,21517,576,18,0.03125,0.23436666666666667,0.2031,5.166666666666667,6
32,23,semantic,7.8874,0.03125,5.7265,1,21517,576,18,0.03125,1.2969833333333334,1.14115,32,6
32,23,hybrid,7.8874,0.03125,5.7265,1,21517,576,18,0.03125,5.186583333333333,5.48695,32,6
32,37,explicit,9.0101,0.03125,8.2109,1,21517,576,18,0.03125,0.036333333333333336,0.033350000000000005,0.16666666666666666,6
32,37,token,9.0101,0.03125,8.2109,1,21517,576,18,0.03125,5.743783333333333,4.8374500000000005,32,6
32,37,index,9.0101,0.03125,8.2109,1,21517,576,18,0.03125,0.13816666666666666,0.13355,4.666666666666667,6
32,37,semantic,9.0101,0.03125,8.2109,1,21517,576,18,0.03125,1.4528333333333334,1.16715,32,6
32,37,hybrid,9.0101,0.03125,8.2109,1,21517,576,18,0.03125,6.237116666666667,6.10185,32,6
32,53,explicit,6.1738,0.03125,5.4938,1,21541,576,18,0.03125,0.03546666666666667,0.0327,0.16666666666666666,6
32,53,token,6.1738,0.03125,5.4938,1,21541,576,18,0.03125,4.70725,4.930999999999999,32,6
32,53,index,6.1738,0.03125,5.4938,1,21541,576,18,0.03125,0.16398333333333334,0.17315,6,6
32,53,semantic,6.1738,0.03125,5.4938,1,21541,576,18,0.03125,1.5566833333333334,1.2066,32,6
32,53,hybrid,6.1738,0.03125,5.4938,1,21541,576,18,0.03125,6.30965,5.76095,32,6
32,71,explicit,5.7515,0.03125,7.5647,1,21549,576,18,0.03125,0.038516666666666664,0.0351,0.16666666666666666,6
32,71,token,5.7515,0.03125,7.5647,1,21549,576,18,0.03125,4.9543,5.12095,32,6
32,71,index,5.7515,0.03125,7.5647,1,21549,576,18,0.03125,0.3090333333333333,0.28755,4.666666666666667,6
32,71,semantic,5.7515,0.03125,7.5647,1,21549,576,18,0.03125,1.4380833333333334,1.2168,32,6
32,71,hybrid,5.7515,0.03125,7.5647,1,21549,576,18,0.03125,5.7748333333333335,5.7349499999999995,32,6
128,11,explicit,27.033,0.0078125,28.5545,1,86177,2304,18,0.0078125,0.10608333333333334,0.1061,0.16666666666666666,6
128,11,token,27.033,0.0078125,28.5545,1,86177,2304,18,0.0078125,24.177416666666666,24.55545,128,6
128,11,index,27.033,0.0078125,28.5545,1,86177,2304,18,0.0078125,0.37465,0.383,16,6
128,11,semantic,27.033,0.0078125,28.5545,1,86177,2304,18,0.0078125,5.3670333333333335,4.8986,128,6
128,11,hybrid,27.033,0.0078125,28.5545,1,86177,2304,18,0.0078125,29.273733333333332,29.7488,128,6
128,23,explicit,27.962,0.0078125,27.7977,1,86281,2304,18,0.0078125,0.07926666666666667,0.0752,0.16666666666666666,6
128,23,token,27.962,0.0078125,27.7977,1,86281,2304,18,0.0078125,19.805266666666668,19.33935,128,6
128,23,index,27.962,0.0078125,27.7977,1,86281,2304,18,0.0078125,0.4224,0.38355,17.833333333333332,6
128,23,semantic,27.962,0.0078125,27.7977,1,86281,2304,18,0.0078125,6.030766666666667,5.16395,128,6
128,23,hybrid,27.962,0.0078125,27.7977,1,86281,2304,18,0.0078125,23.7998,22.7665,128,6
128,37,explicit,27.7026,0.0078125,30.079,1,86265,2304,18,0.0078125,0.09308333333333332,0.08245,0.16666666666666666,6
128,37,token,27.7026,0.0078125,30.079,1,86265,2304,18,0.0078125,21.179033333333333,21.3079,128,6
128,37,index,27.7026,0.0078125,30.079,1,86265,2304,18,0.0078125,0.55735,0.48305,17.333333333333332,6
128,37,semantic,27.7026,0.0078125,30.079,1,86265,2304,18,0.0078125,6.1365,5.584250000000001,128,6
128,37,hybrid,27.7026,0.0078125,30.079,1,86265,2304,18,0.0078125,23.424716666666665,23.157899999999998,128,6
128,53,explicit,26.6094,0.0078125,28.7576,1,86321,2304,18,0.0078125,0.10880000000000001,0.11125,0.16666666666666666,6
128,53,token,26.6094,0.0078125,28.7576,1,86321,2304,18,0.0078125,22.3092,18.82515,128,6
128,53,index,26.6094,0.0078125,28.7576,1,86321,2304,18,0.0078125,0.6789666666666667,0.51865,18.333333333333332,6
128,53,semantic,26.6094,0.0078125,28.7576,1,86321,2304,18,0.0078125,5.340933333333333,5.268800000000001,128,6
128,53,hybrid,26.6094,0.0078125,28.7576,1,86321,2304,18,0.0078125,25.98625,24.54805,128,6
128,71,explicit,33.3331,0.0078125,25.1225,1,86225,2304,18,0.0078125,0.21343333333333334,0.2242,0.16666666666666666,6
128,71,token,33.3331,0.0078125,25.1225,1,86225,2304,18,0.0078125,18.059233333333335,17.55975,128,6
128,71,index,33.3331,0.0078125,25.1225,1,86225,2304,18,0.0078125,0.7773166666666667,0.51515,14.5,6
128,71,semantic,33.3331,0.0078125,25.1225,1,86225,2304,18,0.0078125,5.3681833333333335,4.50135,128,6
128,71,hybrid,33.3331,0.0078125,25.1225,1,86225,2304,18,0.0078125,23.630566666666667,22.443199999999997,128,6
512,11,explicit,110.5807,0.009765625,96.7701,1,345421,9216,18,0.001953125,0.34813333333333335,0.2434,0.16666666666666666,6
512,11,token,110.5807,0.009765625,96.7701,1,345421,9216,18,0.001953125,85.21931666666666,83.5465,512,6
512,11,index,110.5807,0.009765625,96.7701,1,345421,9216,18,0.001953125,1.6212166666666668,1.3780999999999999,52.333333333333336,6
512,11,semantic,110.5807,0.009765625,96.7701,1,345421,9216,18,0.001953125,25.9494,25.360300000000002,512,6
512,11,hybrid,110.5807,0.009765625,96.7701,1,345421,9216,18,0.001953125,98.84178333333334,96.2188,512,6
512,23,explicit,108.288,0.009765625,109.1894,1,345213,9216,18,0.001953125,0.23446666666666666,0.22675,0.16666666666666666,6
512,23,token,108.288,0.009765625,109.1894,1,345213,9216,18,0.001953125,78.53746666666666,82.3808,512,6
512,23,index,108.288,0.009765625,109.1894,1,345213,9216,18,0.001953125,2.077583333333333,2.167,63.5,6
512,23,semantic,108.288,0.009765625,109.1894,1,345213,9216,18,0.001953125,21.366516666666666,19.8411,512,6
512,23,hybrid,108.288,0.009765625,109.1894,1,345213,9216,18,0.001953125,94.46291666666667,86.82785000000001,512,6
512,37,explicit,108.4069,0.009765625,126.2338,1,345277,9216,18,0.001953125,0.2249,0.22,0.16666666666666666,6
512,37,token,108.4069,0.009765625,126.2338,1,345277,9216,18,0.001953125,81.3986,77.68525,512,6
512,37,index,108.4069,0.009765625,126.2338,1,345277,9216,18,0.001953125,1.2296333333333334,0.898,43.166666666666664,6
512,37,semantic,108.4069,0.009765625,126.2338,1,345277,9216,18,0.001953125,22.8938,21.7742,512,6
512,37,hybrid,108.4069,0.009765625,126.2338,1,345277,9216,18,0.001953125,97.49178333333333,91.83975,512,6
512,53,explicit,117.0536,0.009765625,105.9923,1,345485,9216,18,0.001953125,0.23448333333333335,0.2301,0.16666666666666666,6
512,53,token,117.0536,0.009765625,105.9923,1,345485,9216,18,0.001953125,78.33623333333334,76.44585000000001,512,6
512,53,index,117.0536,0.009765625,105.9923,1,345485,9216,18,0.001953125,1.3619666666666668,1.2062,36.833333333333336,6
512,53,semantic,117.0536,0.009765625,105.9923,1,345485,9216,18,0.001953125,20.534316666666665,19.9322,512,6
512,53,hybrid,117.0536,0.009765625,105.9923,1,345485,9216,18,0.001953125,97.21361666666667,89.22805,512,6
512,71,explicit,115.2276,0.009765625,113.4259,1,345133,9216,18,0.001953125,0.25,0.23235,0.16666666666666666,6
512,71,token,115.2276,0.009765625,113.4259,1,345133,9216,18,0.001953125,80.8866,77.51685,512,6
512,71,index,115.2276,0.009765625,113.4259,1,345133,9216,18,0.001953125,2.1250666666666667,1.66025,54.166666666666664,6
512,71,semantic,115.2276,0.009765625,113.4259,1,345133,9216,18,0.001953125,23.097233333333335,23.28755,512,6
512,71,hybrid,115.2276,0.009765625,113.4259,1,345133,9216,18,0.001953125,104.47271666666667,100.81055,512,6
2048,11,explicit,435.2438,0.009765625,417.9708,1,1382173,36864,18,0.00048828125,1.1636,0.83395,0.16666666666666666,6
2048,11,token,435.2438,0.009765625,417.9708,1,1382173,36864,18,0.00048828125,348.387,338.74085,2048,6
2048,11,index,435.2438,0.009765625,417.9708,1,1382173,36864,18,0.00048828125,10.01215,9.8029,400.1666666666667,6
2048,11,semantic,435.2438,0.009765625,417.9708,1,1382173,36864,18,0.00048828125,89.2959,88.4325,2048,6
2048,11,hybrid,435.2438,0.009765625,417.9708,1,1382173,36864,18,0.00048828125,401.6077,384.60595,2048,6
2048,23,explicit,444.511,0.009765625,434.1477,1,1381493,36864,18,0.00048828125,0.8863333333333333,0.8507,0.16666666666666666,6
2048,23,token,444.511,0.009765625,434.1477,1,1381493,36864,18,0.00048828125,327.37855,316.85515,2048,6
2048,23,index,444.511,0.009765625,434.1477,1,1381493,36864,18,0.00048828125,9.543483333333334,8.87445,307,6
2048,23,semantic,444.511,0.009765625,434.1477,1,1381493,36864,18,0.00048828125,99.4555,100.4591,2048,6
2048,23,hybrid,444.511,0.009765625,434.1477,1,1381493,36864,18,0.00048828125,452.48088333333334,427.24995,2048,6
2048,37,explicit,577.9165,0.009765625,421.3728,1,1381245,36864,18,0.00048828125,1.22855,0.9267,0.16666666666666666,6
2048,37,token,577.9165,0.009765625,421.3728,1,1381245,36864,18,0.00048828125,338.5367166666667,339.9963,2048,6
2048,37,index,577.9165,0.009765625,421.3728,1,1381245,36864,18,0.00048828125,9.865133333333333,10.661999999999999,275.3333333333333,6
2048,37,semantic,577.9165,0.009765625,421.3728,1,1381245,36864,18,0.00048828125,91.42356666666666,90.2706,2048,6
2048,37,hybrid,577.9165,0.009765625,421.3728,1,1381245,36864,18,0.00048828125,410.18743333333333,383.077,2048,6
2048,53,explicit,535.7253,0.009765625,427.5722,1,1381725,36864,18,0.00048828125,1.0941833333333333,0.9402999999999999,0.16666666666666666,6
2048,53,token,535.7253,0.009765625,427.5722,1,1381725,36864,18,0.00048828125,338.99268333333333,311.44644999999997,2048,6
2048,53,index,535.7253,0.009765625,427.5722,1,1381725,36864,18,0.00048828125,9.637133333333333,9.02825,371.3333333333333,6
2048,53,semantic,535.7253,0.009765625,427.5722,1,1381725,36864,18,0.00048828125,97.42106666666666,99.65065,2048,6
2048,53,hybrid,535.7253,0.009765625,427.5722,1,1381725,36864,18,0.00048828125,392.25033333333334,381.03625,2048,6
2048,71,explicit,491.801,0.009765625,422.5375,1,1381205,36864,18,0.00048828125,1.08095,0.95255,0.16666666666666666,6
2048,71,token,491.801,0.009765625,422.5375,1,1381205,36864,18,0.00048828125,326.16634999999997,300.56719999999996,2048,6
2048,71,index,491.801,0.009765625,422.5375,1,1381205,36864,18,0.00048828125,8.352383333333334,8.01315,237.5,6
2048,71,semantic,491.801,0.009765625,422.5375,1,1381205,36864,18,0.00048828125,103.3888,101.5682,2048,6
2048,71,hybrid,491.801,0.009765625,422.5375,1,1381205,36864,18,0.00048828125,389.03205,385.20304999999996,2048,6
8192,11,explicit,1753.8632,0.010009765625,1721.2387,1,5531713,147456,18,0.0001220703125,4.791716666666667,4.5773,0.16666666666666666,6
8192,11,token,1753.8632,0.010009765625,1721.2387,1,5531713,147456,18,0.0001220703125,1161.8020666666666,1146.5897,8192,6
8192,11,index,1753.8632,0.010009765625,1721.2387,1,5531713,147456,18,0.0001220703125,28.291516666666666,29.8403,1014.3333333333334,6
8192,11,semantic,1753.8632,0.010009765625,1721.2387,1,5531713,147456,18,0.0001220703125,345.66811666666666,324.57894999999996,8192,6
8192,11,hybrid,1753.8632,0.010009765625,1721.2387,1,5531713,147456,18,0.0001220703125,1375.9204333333334,1346.2283499999999,8192,6
8192,23,explicit,1716.3416,0.010009765625,1702.5712,1,5529801,147456,18,0.0001220703125,5.6564499999999995,5.7848500000000005,0.16666666666666666,6
8192,23,token,1716.3416,0.010009765625,1702.5712,1,5529801,147456,18,0.0001220703125,1162.9692833333334,1119.54855,8192,6
8192,23,index,1716.3416,0.010009765625,1702.5712,1,5529801,147456,18,0.0001220703125,26.360366666666668,26.249850000000002,931.6666666666666,6
8192,23,semantic,1716.3416,0.010009765625,1702.5712,1,5529801,147456,18,0.0001220703125,345.87281666666667,323.72754999999995,8192,6
8192,23,hybrid,1716.3416,0.010009765625,1702.5712,1,5529801,147456,18,0.0001220703125,1415.33365,1391.143,8192,6
8192,37,explicit,1686.6844,0.010009765625,1806.8998,1,5529689,147456,18,0.0001220703125,5.6160499999999995,5.38185,0.16666666666666666,6
8192,37,token,1686.6844,0.010009765625,1806.8998,1,5529689,147456,18,0.0001220703125,1135.4573166666667,1109.2757,8192,6
8192,37,index,1686.6844,0.010009765625,1806.8998,1,5529689,147456,18,0.0001220703125,28.889533333333333,29.8264,1018.3333333333334,6
8192,37,semantic,1686.6844,0.010009765625,1806.8998,1,5529689,147456,18,0.0001220703125,319.78318333333334,319.8465,8192,6
