automatic_local_fraction,compact_only_success,condition,external_acquisition_fraction,final_success,n,no_recovery_fraction,recovery_gain
0.0,0.75,FULL_BACKING,0.0,0.75,32,0.0,0.0
0.0,0.75,HEADROOM_OFFICIAL_DEFAULT,0.0,0.75,32,0.0,0.0
0.0,0.75,HEADROOM_OFFICIAL_TUNED,0.0,0.75,32,0.0,0.0
0.0,0.625,PRA_CURRENT_COMPACTOR,0.0,0.625,32,0.625,0.0
0.0,0.25,PRA_FULL_HYBRID_ENVELOPE,0.0,0.71875,32,0.0,0.46875
0.0,0.25,PRA_TYPE_AWARE,0.0,0.25,32,0.25,0.0
0.40625,0.25,PRA_TYPE_AWARE_BM25,0.0,0.65625,32,0.25,0.40625
0.46875,0.25,PRA_TYPE_AWARE_BM25_EMBED,0.0,0.71875,32,0.25,0.46875
