bm25_index,detail_kv,embedding_index,lexical_index,native_qk_index,state,summary_view,typed_index
BUILT,BUILT,BUILT,BUILT,BUILT,below_threshold,BUILT,BUILT
BUILT,DEFERRED,BUILT,BUILT,SKIPPED_SIZE_LIMIT,SKIPPED_SIZE_LIMIT,BUILT,BUILT
BUILT,DEFERRED,BUILT,BUILT,DEFERRED,DEFERRED,BUILT,BUILT
BUILT,BUILT_SELECTED_REGION,BUILT,BUILT,SELECTED_REGION_ONLY,lazy_selected_region,BUILT,BUILT
