active_native_kv_tokens,automatic_recovery_success,case_id,cheap_index_bytes,compact_only_success,compression_ratio,condition,dataset,final_success,native_index_bytes,original_tokens,recovery_mode,selected_region_tokens,visible_tokens
0,1,github_search_001,3793,1,1.0365853658536586,PRA_CURRENT_COMPACTOR,tool_outputs,1,0,82,none,0,85
0,1,github_search_001,3793,1,1.0365853658536586,PRA_TYPE_AWARE,tool_outputs,1,0,82,none,0,85
0,0,github_search_001,3793,1,1.0365853658536586,PRA_TYPE_AWARE_BM25,tool_outputs,1,0,82,none,0,85
0,0,github_search_001,3793,1,1.0365853658536586,PRA_TYPE_AWARE_BM25_EMBED,tool_outputs,1,0,82,none,26,85
112,0,github_search_001,3793,1,1.0365853658536586,PRA_FULL_HYBRID_ENVELOPE,tool_outputs,1,not_reported_by_frozen_run,82,availability_envelope_not_shared_fusion,112,85
0,1,github_search_001,0,1,0.6828193832599119,HEADROOM_OFFICIAL_DEFAULT,tool_outputs,1,0,227,official_visible_or_retrieve,0,155
0,1,github_search_001,0,1,0.6828193832599119,HEADROOM_OFFICIAL_TUNED,tool_outputs,1,0,227,official_visible_or_retrieve,0,155
0,1,github_search_001,0,1,1.0,FULL_BACKING,tool_outputs,1,0,82,full_backing,82,82
0,1,k8s_events_001,4111,1,1.34,PRA_CURRENT_COMPACTOR,tool_outputs,1,0,50,none,0,67
0,1,k8s_events_001,4111,1,1.34,PRA_TYPE_AWARE,tool_outputs,1,0,50,none,0,67
0,0,k8s_events_001,4111,1,1.34,PRA_TYPE_AWARE_BM25,tool_outputs,1,0,50,none,11,67
23,1,k8s_events_001,4111,1,1.34,PRA_TYPE_AWARE_BM25_EMBED,tool_outputs,1,0,50,none,23,67
112,1,k8s_events_001,4111,1,1.34,PRA_FULL_HYBRID_ENVELOPE,tool_outputs,1,not_reported_by_frozen_run,50,availability_envelope_not_shared_fusion,112,67
0,1,k8s_events_001,0,1,1.0,HEADROOM_OFFICIAL_DEFAULT,tool_outputs,1,0,169,official_visible_or_retrieve,0,169
0,1,k8s_events_001,0,1,1.0,HEADROOM_OFFICIAL_TUNED,tool_outputs,1,0,169,official_visible_or_retrieve,0,169
0,1,k8s_events_001,0,1,1.0,FULL_BACKING,tool_outputs,1,0,50,full_backing,50,50
0,1,traceback_001,6041,1,1.3863636363636365,PRA_CURRENT_COMPACTOR,tool_outputs,1,0,44,none,0,61
0,1,traceback_001,6041,1,1.3863636363636365,PRA_TYPE_AWARE,tool_outputs,1,0,44,none,0,61
3,1,traceback_001,6041,1,1.3863636363636365,PRA_TYPE_AWARE_BM25,tool_outputs,1,0,44,none,3,61
15,1,traceback_001,6041,1,1.3863636363636365,PRA_TYPE_AWARE_BM25_EMBED,tool_outputs,1,0,44,none,15,61
