nodes,top_k,method,exact_label_match
8,2,cc,1
8,2,label_propagation,1
8,4,cc,1
8,4,label_propagation,1
8,7,cc,1
8,7,label_propagation,1
8,7,cc,1
8,7,label_propagation,1
8,7,cc,1
8,7,label_propagation,1
16,2,cc,1
16,2,label_propagation,1
16,4,cc,1
16,4,label_propagation,1
16,8,cc,1
16,8,label_propagation,1
16,15,cc,1
16,15,label_propagation,1
16,15,cc,1
16,15,label_propagation,1
32,2,cc,1
32,2,label_propagation,1
32,4,cc,1
32,4,label_propagation,1
32,8,cc,1
32,8,label_propagation,1
32,16,cc,1
32,16,label_propagation,1
32,31,cc,1
32,31,label_propagation,1
64,2,cc,1
64,2,label_propagation,1
64,4,cc,1
64,4,label_propagation,1
64,8,cc,1
64,8,label_propagation,1
64,16,cc,1
64,16,label_propagation,1
64,32,cc,1
64,32,label_propagation,1
128,2,cc,1
128,2,label_propagation,1
128,4,cc,1
128,4,label_propagation,1
128,8,cc,1
128,8,label_propagation,1
128,16,cc,1
128,16,label_propagation,1
128,32,cc,1
128,32,label_propagation,1
