model,router_parameters,qasper_r5_mean,qasper_r10_mean,qasper_r20_mean,qasper_r20_std,qasper_r30_mean,qasper_auc_0_30_mean,demo_evidence_recall,demo_routed_f1,demo_requested_chunk_fraction,demo_materialized_kv_fraction,demo_routing_seconds,demo_wall_seconds,demo_peak_gpu_bytes,demo_routing_index_bytes,demo_resident_detail_kv_bytes
Qwen3-0.6B,262144,0.2927422161172161,0.36192673992673996,0.4539065934065934,0.006996400317259678,0.5318633241758242,0.3958297657203907,0.6666666666666666,0.03333333333333334,0.20375770063270063,0.06613118561817778,0.00639680000313092,2.145792950010218,1208939008.0,46976.0,95707136.0
SmolLM2-135M (Llama),147456,0.24301854395604394,0.33385760073260073,0.447323717948718,0.05138533440983476,0.5319665750915752,0.37146978021978017,0.75,0.027777777777777776,0.20956148524358528,0.062488907278195935,0.03274202499596868,1.852028600005724,280360320.0,49920.0,19064832.0
