seed,target_shared_tokens,actual_shared_tokens,query_tokens,fanout,child_index,one_time_native_encode_ms,native_kv_bytes,condition,model_ms,route_attach_ms,request_ms,physical_input_tokens,native_tokens_reused,argmax_matches_host_split,max_abs_logit_delta_vs_host_split,payload_hit,native_hit,tool_calls_so_far
37,32768,32768,16,1,0,11656.791207846254,3758096384,host_split_text,13282.412791624665,0.0,13282.412791624665,32784,0,1,0.0,1,0,1
37,32768,32768,16,1,0,11656.791207846254,3758096384,harness_memo_text,12488.195416983217,13.774165883660316,12501.969582866877,32784,0,1,0.0,1,0,1
37,32768,32768,16,1,0,11656.791207846254,3758096384,pra_record_reprefill,12792.005083989352,11.977708898484707,12803.982792887837,32784,0,1,0.0,1,0,1
37,32768,32768,16,1,0,11656.791207846254,3758096384,pra_native_kv,31401.331500150263,21.018709056079388,31422.350209206343,16,32768,1,0.0,1,1,1
37,32768,32768,16,2,0,12058.335667010397,3758096384,host_split_text,13330.23279113695,0.0,13330.23279113695,32784,0,1,0.0,1,0,1
37,32768,32768,16,2,0,12058.335667010397,3758096384,harness_memo_text,12944.255457725376,30.573375057429075,12974.828832782805,32784,0,1,0.0,1,0,1
37,32768,32768,16,2,0,12058.335667010397,3758096384,pra_record_reprefill,13109.745417255908,11.335750110447407,13121.081167366356,32784,0,1,0.0,1,0,1
37,32768,32768,16,2,0,12058.335667010397,3758096384,pra_native_kv,34820.094916038215,77.5410826317966,34897.63599867001,16,32768,1,0.0,1,1,1
37,32768,32768,16,2,1,12058.335667010397,3758096384,host_split_text,12325.348041951656,0.0,12325.348041951656,32784,0,1,0.0,1,0,1
37,32768,32768,16,2,1,12058.335667010397,3758096384,harness_memo_text,12523.620499763638,12.9959168843925,12536.61641664803,32784,0,1,0.0,1,0,1
37,32768,32768,16,2,1,12058.335667010397,3758096384,pra_record_reprefill,12734.001209028065,10.918916668742895,12744.920125696808,32784,0,1,0.0,1,0,1
37,32768,32768,16,2,1,12058.335667010397,3758096384,pra_native_kv,22595.532165840268,20.712709054350853,22616.24487489462,16,32768,1,0.0,1,1,1
37,32768,32768,16,4,0,12474.630958866328,3758096384,host_split_text,13183.432125020772,0.0,13183.432125020772,32784,0,1,0.0,1,0,1
37,32768,32768,16,4,0,12474.630958866328,3758096384,harness_memo_text,13053.804625291377,26.4960415661335,13080.30066685751,32784,0,1,0.0,1,0,1
37,32768,32768,16,4,0,12474.630958866328,3758096384,pra_record_reprefill,12778.984582982957,18.634000327438116,12797.618583310395,32784,0,1,0.0,1,0,1
37,32768,32768,16,4,0,12474.630958866328,3758096384,pra_native_kv,19891.663208138198,19.06720921397209,19910.73041735217,16,32768,1,0.0,1,1,1
37,32768,32768,16,4,1,12474.630958866328,3758096384,host_split_text,12327.961375005543,0.0,12327.961375005543,32784,0,1,0.0,1,0,1
37,32768,32768,16,4,1,12474.630958866328,3758096384,harness_memo_text,12498.263916000724,7.7683329582214355,12506.032248958945,32784,0,1,0.0,1,0,1
37,32768,32768,16,4,1,12474.630958866328,3758096384,pra_record_reprefill,12637.338916771114,15.992000233381987,12653.330917004496,32784,0,1,0.0,1,0,1
37,32768,32768,16,4,1,12474.630958866328,3758096384,pra_native_kv,25962.585332803428,14.437541831284761,25977.022874634713,16,32768,1,0.0,1,1,1
