catalog_size,seed,workflow_id,step,query_id,policy,max_candidates,target_in_palette,conditional_choice_correct,tool_call_acceptance,wrong_tool_proposal,unsafe_tool_proposal,host_rejection,step_success,workflow_success,mean_steps,replans,retries,capability_tokens,full_schemas_materialized,resolver_latency_seconds,model_latency_seconds
8192,23,document_delivery,2,export_document-h2-en-1,A2_raw_union,8,1,1,1,0,0,0,1,0,2,0,0,1445,1,0.0016587001737207174,10.37890430050902
8192,23,account_repair,1,get_user-h2-en-1,A3_diversity_union,4,0,0,1,1,0,0,0,0,2,0,0,938,1,0.0027552000246942043,8.09793010004796
8192,23,account_repair,2,update_user-h4-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,933,1,0.003436099970713258,8.82453430001624
8192,23,document_delivery,1,search_document-h1-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,561,1,0.0001789000816643238,2.3415036001242697
8192,23,document_delivery,2,export_document-h2-en-1,A3_diversity_union,4,0,0,1,1,0,0,0,0,2,0,0,888,1,0.001838400261476636,9.38246630015783
8192,23,account_repair,1,get_user-h2-en-1,A3_diversity_union,8,0,0,1,1,0,0,0,0,2,0,0,1546,1,0.001995400059968233,10.49028870020993
8192,23,account_repair,2,update_user-h4-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1539,1,0.0018078002613037825,11.65236630034633
8192,23,document_delivery,1,search_document-h1-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1117,1,0.0005910000763833523,4.274394399952143
8192,23,document_delivery,2,export_document-h2-en-1,A3_diversity_union,8,1,1,1,0,0,0,1,0,2,0,0,1445,1,0.0017457997892051935,8.928155499976128
8192,37,account_repair,1,get_user-h2-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,929,1,0.0034463999327272177,9.481044600019231
8192,37,account_repair,2,update_user-h4-en-1,A1_fused,4,0,0,0,1,0,1,0,0,2,0,0,893,1,0.0019453999120742083,10.592569200089201
8192,37,document_delivery,1,search_document-h1-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,941,1,0.003414600156247616,9.435474300058559
8192,37,document_delivery,2,export_document-h2-en-1,A1_fused,4,1,0,1,1,0,0,0,0,2,0,0,914,1,0.0032049999572336674,11.26142009999603
8192,37,account_repair,1,get_user-h2-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1533,1,0.0031100998166948557,11.671872499864548
8192,37,account_repair,2,update_user-h4-en-1,A1_fused,8,0,0,0,1,0,1,0,0,2,0,0,1505,1,0.007538000121712685,12.553039399906993
8192,37,document_delivery,1,search_document-h1-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1557,1,0.0033672000281512737,12.212174399988726
8192,37,document_delivery,2,export_document-h2-en-1,A1_fused,8,1,0,0,1,0,1,0,0,2,0,0,1201,1,0.00026679993607103825,4.632732899859548
8192,37,account_repair,1,get_user-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,934,1,0.0028929999098181725,9.527020799927413
8192,37,account_repair,2,update_user-h4-en-1,A2_raw_union,4,0,0,0,1,0,1,0,0,2,0,0,883,1,0.002315100282430649,10.211779000237584
8192,37,document_delivery,1,search_document-h1-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,896,1,0.002917399862781167,9.52490619989112
8192,37,document_delivery,2,export_document-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,894,1,0.002535799751058221,10.588105299975723
8192,37,account_repair,1,get_user-h2-en-1,A2_raw_union,8,0,0,1,1,0,0,0,0,2,0,0,1544,1,0.001776600256562233,11.75783220026642
8192,37,account_repair,2,update_user-h4-en-1,A2_raw_union,8,0,0,0,1,0,1,0,0,2,0,0,1489,1,0.003920999821275473,12.191813599783927
8192,37,document_delivery,1,search_document-h1-en-1,A2_raw_union,8,0,0,1,1,0,0,0,0,2,0,0,1452,1,0.0016963998787105083,11.423728099791333
8192,37,document_delivery,2,export_document-h2-en-1,A2_raw_union,8,1,0,1,1,0,0,0,0,2,0,0,1477,1,0.003919399809092283,13.021917399717495
8192,37,account_repair,1,get_user-h2-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,607,1,0.00014410004951059818,2.666638500057161
8192,37,account_repair,2,update_user-h4-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,824,1,0.0027512998785823584,8.076962099643424
8192,37,document_delivery,1,search_document-h1-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,561,1,0.00014990009367465973,2.354445500066504
8192,37,document_delivery,2,export_document-h2-en-1,A3_diversity_union,4,0,0,1,1,0,0,0,0,2,0,0,894,1,0.0026348999235779047,9.094876199727878
8192,37,account_repair,1,get_user-h2-en-1,A3_diversity_union,8,0,0,1,1,0,0,0,0,2,0,0,1543,1,0.0017210999503731728,10.495508399792016
8192,37,account_repair,2,update_user-h4-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1493,1,0.0024859998375177383,10.878454299876466
8192,37,document_delivery,1,search_document-h1-en-1,A3_diversity_union,8,0,0,1,1,0,0,0,0,2,0,0,1450,1,0.0022691001649945974,9.76065510022454
8192,37,document_delivery,2,export_document-h2-en-1,A3_diversity_union,8,1,1,1,0,0,0,1,0,2,0,0,1444,1,0.0029623000882565975,9.136450600111857
8192,53,account_repair,1,get_user-h2-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,935,1,0.002424699952825904,9.301031699869782
8192,53,account_repair,2,update_user-h4-en-1,A1_fused,4,0,0,0,1,0,1,0,0,2,0,0,897,1,0.0015580002218484879,9.955085500143468
8192,53,document_delivery,1,search_document-h1-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,937,1,0.00260749994777143,9.42233349988237
8192,53,document_delivery,2,export_document-h2-en-1,A1_fused,4,1,1,1,0,0,0,1,0,2,0,0,887,1,0.0023513000924140215,8.059491800144315
8192,53,account_repair,1,get_user-h2-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1568,1,0.0026553000789135695,11.720447900006548
8192,53,account_repair,2,update_user-h4-en-1,A1_fused,8,0,0,0,1,0,1,0,0,2,0,0,1509,1,0.002797599881887436,11.976108700037003
8192,53,document_delivery,1,search_document-h1-en-1,A1_fused,8,0,0,1,1,0,0,0,0,2,0,0,1553,1,0.0042010999750345945,11.652713300194591
8192,53,document_delivery,2,export_document-h2-en-1,A1_fused,8,1,0,1,1,0,0,0,0,2,0,0,1533,1,0.0026406999677419662,12.624195599928498
8192,53,account_repair,1,get_user-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,939,1,0.0018214001320302486,8.866876100189984
8192,53,account_repair,2,update_user-h4-en-1,A2_raw_union,4,0,0,0,1,0,1,0,0,2,0,0,934,1,0.0024608999956399202,12.579908300191164
8192,53,document_delivery,1,search_document-h1-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,892,1,0.0018488999921828508,9.249623000156134
8192,53,document_delivery,2,export_document-h2-en-1,A2_raw_union,4,0,0,1,1,0,0,0,0,2,0,0,893,1,0.0029688000213354826,10.947397399926558
8192,53,account_repair,1,get_user-h2-en-1,A2_raw_union,8,0,0,1,1,0,0,0,0,2,0,0,1549,1,0.0021681003272533417,11.301533600082621
8192,53,account_repair,2,update_user-h4-en-1,A2_raw_union,8,0,0,0,1,0,1,0,0,2,0,0,1494,1,0.0026861000806093216,12.530005800304934
8192,53,document_delivery,1,search_document-h1-en-1,A2_raw_union,8,0,0,0,1,0,1,0,0,2,0,0,1119,1,0.0002052001655101776,4.296910800272599
8192,53,document_delivery,2,export_document-h2-en-1,A2_raw_union,8,1,0,1,1,0,0,0,0,2,0,0,1475,1,0.0031891001854091883,13.047037900192663
8192,53,account_repair,1,get_user-h2-en-1,A3_diversity_union,4,0,0,1,1,0,0,0,0,2,0,0,940,1,0.0027866000309586525,7.894028099952266
8192,53,account_repair,2,update_user-h4-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,927,1,0.002311199903488159,8.530649799620733
8192,53,document_delivery,1,search_document-h1-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,561,1,0.00015050009824335575,2.202958900015801
8192,53,document_delivery,2,export_document-h2-en-1,A3_diversity_union,4,0,0,0,1,0,1,0,0,2,0,0,559,1,0.00017409981228411198,2.385668199742213
8192,53,account_repair,1,get_user-h2-en-1,A3_diversity_union,8,0,0,1,1,0,0,0,0,2,0,0,1548,1,0.004473000066354871,10.255631900159642
8192,53,account_repair,2,update_user-h4-en-1,A3_diversity_union,8,0,0,0,1,0,1,0,0,2,0,0,1497,1,0.003168900031596422,11.21873000008054
8192,53,document_delivery,1,search_document-h1-en-1,A3_diversity_union,8,0,0,1,1,0,0,0,0,2,0,0,1446,1,0.0015272998716682196,10.064486799761653
8192,53,document_delivery,2,export_document-h2-en-1,A3_diversity_union,8,1,1,1,0,0,0,1,0,2,0,0,1445,1,0.002549700206145644,8.99510410032235
8192,71,account_repair,1,get_user-h2-en-1,A1_fused,4,0,0,1,1,0,0,0,0,2,0,0,933,1,0.0031747999601066113,9.46973119978793
8192,71,account_repair,2,update_user-h4-en-1,A1_fused,4,0,0,0,1,0,1,0,0,2,0,0,893,1,0.0025595000479370356,10.293055900139734
8192,71,document_delivery,1,search_document-h1-en-1,A1_fused,4,0,0,0,1,0,1,0,0,2,0,0,619,1,0.00019700010307133198,2.8305786000564694
8192,71,document_delivery,2,export_document-h2-en-1,A1_fused,4,1,1,1,0,0,0,1,0,2,0,0,887,1,0.0025373997632414103,7.244017499731854
8192,71,account_repair,1,get_user-h2-en-1,A1_fused,8,1,1,1,0,0,0,1,0,2,0,0,1431,1,0.001927100121974945,9.018341100309044
8192,71,account_repair,2,update_user-h4-en-1,A1_fused,8,0,0,0,1,0,1,0,0,2,0,0,1507,1,0.0023182998411357403,10.226965899812058
