catalog_size,max_candidates,policy,candidate_view,examples,catalog_seeds,target_in_palette_count,correct_choice_count,retrieval_recall,conditional_choice_accuracy,end_to_end_choice_accuracy,unsafe_exposure,unsafe_choice_rate,selection_view_tokens,all_candidate_full_tokens,model_choice_seconds
512,6,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.25,0.0,871.25,1922.125,6.368968874972779
512,6,A1_fused,compact,8,1,5,2,0.625,0.4,0.25,0.25,0.125,866.75,1917.125,6.126437525061192
512,6,A2_raw_union,compact,8,1,4,0,0.5,0.0,0.0,0.25,0.0,872.5,1926.25,6.405616562493378
512,6,A3_diversity_union,compact,8,1,4,2,0.5,0.5,0.25,0.125,0.0,860.125,1909.625,6.1262534125417005
512,8,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.25,0.0,1179.0,2585.875,7.256724725011736
512,8,A1_fused,compact,8,1,6,3,0.75,0.5,0.375,0.25,0.0,1158.0,2555.625,6.893668137490749
512,8,A1_fused,full_all,4,1,4,1,1.0,0.25,0.25,0.0,0.0,1140.75,2527.0,28.19089852506295
512,8,A2_raw_union,compact,8,1,4,0,0.5,0.0,0.0,0.25,0.0,1165.25,2572.125,7.019539825007087
512,8,A2_raw_union,full_all,4,1,1,0,0.25,0.0,0.0,0.0,0.0,1160.0,2559.75,29.272248550027143
512,8,A3_diversity_union,compact,8,1,4,2,0.5,0.5,0.25,0.25,0.0,1154.25,2557.75,6.946919437526958
512,10,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.5,0.0,1488.25,3248.375,8.225166212476324
512,10,A1_fused,compact,8,1,6,3,0.75,0.5,0.375,0.25,0.0,1463.75,3214.125,8.00373518752167
512,10,A1_fused,full_all,4,1,4,0,1.0,0.0,0.0,0.0,0.0,1448.5,3187.25,18.991299749992322
512,10,A2_raw_union,compact,8,1,4,0,0.5,0.0,0.0,0.25,0.0,1459.375,3219.5,7.7872013125161175
512,10,A2_raw_union,full_all,4,1,1,0,0.25,0.0,0.0,0.0,0.0,1463.75,3218.5,19.103888649959117
512,10,A3_diversity_union,compact,8,1,4,2,0.5,0.5,0.25,0.25,0.0,1458.75,3218.375,8.013859824946849
2048,2,A0_bm25,compact,8,1,3,2,0.375,0.6666666666666666,0.25,0.0,0.0,261.25,604.5,4.464993687492097
2048,2,A1_fused,compact,8,1,2,0,0.25,0.0,0.0,0.125,0.0,289.625,640.625,4.41909938750905
2048,2,A2_raw_union,compact,8,1,2,0,0.25,0.0,0.0,0.0,0.0,275.125,620.625,4.191086674982216
2048,2,A3_diversity_union,compact,8,1,2,2,0.25,1.0,0.25,0.0,0.0,275.875,622.625,4.186750900000334
2048,4,A0_bm25,compact,8,1,3,1,0.375,0.3333333333333333,0.125,0.0,0.0,560.75,1256.375,5.456471474957652
2048,4,A1_fused,compact,8,1,2,0,0.25,0.0,0.0,0.125,0.0,595.875,1303.5,5.679236812487943
2048,4,A1_fused,full_all,4,1,1,0,0.25,0.0,0.0,0.0,0.0,589.0,1292.75,22.08284712495515
2048,4,A2_raw_union,compact,8,1,3,0,0.375,0.0,0.0,0.0,0.0,570.5,1270.375,5.418850437563378
