experiment,left,right,pairs,left_success,right_success,left_only,right_only,exact_two_sided_p
palette_choice_8192_k10,A2_raw_union,A1_fused,40,0,1,0,1,1.0
palette_choice_8192_k10,A3_diversity_union,A1_fused,40,10,1,10,1,0.01171875
palette_choice_8192_k10,A4_agreement_union,A1_fused,40,7,1,7,1,0.0703125
progressive_task_8192_k8,A2_raw_union,A1_fused,20,1,2,1,2,1.0
progressive_task_8192_k8,A3_diversity_union,A1_fused,20,5,2,4,1,0.375
