tool_name,selection_tokens,full_schema_tokens,selection_full_ratio,parameter_count,required_parameter_count,nested_schema,executable
publish_governed_report,172,736,0.23369565217391305,7,5,1,1
schedule_governed_report,158,721,0.21914008321775313,7,6,1,1
validate_governed_report,152,544,0.27941176470588236,5,4,1,1
