resource_type,catalog_size,max_candidates,policy,condition,tokens,quality
tool,512,4,A1_fused,C0_full_all_one_pass,1270.0,0.25
tool,512,4,A1_fused,C1_compact_only,574.5,0.0
tool,512,4,A1_fused,C2_compact_to_full,804.75,0.25
tool,512,4,A1_fused,C3_oracle_to_full,277.5,0.75
tool,512,4,A2_raw_union,C0_full_all_one_pass,1261.5,0.25
tool,512,4,A2_raw_union,C1_compact_only,566.75,0.0
tool,512,4,A2_raw_union,C2_compact_to_full,806.5,0.25
tool,512,4,A2_raw_union,C3_oracle_to_full,277.5,0.75
tool,512,8,A1_fused,C0_full_all_one_pass,2534.0,0.5
tool,512,8,A1_fused,C1_compact_only,1147.75,0.0
tool,512,8,A1_fused,C2_compact_to_full,1451.25,0.25
tool,512,8,A1_fused,C3_oracle_to_full,277.5,0.75
tool,512,8,A2_raw_union,C0_full_all_one_pass,2566.75,0.25
tool,512,8,A2_raw_union,C1_compact_only,1167.0,0.0
tool,512,8,A2_raw_union,C2_compact_to_full,1489.5,0.25
tool,512,8,A2_raw_union,C3_oracle_to_full,277.5,0.75
tool,512,10,A1_fused,C0_full_all_one_pass,3196.25,0.5
tool,512,10,A1_fused,C1_compact_only,1457.5,0.0
tool,512,10,A1_fused,C2_compact_to_full,1780.0,0.25
tool,512,10,A1_fused,C3_oracle_to_full,277.5,0.75
tool,512,10,A2_raw_union,C0_full_all_one_pass,3227.5,0.25
tool,512,10,A2_raw_union,C1_compact_only,1472.75,0.0
tool,512,10,A2_raw_union,C2_compact_to_full,1795.25,0.25
tool,512,10,A2_raw_union,C3_oracle_to_full,277.5,0.75
tool,2048,4,A1_fused,C0_full_all_one_pass,1295.75,0.25
tool,2048,4,A1_fused,C1_compact_only,592.0,0.0
tool,2048,4,A1_fused,C2_compact_to_full,911.5,0.25
tool,2048,4,A1_fused,C3_oracle_to_full,277.5,0.75
tool,2048,4,A2_raw_union,C0_full_all_one_pass,1260.25,0.25
tool,2048,4,A2_raw_union,C1_compact_only,564.5,0.0
tool,2048,4,A2_raw_union,C2_compact_to_full,886.0,0.25
tool,2048,4,A2_raw_union,C3_oracle_to_full,277.5,0.75
tool,2048,8,A1_fused,C0_full_all_one_pass,2597.5,0.25
tool,2048,8,A1_fused,C1_compact_only,1194.25,0.0
tool,2048,8,A1_fused,C2_compact_to_full,1424.0,0.25
tool,2048,8,A1_fused,C3_oracle_to_full,277.5,0.75
tool,2048,8,A2_raw_union,C0_full_all_one_pass,2560.0,0.25
tool,2048,8,A2_raw_union,C1_compact_only,1160.0,0.0
tool,2048,8,A2_raw_union,C2_compact_to_full,1317.25,0.25
tool,2048,8,A2_raw_union,C3_oracle_to_full,277.5,0.75
tool,2048,10,A1_fused,C0_full_all_one_pass,3266.0,0.25
tool,2048,10,A1_fused,C1_compact_only,1505.0,0.0
tool,2048,10,A1_fused,C2_compact_to_full,1810.25,0.5
tool,2048,10,A1_fused,C3_oracle_to_full,277.5,0.75
tool,2048,10,A2_raw_union,C0_full_all_one_pass,3215.25,0.25
tool,2048,10,A2_raw_union,C1_compact_only,1464.0,0.0
tool,2048,10,A2_raw_union,C2_compact_to_full,1707.25,0.0
tool,2048,10,A2_raw_union,C3_oracle_to_full,277.5,0.75
tool,8192,4,A1_fused,C0_full_all_one_pass,1296.75,0.1
tool,8192,4,A1_fused,C1_compact_only,593.0,0.0
tool,8192,4,A1_fused,C2_compact_to_full,868.05,0.15
tool,8192,4,A1_fused,C3_oracle_to_full,277.5,0.75
tool,8192,4,A2_raw_union,C0_full_all_one_pass,1275.85,0.0
tool,8192,4,A2_raw_union,C1_compact_only,579.1,0.0
tool,8192,4,A2_raw_union,C2_compact_to_full,891.05,0.0
tool,8192,4,A2_raw_union,C3_oracle_to_full,277.5,0.75
tool,8192,4,A3_diversity_union,C0_full_all_one_pass,1274.05,0.0
tool,8192,4,A3_diversity_union,C1_compact_only,578.4,0.0
tool,8192,4,A3_diversity_union,C2_compact_to_full,752.7,0.0
tool,8192,4,A3_diversity_union,C3_oracle_to_full,277.5,0.75
tool,8192,8,A1_fused,C0_full_all_one_pass,2615.1,0.1
tool,8192,8,A1_fused,C1_compact_only,1203.4,0.0
tool,8192,8,A1_fused,C2_compact_to_full,1494.7,0.1
tool,8192,8,A1_fused,C3_oracle_to_full,277.5,0.75
tool,8192,8,A2_raw_union,C0_full_all_one_pass,2560.55,0.15
tool,8192,8,A2_raw_union,C1_compact_only,1163.1,0.0
tool,8192,8,A2_raw_union,C2_compact_to_full,1441.35,0.05
tool,8192,8,A2_raw_union,C3_oracle_to_full,277.5,0.75
tool,8192,8,A3_diversity_union,C0_full_all_one_pass,2557.85,0.0
tool,8192,8,A3_diversity_union,C1_compact_only,1161.9,0.0
tool,8192,8,A3_diversity_union,C2_compact_to_full,1418.8,0.25
tool,8192,8,A3_diversity_union,C3_oracle_to_full,277.5,0.75
tool,8192,10,A1_fused,C0_full_all_one_pass,3275.25,0.0
tool,8192,10,A1_fused,C1_compact_only,1509.0,0.0
tool,8192,10,A1_fused,C2_compact_to_full,1754.75,0.0
tool,8192,10,A1_fused,C3_oracle_to_full,277.5,0.75
tool,8192,10,A2_raw_union,C0_full_all_one_pass,3212.75,0.25
tool,8192,10,A2_raw_union,C1_compact_only,1463.25,0.0
tool,8192,10,A2_raw_union,C2_compact_to_full,1789.25,0.0
tool,8192,10,A2_raw_union,C3_oracle_to_full,277.5,0.75
skill,25,2,fused,S0_full_all,921.375000,0.625000
skill,25,2,fused,S1_selection_only,199.875000,0.000000
skill,25,2,fused,S2_selection_to_full,602.625000,0.625000
skill,25,2,fused,S3_oracle_full,460.625000,1.000000
skill,25,4,fused,S0_full_all,1852.625000,0.750000
skill,25,4,fused,S1_selection_only,402.375000,0.000000
skill,25,4,fused,S2_selection_to_full,805.000000,0.625000
skill,25,4,fused,S3_oracle_full,460.625000,1.000000
skill,25,6,fused,S0_full_all,2794.000000,0.625000
skill,25,6,fused,S1_selection_only,606.625000,0.000000
skill,25,6,fused,S2_selection_to_full,1067.125000,0.500000
skill,25,6,fused,S3_oracle_full,460.625000,1.000000
skill,25,8,fused,S0_full_all,3728.750000,0.625000
skill,25,8,fused,S1_selection_only,808.250000,0.000000
skill,25,8,fused,S2_selection_to_full,1269.875000,0.625000
skill,25,8,fused,S3_oracle_full,460.625000,1.000000
skill,25,25,fused,S0_full_all,,
skill,25,25,fused,S1_selection_only,2527.000000,0.000000
skill,25,25,fused,S2_selection_to_full,2928.500000,0.500000
skill,25,25,fused,S3_oracle_full,460.625000,1.000000
