dataset,split_count,candidate_references,fixed_k,fixed_k_fraction,fixed_k_coverage,matched_fraction_k,matched_fraction,matched_fraction_coverage
hotpotqa,64,63,8,0.12698412698412698,0.75625,8,0.12698412698412698,0.75625
hotpotqa,128,127,8,0.06299212598425197,0.7125,16,0.12598425196850394,0.771875
hotpotqa,256,255,8,0.03137254901960784,0.7,32,0.12549019607843137,0.7625
qasper,64,63,8,0.12698412698412698,0.79375,8,0.12698412698412698,0.79375
qasper,128,127,8,0.06299212598425197,0.8,16,0.12598425196850394,0.803125
qasper,256,255,8,0.03137254901960784,0.759375,32,0.12549019607843137,0.8
