dataset,model_tier,split_count,candidate_references,k,selected_reference_fraction,target_coverage,all_targets_hit,artifact,encoding
hotpotqa,small,64,63,1,0.015873015873015872,0.55625,0.21875,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,64,63,2,0.031746031746031744,0.58125,0.2625,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,64,63,4,0.06349206349206349,0.640625,0.38125,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,64,63,8,0.12698412698412698,0.75625,0.59375,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,64,63,16,0.25396825396825395,0.865625,0.7375,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,64,63,32,0.5079365079365079,1.0,1.0,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,128,127,1,0.007874015748031496,0.553125,0.2125,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,128,127,2,0.015748031496062992,0.578125,0.25625,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,128,127,4,0.031496062992125984,0.61875,0.3375,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,128,127,8,0.06299212598425197,0.7125,0.525,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,128,127,16,0.12598425196850394,0.771875,0.59375,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,128,127,32,0.25196850393700787,0.875,0.75625,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,256,255,1,0.00392156862745098,0.55,0.20625,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,256,255,2,0.00784313725490196,0.559375,0.21875,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,256,255,4,0.01568627450980392,0.615625,0.33125,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,256,255,8,0.03137254901960784,0.7,0.5,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,256,255,16,0.06274509803921569,0.709375,0.51875,pra_scale_sensitivity.json,native historical slice
hotpotqa,small,256,255,32,0.12549019607843137,0.7625,0.61875,pra_scale_sensitivity.json,native historical slice
hotpotqa,tiny,64,63,1,0.015873015873015872,0.328125,0.0,pra_scale_sensitivity.json,native historical slice
