dataset,model_tier,split_count,f70_first_measured,f80_first_measured,f90_first_measured,f95_first_measured,auc_0_30
hotpotqa,independent-encoding screen,32,0.12903225806451613,0.5161290322580645,1.0,1.0,unavailable_without_interpolation
hotpotqa,small,64,0.12698412698412698,0.25396825396825395,0.5079365079365079,0.5079365079365079,unavailable_without_interpolation
hotpotqa,small,128,0.06299212598425197,0.25196850393700787,,,unavailable_without_interpolation
hotpotqa,small,256,0.03137254901960784,,,,unavailable_without_interpolation
hotpotqa,tiny,64,0.5079365079365079,,,,unavailable_without_interpolation
hotpotqa,tiny,128,,,,,unavailable_without_interpolation
hotpotqa,tiny,256,,,,,unavailable_without_interpolation
qasper,independent-encoding screen,32,0.12903225806451613,0.25806451612903225,0.5161290322580645,1.0,unavailable_without_interpolation
qasper,small,64,0.031746031746031744,0.25396825396825395,0.5079365079365079,,unavailable_without_interpolation
qasper,small,128,0.031496062992125984,0.06299212598425197,,,unavailable_without_interpolation
qasper,small,256,0.01568627450980392,0.12549019607843137,,,unavailable_without_interpolation
qasper,tiny,64,0.25396825396825395,0.5079365079365079,,,unavailable_without_interpolation
qasper,tiny,128,0.25196850393700787,,,,unavailable_without_interpolation
qasper,tiny,256,,,,,unavailable_without_interpolation
