policy,manual_metadata,synonyms,inferred_concepts,embedding,embedding_representation,top1,recall_at_3,recall_at_5,delta_top1_previous,delta_recall_at_3_previous,delta_recall_at_5_previous,union_selected_k,union_selected_recall
A0_raw_bm25,0,0,0,0,,0.4027777777777778,0.5555555555555556,0.6388888888888888,,,,,
A1_auto_keywords,0,0,0,0,,0.3055555555555556,0.5972222222222222,0.6805555555555556,-0.09722222222222221,0.04166666666666663,0.04166666666666674,,
A2_keywords_synonyms,0,1,0,0,,0.75,0.8819444444444444,0.9097222222222222,0.4444444444444444,0.2847222222222222,0.22916666666666663,,
A3_inferred_concepts,0,1,1,0,,0.6319444444444444,0.8819444444444444,0.9027777777777778,-0.11805555555555558,0.0,-0.00694444444444442,,
A4_auto_tags,0,1,1,0,,0.6180555555555556,0.875,0.9027777777777778,-0.01388888888888884,-0.00694444444444442,0.0,,
A5_embedding_selected,0,0,0,1,name_description,0.5555555555555556,0.7638888888888888,0.8402777777777778,-0.0625,-0.11111111111111116,-0.0625,,
A6_auto_hybrid,0,1,1,1,name_description,0.8125,0.9375,0.9583333333333334,0.19444444444444442,0.0625,0.05555555555555558,,
A7_raw_union_k10,0,1,1,1,name_description,n/a,0.8819444444444444,0.9097222222222222,n/a,n/a,n/a,10,0.9930555555555556
manual_rich_ceiling,1,1,1,1,name_description,0.8055555555555556,0.9097222222222222,0.9583333333333334,-0.00694444444444442,-0.02777777777777779,0.0,,
