split,strategy,max_candidates,queries,required_recall,useful_precision,unsafe_exposure,mean_candidates,mean_schema_tokens,channel_diversity
validation,fused_score,2,144,0.9027777777777778,0.6180555555555556,0.05555555555555555,2.0,165.86111111111111,5.0
validation,fused_score,3,144,0.9444444444444444,0.48148148148148134,0.1736111111111111,3.0,249.03472222222223,5.0
validation,fused_score,4,144,0.9583333333333334,0.3854166666666667,0.2222222222222222,4.0,336.7361111111111,5.0
validation,fused_score,5,144,0.9791666666666666,0.33055555555555494,0.2708333333333333,5.0,417.88194444444446,5.0
validation,fused_score,6,144,0.9861111111111112,0.28819444444444475,0.3680555555555556,6.0,500.49305555555554,5.0
validation,fused_score,8,144,0.9930555555555556,0.2309027777777778,0.5555555555555556,8.0,662.1458333333334,5.0
validation,fused_score,10,144,0.9930555555555556,0.18958333333333308,0.6805555555555556,10.0,825.9236111111111,5.0
validation,raw_union,2,144,0.7916666666666666,0.5243055555555556,0.08333333333333333,2.0,162.65277777777777,5.0
validation,raw_union,3,144,0.9166666666666666,0.4212962962962961,0.2152777777777778,3.0,239.06944444444446,5.0
validation,raw_union,4,144,0.9722222222222222,0.3454861111111111,0.3194444444444444,4.0,318.56944444444446,5.0
validation,raw_union,5,144,0.9791666666666666,0.2999999999999993,0.3680555555555556,5.0,401.9375,5.0
validation,raw_union,6,144,0.9791666666666666,0.26041666666666674,0.4791666666666667,6.0,482.0138888888889,5.0
validation,raw_union,8,144,0.9861111111111112,0.2152777777777778,0.6736111111111112,8.0,648.7430555555555,5.0
validation,raw_union,10,144,0.9930555555555556,0.17847222222222187,0.8541666666666666,10.0,811.9930555555555,5.0
validation,diversity_union,2,144,0.4652777777777778,0.3333333333333333,0.05555555555555555,2.0,156.36805555555554,5.0
validation,diversity_union,3,144,0.8958333333333334,0.3865740740740736,0.1388888888888889,3.0,238.63888888888889,5.0
validation,diversity_union,4,144,0.9236111111111112,0.3107638888888889,0.2777777777777778,4.0,319.7361111111111,5.0
validation,diversity_union,5,144,0.9722222222222222,0.291666666666666,0.375,5.0,397.97222222222223,5.0
validation,diversity_union,6,144,0.9791666666666666,0.25810185185185186,0.4583333333333333,6.0,481.99305555555554,5.0
validation,diversity_union,8,144,0.9861111111111112,0.21180555555555555,0.7152777777777778,8.0,648.2638888888889,5.0
validation,diversity_union,10,144,0.9861111111111112,0.17847222222222187,0.8958333333333334,10.0,811.2916666666666,5.0
test,fused_score,2,144,0.875,0.6041666666666666,0.013888888888888888,2.0,165.27083333333334,5.0
test,fused_score,3,144,0.9236111111111112,0.46759259259259256,0.10416666666666667,3.0,247.74305555555554,5.0
test,fused_score,4,144,0.9375,0.3836805555555556,0.18055555555555555,4.0,334.34722222222223,5.0
test,fused_score,5,144,0.9513888888888888,0.32777777777777717,0.2361111111111111,5.0,418.0138888888889,5.0
test,fused_score,6,144,0.9513888888888888,0.28356481481481505,0.3194444444444444,6.0,498.3611111111111,5.0
test,fused_score,8,144,0.9652777777777778,0.2282986111111111,0.5,8.0,664.0138888888889,5.0
test,fused_score,10,144,0.9930555555555556,0.1895833333333331,0.6111111111111112,10.0,829.0763888888889,5.0
test,raw_union,2,144,0.8125,0.5555555555555556,0.027777777777777776,2.0,163.07638888888889,5.0
test,raw_union,3,144,0.8819444444444444,0.41666666666666646,0.18055555555555555,3.0,238.27777777777777,5.0
test,raw_union,4,144,0.9097222222222222,0.3350694444444444,0.2361111111111111,4.0,317.5833333333333,5.0
test,raw_union,5,144,0.9097222222222222,0.2791666666666661,0.375,5.0,400.7638888888889,5.0
test,raw_union,6,144,0.9375,0.25347222222222215,0.4722222222222222,6.0,481.93055555555554,5.0
test,raw_union,8,144,0.9583333333333334,0.20399305555555555,0.6388888888888888,8.0,647.3958333333334,5.0
test,raw_union,10,144,0.9930555555555556,0.17638888888888854,0.8680555555555556,10.0,811.4861111111111,5.0
test,diversity_union,2,144,0.4652777777777778,0.3368055555555556,0.05555555555555555,2.0,154.5625,5.0
test,diversity_union,3,144,0.8541666666666666,0.3680555555555551,0.14583333333333334,3.0,235.24305555555554,5.0
test,diversity_union,4,144,0.8611111111111112,0.2847222222222222,0.2638888888888889,4.0,315.5138888888889,5.0
test,diversity_union,5,144,0.9166666666666666,0.2791666666666661,0.375,5.0,395.09722222222223,5.0
test,diversity_union,6,144,0.9236111111111112,0.24189814814814806,0.4791666666666667,6.0,481.2986111111111,5.0
test,diversity_union,8,144,0.9513888888888888,0.20225694444444445,0.7152777777777778,8.0,647.2291666666666,5.0
test,diversity_union,10,144,0.9722222222222222,0.17361111111111077,0.9097222222222222,10.0,812.1111111111111,5.0
